Well,GFP,Strain,Promoter,Plant,Leaf,GFP_log
A10,5745.0,ΔvirB1-11,J23101,2,Top,12.488091177533475
A11,8205.0,ΔvirB1-11,J23101,2,Top,13.002287618401075
A12,11550.0,ΔvirB1-11,J23101,2,Top,13.495605231190781
B1,8908.0,ΔvirB1-11,J23101,2,Bottom,13.12088584278779
B2,5981.0,ΔvirB1-11,J23101,2,Bottom,12.54617100226735
B3,6433.0,ΔvirB1-11,J23101,2,Bottom,12.651275973346639
B4,7971.0,ΔvirB1-11,J23101,2,Bottom,12.960545013211663
B5,6590.0,ΔvirB1-11,J23101,3,Top,12.686062749895415
B6,5982.0,ΔvirB1-11,J23101,3,Top,12.546412195119352
B7,6852.0,ΔvirB1-11,J23101,3,Top,12.742309436084
B8,10028.0,ΔvirB1-11,J23101,3,Top,13.291746280833939
B9,5806.0,ΔvirB1-11,J23101,3,Bottom,12.503328856626661
B10,5103.0,ΔvirB1-11,J23101,3,Bottom,12.317129926384542
B11,5246.0,ΔvirB1-11,J23101,3,Bottom,12.357002092264985
B12,3950.0,ΔvirB1-11,J23101,3,Bottom,11.947636937951827
C1,5216.0,ΔvirB1-11,J23101,4,Top,12.348728154231077
C2,6660.0,ΔvirB1-11,J23101,4,Top,12.701306461958625
C3,10004.0,ΔvirB1-11,J23101,4,Top,13.28828934218097
C4,8904.0,ΔvirB1-11,J23101,4,Top,13.12023787734196
C5,5095.0,ΔvirB1-11,J23101,4,Bottom,12.314866431053176
C6,6281.0,ΔvirB1-11,J23101,4,Bottom,12.61677855400014
C7,3658.0,ΔvirB1-11,J23101,4,Bottom,11.836839359748716
C8,5310.0,ΔvirB1-11,J23101,4,Bottom,12.374496145691516
C9,11547.0,ΔvirB1-11,J23101,5,Top,13.495230456531996
C10,6799.0,ΔvirB1-11,J23101,5,Top,12.731106854388033
C11,11945.0,ΔvirB1-11,J23101,5,Top,13.544119233343695
C12,7119.0,ΔvirB1-11,J23101,5,Top,12.797458885915104
D1,6368.0,ΔvirB1-11,J23101,5,Bottom,12.63662462054365
D2,7280.0,ΔvirB1-11,J23101,5,Bottom,12.829722735086058
D3,3956.0,ΔvirB1-11,J23101,5,Bottom,11.94982671075911
D4,11474.0,ΔvirB1-11,J23101,5,Bottom,13.48608080265197
D5,6838.0,ΔvirB1-11,J23101,6,Top,12.739358707433395
D6,6278.0,ΔvirB1-11,J23101,6,Top,12.616089313582115
D7,8072.0,ΔvirB1-11,J23101,6,Top,12.978710459106358
D8,5887.0,ΔvirB1-11,J23101,6,Top,12.523316912312747
D9,4803.0,ΔvirB1-11,J23101,6,Bottom,12.229720093237413
D10,4631.0,ΔvirB1-11,J23101,6,Bottom,12.177108041703693
D11,5169.0,ΔvirB1-11,J23101,6,Bottom,12.335669486946104
D12,4683.0,ΔvirB1-11,J23101,6,Bottom,12.193217322699065
E1,7443.0,ΔvirB1-11,J23101,7,Top,12.861668520613588
E2,6669.0,ΔvirB1-11,J23101,7,Top,12.703254733748146
E3,6067.0,ΔvirB1-11,J23101,7,Top,12.566767596032916
E4,8202.0,ΔvirB1-11,J23101,7,Top,13.001760028327217
E5,7045.0,ΔvirB1-11,J23101,7,Bottom,12.782383991197
E6,8375.0,ΔvirB1-11,J23101,7,Bottom,13.031873475119859
E7,9016.0,ΔvirB1-11,J23101,7,Bottom,13.138271800172221
E8,7267.0,ΔvirB1-11,J23101,7,Bottom,12.827144190984281
E9,6799.0,ΔvirB1-11,J23101,8,Top,12.731106854388033
E10,6953.0,ΔvirB1-11,J23101,8,Top,12.763419874192088
E11,5976.0,ΔvirB1-11,J23101,8,Top,12.544964432789238
E12,6365.0,ΔvirB1-11,J23101,8,Top,12.63594479878872
F1,5915.0,ΔvirB1-11,J23101,8,Bottom,12.53016245322715
F2,4528.0,ΔvirB1-11,J23101,8,Bottom,12.144658242831882
F3,4320.0,ΔvirB1-11,J23101,8,Bottom,12.076815597050832
F4,3024.0,ΔvirB1-11,J23101,8,Bottom,11.562242424221072
F5,1346.0,ΔvirB1-11,J23111,1,Top,10.394462694610317
F6,1450.0,ΔvirB1-11,J23111,1,Top,10.501837184902296
F7,1417.0,ΔvirB1-11,J23111,1,Top,10.468624042918018
F8,1314.0,ΔvirB1-11,J23111,1,Top,10.35974956032233
F9,1349.0,ΔvirB1-11,J23111,1,Bottom,10.397674632948268
F10,1271.0,ΔvirB1-11,J23111,1,Bottom,10.311748315004959
F11,1461.0,ΔvirB1-11,J23111,1,Bottom,10.512740462803498
F12,1384.0,ΔvirB1-11,J23111,1,Bottom,10.434628227636725
G1,1408.0,ΔvirB1-11,J23111,2,Top,10.459431618637296
G2,1434.0,ΔvirB1-11,J23111,2,Top,10.485829308701904
G3,1529.0,ΔvirB1-11,J23111,2,Top,10.578372691360805
G4,1433.0,ΔvirB1-11,J23111,2,Top,10.484822894262146
G5,1507.0,ΔvirB1-11,J23111,2,Bottom,10.557463701597824
G6,1507.0,ΔvirB1-11,J23111,2,Bottom,10.557463701597824
G7,1622.0,ΔvirB1-11,J23111,2,Bottom,10.663558104217273
G8,1512.0,ΔvirB1-11,J23111,2,Bottom,10.562242424221072
G9,1239.0,ΔvirB1-11,J23111,3,Top,10.274960472140602
G10,1451.0,ΔvirB1-11,J23111,3,Top,10.502831804066744
G11,1302.0,ΔvirB1-11,J23111,3,Top,10.346513733165635
G12,1444.0,ΔvirB1-11,J23111,3,Top,10.49585502688717
H1,1352.0,ΔvirB1-11,J23111,3,Bottom,10.400879436282183
H2,1344.0,ΔvirB1-11,J23111,3,Bottom,10.39231742277876
H3,1274.0,ΔvirB1-11,J23111,3,Bottom,10.3151495622563
H4,1313.0,ΔvirB1-11,J23111,3,Bottom,10.358651200892886
H5,1510.0,ΔvirB1-11,J23111,4,Top,10.560332834212442
H6,1431.0,ΔvirB1-11,J23111,4,Top,10.482807956726667
H7,1417.0,ΔvirB1-11,J23111,4,Top,10.468624042918018
H8,1581.0,ΔvirB1-11,J23111,4,Top,10.62662165235837
H9,1410.0,ΔvirB1-11,J23111,4,Bottom,10.461479447286155
H10,1410.0,ΔvirB1-11,J23111,4,Bottom,10.461479447286155
H11,1644.0,ΔvirB1-11,J23111,4,Bottom,10.682994583681683
H12,1745.0,ΔvirB1-11,J23111,4,Bottom,10.769011321097015
A1,1420.0,ΔvirB1-11,J23111,5,Top,10.471675214392045
A2,1380.0,ΔvirB1-11,J23111,5,Top,10.430452551665532
A3,1201.0,ΔvirB1-11,J23111,5,Top,10.230020435705635
A4,1362.0,ΔvirB1-11,J23111,5,Top,10.411510988012072
A5,1487.0,ΔvirB1-11,J23111,5,Bottom,10.53818893205242
A6,1406.0,ΔvirB1-11,J23111,5,Bottom,10.457380879072534
A7,1475.0,ΔvirB1-11,J23111,5,Bottom,10.526499239136566
A8,1487.0,ΔvirB1-11,J23111,5,Bottom,10.53818893205242
A9,1415.0,ΔvirB1-11,J23111,6,Top,10.466586337719244
A10,1465.0,ΔvirB1-11,J23111,6,Top,10.51668494930961
A11,1561.0,ΔvirB1-11,J23111,6,Top,10.608254821977908
A12,1560.0,ΔvirB1-11,J23111,6,Top,10.60733031374961
B1,1519.0,ΔvirB1-11,J23111,6,Bottom,10.568906154502084
B2,1301.0,ΔvirB1-11,J23111,6,Bottom,10.345405246717796
B3,1488.0,ΔvirB1-11,J23111,6,Bottom,10.539158811108031
B4,1312.0,ΔvirB1-11,J23111,6,Bottom,10.357552004618084
B5,1316.0,ΔvirB1-11,J23111,7,Top,10.361943773735241
B6,1411.0,ΔvirB1-11,J23111,7,Top,10.462502272597265
B7,1378.0,ΔvirB1-11,J23111,7,Top,10.428360172704291
B8,1555.0,ΔvirB1-11,J23111,7,Top,10.602698865017965
B9,1449.0,ΔvirB1-11,J23111,7,Bottom,10.50084187955693
B10,1281.0,ΔvirB1-11,J23111,7,Bottom,10.323054760341646
B11,1516.0,ΔvirB1-11,J23111,7,Bottom,10.566054038171092
B12,1473.0,ΔvirB1-11,J23111,7,Bottom,10.524541715035848
C1,1504.0,ΔvirB1-11,J23111,8,Top,10.554588851677638
C2,1256.0,ΔvirB1-11,J23111,8,Top,10.294620748891626
C3,1370.0,ΔvirB1-11,J23111,8,Top,10.419960177847889
C4,1286.0,ΔvirB1-11,J23111,8,Top,10.328674927327947
C5,1320.0,ΔvirB1-11,J23111,8,Bottom,10.366322214245816
C6,1303.0,ΔvirB1-11,J23111,8,Bottom,10.347621368568134
C7,1256.0,ΔvirB1-11,J23111,8,Bottom,10.294620748891626
C8,1218.0,ΔvirB1-11,J23111,8,Bottom,10.250298417906333
