Well,GFP,Strain,Leaf,GFP_log
E1,13755,J23114,C,13.747668519203573
E2,17574,J23114,C,14.101154978600523
E3,20830,J23114,C,14.346375218928008
E4,15486,J23114,C,13.918676926815126
E5,34133,J23114,D,15.058879600166016
E6,37811,J23114,D,15.2065183848112
E7,41730,J23114,D,15.348797300150757
E8,26312,J23114,D,14.683433292835403
E9,34434,J23114,E,15.071546159788424
E10,30065,J23114,E,14.87579733808343
E11,32736,J23114,E,14.99859042974533
E12,24704,J23114,E,14.59245703726808
F1,184331,J23117,A,17.49193919209751
F2,144990,J23117,A,17.145593875036244
F3,217916,J23117,A,17.733412601469887
F4,119881,J23117,A,16.87124349784391
F5,219020,J23117,B,17.74070309121928
F6,292056,J23117,B,18.155885498255138
F7,212787,J23117,B,17.699050488018255
F8,263625,J23117,B,18.008127664455778
F9,115446,J23117,C,16.816858661579708
F10,166778,J23117,C,17.34756946715103
F11,164256,J23117,C,17.32558654521057
F12,153433,J23117,C,17.22724928202456
G1,181271,J23117,D,17.467788613514074
G2,204149,J23117,D,17.63926297514426
G3,84972,J23117,D,16.3746999017883
G4,124960,J23117,D,16.931106833029343
G5,325760,J23117,E,18.313449940963057
G6,369886,J23117,E,18.496721170646747
G7,408384,J23117,E,18.63956681868183
G8,459622,J23117,E,18.81008832927741
G9,316795,J23101,A,18.273190039866552
G10,113724,J23101,A,16.795177223189185
G11,155678,J23101,A,17.248205555440467
G12,292651,J23101,A,18.158821682859138
H1,180407,J23101,B,17.460895792350282
H2,154668,J23101,B,17.23881521604111
H3,162601,J23101,B,17.310976604485695
H4,113325,J23101,B,16.79010663566071
H5,121827,J23101,C,16.894474381484976
H6,140557,J23101,C,17.10079577884031
H7,181372,J23101,C,17.46859222589814
H8,122118,J23101,C,16.89791634140245
H9,230205,J23101,D,17.8125596432539
H10,173318,J23101,D,17.40306196830134
H11,179987,J23101,D,17.457533182587156
H12,230069,J23101,D,17.811707079210432
A1,63825,J23101,E,15.961834012181843
A2,113880,J23101,E,16.797154872629626
A3,168255,J23101,E,17.360289852187844
A4,85948,J23101,E,16.391176448296964
A5,211675,J23100,A,17.691491363499754
A6,192890,J23100,A,17.557418826095624
A7,221473,J23100,A,17.756771303508785
A8,211772,J23100,A,17.69215232660217
A9,117299,J23100,B,16.839831188560346
A10,118208,J23100,B,16.85096815098244
A11,183310,J23100,B,17.483925964934848
A12,147484,J23100,B,17.170198924689522
B1,78435,J23100,C,16.25920995045536
B2,47433,J23100,C,15.533603497139362
B3,35434,J23100,C,15.112846714168288
B4,126657,J23100,C,16.95056728765945
B5,152854,J23100,D,17.22179478069935
B6,38678,J23100,D,15.239225576001205
B7,191384,J23100,D,17.54611069775333
B8,217785,J23100,D,17.73254506590742
B9,132256,J23100,E,17.01297364837454
B10,129585,J23100,E,16.983539204402796
B11,146784,J23100,E,17.16333519208196
B12,116674,J23100,E,16.832123576611604
C1,171300,J23111,A,17.386165625858723
C2,67696,J23111,A,16.04678297035635
C3,226496,J23111,A,17.78912604642523
C4,74296,J23111,A,16.180996919579723
C5,80783,J23111,B,16.301764103267555
C6,84836,J23111,B,16.372388979246217
C7,148882,J23111,B,17.183809815459014
C8,143372,J23111,B,17.12940377319471
C9,202669,J23111,C,17.6287659072647
C10,122040,J23111,C,16.89699455946602
C11,170405,J23111,C,17.378608141980465
C12,182661,J23111,C,17.47880911106912
D1,148814,J23111,D,17.1831507319343
D2,190059,J23111,D,17.536087818226203
D3,199389,J23111,D,17.6052262949894
D4,142135,J23111,D,17.11690232886929
D5,178587,J23111,E,17.446267539676807
D6,161563,J23111,E,17.30173731467772
D7,172777,J23111,E,17.398551653775993
D8,101146,J23111,E,16.62607974149791
D9,583,Leaf,A,9.187352073200497
D10,642,Leaf,A,9.326429487122303
D11,638,Leaf,A,9.31741261376487
D12,617,Leaf,A,9.269126679149418
E1,643,Leaf,B,9.328674927327947
E2,646,Leaf,B,9.335390354693924
E3,627,Leaf,B,9.29232163280204
E4,606,Leaf,B,9.243173983472952
E5,712,Leaf,C,9.475733430966399
E6,628,Leaf,C,9.294620748891626
E7,650,Leaf,C,9.344295907915816
E8,577,Leaf,C,9.172427508645482
