Well,GFP,Strain,Plant,Leaf,vir
A7,1254.0,ΔvirB1-11,5,Bottom,virB
A8,1246.0,ΔvirB1-11,5,Bottom,virB
A9,1709.0,ΔvirB1-11,6,Top,virB
A10,1497.0,ΔvirB1-11,6,Top,virB
A11,1451.0,ΔvirB1-11,6,Top,virB
A12,1375.0,ΔvirB1-11,6,Top,virB
B1,1367.0,ΔvirB1-11,6,Bottom,virB
B2,1178.0,ΔvirB1-11,6,Bottom,virB
B3,1235.0,ΔvirB1-11,6,Bottom,virB
B4,1633.0,ΔvirB1-11,6,Bottom,virB
B5,1115.0,ΔvirB1-11,7,Top,virB
B6,1113.0,ΔvirB1-11,7,Top,virB
B7,1106.0,ΔvirB1-11,7,Top,virB
B8,1268.0,ΔvirB1-11,7,Top,virB
B9,1204.0,ΔvirB1-11,7,Bottom,virB
B10,1144.0,ΔvirB1-11,7,Bottom,virB
B11,1219.0,ΔvirB1-11,7,Bottom,virB
B12,1217.0,ΔvirB1-11,7,Bottom,virB
C1,1252.0,ΔvirB1-11,8,Top,virB
C2,1325.0,ΔvirB1-11,8,Top,virB
C3,1332.0,ΔvirB1-11,8,Top,virB
C4,1322.0,ΔvirB1-11,8,Top,virB
C5,1161.0,ΔvirB1-11,8,Bottom,virB
C6,1219.0,ΔvirB1-11,8,Bottom,virB
C7,1205.0,ΔvirB1-11,8,Bottom,virB
C8,1241.0,ΔvirB1-11,8,Bottom,virB
C9,1146.0,A4,1,Top,virB
C10,1596.0,A4,1,Top,virB
C11,1396.0,A4,1,Top,virB
C12,1275.0,A4,1,Top,virB
D1,2809.0,A4,1,Bottom,virB
D2,1558.0,A4,1,Bottom,virB
D3,2539.0,A4,1,Bottom,virB
D4,2687.0,A4,1,Bottom,virB
D5,1506.0,A4,2,Top,virB
D6,1561.0,A4,2,Top,virB
D7,1368.0,A4,2,Top,virB
D8,1722.0,A4,2,Top,virB
D9,2895.0,A4,2,Bottom,virB
D10,1989.0,A4,2,Bottom,virB
D11,1599.0,A4,2,Bottom,virB
D12,2072.0,A4,2,Bottom,virB
E1,2142.0,A4,3,Top,virB
E2,1428.0,A4,3,Top,virB
E3,2471.0,A4,3,Top,virB
E4,2001.0,A4,3,Top,virB
E5,2215.0,A4,3,Bottom,virB
E6,1302.0,A4,3,Bottom,virB
E7,1633.0,A4,3,Bottom,virB
E8,2081.0,A4,3,Bottom,virB
E9,1818.0,A4,4,Top,virB
E10,1990.0,A4,4,Top,virB
E11,1765.0,A4,4,Top,virB
E12,2665.0,A4,4,Top,virB
F1,1924.0,A4,4,Bottom,virB
F2,1352.0,A4,4,Bottom,virB
F3,3055.0,A4,4,Bottom,virB
F4,2663.0,A4,4,Bottom,virB
F5,1739.0,A4,5,Top,virB
F6,2434.0,A4,5,Top,virB
F7,2172.0,A4,5,Top,virB
F8,2005.0,A4,5,Top,virB
F9,1998.0,A4,5,Bottom,virB
F10,1764.0,A4,5,Bottom,virB
F11,1806.0,A4,5,Bottom,virB
F12,2536.0,A4,5,Bottom,virB
G1,2999.0,A4,6,Top,virB
G2,3688.0,A4,6,Top,virB
G3,2143.0,A4,6,Top,virB
G4,5639.0,A4,6,Top,virB
G5,3114.0,A4,6,Bottom,virB
G6,2141.0,A4,6,Bottom,virB
G7,2967.0,A4,6,Bottom,virB
G8,2216.0,A4,6,Bottom,virB
G9,1703.0,A4,7,Top,virB
G10,1231.0,A4,7,Top,virB
G11,1449.0,A4,7,Top,virB
G12,1400.0,A4,7,Top,virB
H1,1639.0,A4,7,Bottom,virB
H2,3016.0,A4,7,Bottom,virB
H3,3552.0,A4,7,Bottom,virB
H4,2077.0,A4,7,Bottom,virB
H5,2525.0,A4,8,Top,virB
H6,1310.0,A4,8,Top,virB
H7,2144.0,A4,8,Top,virB
H8,1670.0,A4,8,Top,virB
H9,1692.0,A4,8,Bottom,virB
H10,2498.0,A4,8,Bottom,virB
H11,1697.0,A4,8,Bottom,virB
H12,2176.0,A4,8,Bottom,virB
A1,3431.0,Ach5,1,Top,virB
A2,17009.0,Ach5,1,Top,virB
A3,9552.0,Ach5,1,Top,virB
A4,9826.0,Ach5,1,Top,virB
A5,4810.0,Ach5,1,Bottom,virB
A6,3164.0,Ach5,1,Bottom,virB
A7,3849.0,Ach5,1,Bottom,virB
A8,10145.0,Ach5,1,Bottom,virB
A9,4186.0,Ach5,2,Top,virB
A10,4329.0,Ach5,2,Top,virB
A11,6420.0,Ach5,2,Top,virB
A12,4160.0,Ach5,2,Top,virB
B1,5166.0,Ach5,2,Bottom,virB
B2,4511.0,Ach5,2,Bottom,virB
B3,7196.0,Ach5,2,Bottom,virB
B4,5495.0,Ach5,2,Bottom,virB
B5,14446.0,Ach5,3,Top,virB
B6,4561.0,Ach5,3,Top,virB
B7,9321.0,Ach5,3,Top,virB
B8,8132.0,Ach5,3,Top,virB
B9,5529.0,Ach5,3,Bottom,virB
B10,9217.0,Ach5,3,Bottom,virB
B11,3359.0,Ach5,3,Bottom,virB
B12,6829.0,Ach5,3,Bottom,virB
C1,13441.0,Ach5,4,Top,virB
C2,3474.0,Ach5,4,Top,virB
C3,7249.0,Ach5,4,Top,virB
C4,8303.0,Ach5,4,Top,virB
C5,10924.0,Ach5,4,Bottom,virB
C6,11221.0,Ach5,4,Bottom,virB
C7,10962.0,Ach5,4,Bottom,virB
C8,14291.0,Ach5,4,Bottom,virB
C9,7364.0,Ach5,5,Top,virB
C10,4848.0,Ach5,5,Top,virB
C11,2225.0,Ach5,5,Top,virB
C12,4401.0,Ach5,5,Top,virB
D1,6148.0,Ach5,5,Bottom,virB
D2,2834.0,Ach5,5,Bottom,virB
D3,6879.0,Ach5,5,Bottom,virB
D4,8249.0,Ach5,5,Bottom,virB
D5,4045.0,Ach5,6,Top,virB
D6,1936.0,Ach5,6,Top,virB
D7,6949.0,Ach5,6,Top,virB
D8,13378.0,Ach5,6,Top,virB
D9,7303.0,Ach5,6,Bottom,virB
D10,9708.0,Ach5,6,Bottom,virB
D11,5665.0,Ach5,6,Bottom,virB
D12,3416.0,Ach5,6,Bottom,virB
E1,4901.0,Ach5,7,Top,virB
E2,2636.0,Ach5,7,Top,virB
E3,4101.0,Ach5,7,Top,virB
E4,3142.0,Ach5,7,Top,virB
E5,3200.0,Ach5,7,Bottom,virB
E6,2293.0,Ach5,7,Bottom,virB
E7,5547.0,Ach5,7,Bottom,virB
E8,2589.0,Ach5,7,Bottom,virB
E9,5296.0,Ach5,8,Top,virB
E10,8505.0,Ach5,8,Top,virB
E11,5378.0,Ach5,8,Top,virB
E12,2724.0,Ach5,8,Top,virB
F1,4976.0,Ach5,8,Bottom,virB
F2,4265.0,Ach5,8,Bottom,virB
F3,5634.0,Ach5,8,Bottom,virB
F4,4863.0,Ach5,8,Bottom,virB
F5,5821.0,C58,1,Top,virB
F6,5159.0,C58,1,Top,virB
F7,4928.0,C58,1,Top,virB
F8,6811.0,C58,1,Top,virB
F9,6169.0,C58,1,Bottom,virB
F10,2186.0,C58,1,Bottom,virB
F11,6756.0,C58,1,Bottom,virB
F12,5093.0,C58,1,Bottom,virB
G1,13657.0,C58,2,Top,virB
G2,20562.0,C58,2,Top,virB
G3,11824.0,C58,2,Top,virB
G4,6849.0,C58,2,Top,virB
G5,13476.0,C58,2,Bottom,virB
G6,9196.0,C58,2,Bottom,virB
G7,11030.0,C58,2,Bottom,virB
G8,12636.0,C58,2,Bottom,virB
G9,10464.0,C58,3,Top,virB
G10,9751.0,C58,3,Top,virB
G11,5886.0,C58,3,Top,virB
G12,6922.0,C58,3,Top,virB
H1,10646.0,C58,3,Bottom,virB
H2,5264.0,C58,3,Bottom,virB
H3,2840.0,C58,3,Bottom,virB
H4,11580.0,C58,3,Bottom,virB
H5,10460.0,C58,4,Top,virB
H6,9339.0,C58,4,Top,virB
H7,5997.0,C58,4,Top,virB
H8,7560.0,C58,4,Top,virB
H9,7441.0,C58,4,Bottom,virB
H10,7698.0,C58,4,Bottom,virB
H11,5832.0,C58,4,Bottom,virB
H12,7322.0,C58,4,Bottom,virB
A1,6061.0,C58,5,Top,virB
A2,7358.0,C58,5,Top,virB
A3,4123.0,C58,5,Top,virB
A4,2911.0,C58,5,Top,virB
A5,10941.0,C58,5,Bottom,virB
A6,5085.0,C58,5,Bottom,virB
A7,18634.0,C58,5,Bottom,virB
A8,12952.0,C58,5,Bottom,virB
A9,6742.0,C58,6,Top,virB
A10,6358.0,C58,6,Top,virB
A11,9154.0,C58,6,Top,virB
A12,12233.0,C58,6,Top,virB
B1,7751.0,C58,6,Bottom,virB
B2,6384.0,C58,6,Bottom,virB
B3,4455.0,C58,6,Bottom,virB
B4,9868.0,C58,6,Bottom,virB
B5,10338.0,C58,7,Top,virB
B6,4163.0,C58,7,Top,virB
B7,7058.0,C58,7,Top,virB
B8,5417.0,C58,7,Top,virB
B9,9312.0,C58,7,Bottom,virB
B10,7826.0,C58,7,Bottom,virB
B11,6310.0,C58,7,Bottom,virB
B12,4838.0,C58,7,Bottom,virB
C1,7309.0,C58,8,Top,virB
C2,8423.0,C58,8,Top,virB
C3,3295.0,C58,8,Top,virB
C4,6709.0,C58,8,Top,virB
C5,9199.0,C58,8,Bottom,virB
C6,12012.0,C58,8,Bottom,virB
C7,8880.0,C58,8,Bottom,virB
C8,12507.0,C58,8,Bottom,virB
C9,11114.0,NCIB,1,Top,virB
C10,4076.0,NCIB,1,Top,virB
C11,8040.0,NCIB,1,Top,virB
C12,5825.0,NCIB,1,Top,virB
D1,11513.0,NCIB,1,Bottom,virB
D2,11889.0,NCIB,1,Bottom,virB
D3,9086.0,NCIB,1,Bottom,virB
D4,9110.0,NCIB,1,Bottom,virB
D5,4337.0,NCIB,2,Top,virB
D6,4773.0,NCIB,2,Top,virB
D7,4951.0,NCIB,2,Top,virB
D8,12322.0,NCIB,2,Top,virB
D9,13482.0,NCIB,2,Bottom,virB
D10,4631.0,NCIB,2,Bottom,virB
D11,7240.0,NCIB,2,Bottom,virB
D12,11416.0,NCIB,2,Bottom,virB
E1,4334.0,NCIB,3,Top,virB
E2,3978.0,NCIB,3,Top,virB
E3,9489.0,NCIB,3,Top,virB
E4,5508.0,NCIB,3,Top,virB
E5,15288.0,NCIB,3,Bottom,virB
E6,14520.0,NCIB,3,Bottom,virB
E7,16455.0,NCIB,3,Bottom,virB
E8,13020.0,NCIB,3,Bottom,virB
E9,12464.0,NCIB,4,Top,virB
E10,8153.0,NCIB,4,Top,virB
E11,5418.0,NCIB,4,Top,virB
E12,9015.0,NCIB,4,Top,virB
F1,15696.0,NCIB,4,Bottom,virB
F2,17286.0,NCIB,4,Bottom,virB
F3,10276.0,NCIB,4,Bottom,virB
F4,20302.0,NCIB,4,Bottom,virB
F5,17173.0,NCIB,5,Top,virB
F6,15351.0,NCIB,5,Top,virB
F7,12400.0,NCIB,5,Top,virB
F8,8422.0,NCIB,5,Top,virB
F9,7346.0,NCIB,5,Bottom,virB
F10,8542.0,NCIB,5,Bottom,virB
F11,6602.0,NCIB,5,Bottom,virB
F12,9534.0,NCIB,5,Bottom,virB
G1,6802.0,NCIB,6,Top,virB
G2,5016.0,NCIB,6,Top,virB
G3,5933.0,NCIB,6,Top,virB
G4,2041.0,NCIB,6,Top,virB
G5,4126.0,NCIB,6,Bottom,virB
G6,5612.0,NCIB,6,Bottom,virB
G7,11354.0,NCIB,6,Bottom,virB
G8,4711.0,NCIB,6,Bottom,virB
G9,4572.0,NCIB,7,Top,virB
G10,8386.0,NCIB,7,Top,virB
G11,6188.0,NCIB,7,Top,virB
G12,4665.0,NCIB,7,Top,virB
H1,17118.0,NCIB,7,Bottom,virB
H2,16041.0,NCIB,7,Bottom,virB
H3,21785.0,NCIB,7,Bottom,virB
H4,21365.0,NCIB,7,Bottom,virB
H5,6298.0,NCIB,8,Top,virB
H6,8823.0,NCIB,8,Top,virB
H7,6840.0,NCIB,8,Top,virB
H8,5110.0,NCIB,8,Top,virB
H9,15049.0,NCIB,8,Bottom,virB
H10,8623.0,NCIB,8,Bottom,virB
H11,9595.0,NCIB,8,Bottom,virB
H12,5517.0,NCIB,8,Bottom,virB
A1,1399.0,Q15,1,Top,virB
A2,1213.0,Q15,1,Top,virB
A3,1285.0,Q15,1,Top,virB
A4,1277.0,Q15,1,Top,virB
A5,1231.0,Q15,1,Bottom,virB
A6,1212.0,Q15,1,Bottom,virB
A7,1074.0,Q15,1,Bottom,virB
A8,1341.0,Q15,1,Bottom,virB
A9,1403.0,Q15,2,Top,virB
A10,1219.0,Q15,2,Top,virB
A11,1225.0,Q15,2,Top,virB
A12,1446.0,Q15,2,Top,virB
B1,1136.0,Q15,2,Bottom,virB
B2,1117.0,Q15,2,Bottom,virB
B3,1068.0,Q15,2,Bottom,virB
B4,1058.0,Q15,2,Bottom,virB
B5,1110.0,Q15,3,Top,virB
B6,1243.0,Q15,3,Top,virB
B7,1068.0,Q15,3,Top,virB
B8,1148.0,Q15,3,Top,virB
B9,1191.0,Q15,3,Bottom,virB
B10,1096.0,Q15,3,Bottom,virB
B11,994.0,Q15,3,Bottom,virB
B12,1179.0,Q15,3,Bottom,virB
C1,1242.0,Q15,4,Top,virB
C2,1116.0,Q15,4,Top,virB
C3,1108.0,Q15,4,Top,virB
C4,1015.0,Q15,4,Top,virB
C5,1132.0,Q15,4,Bottom,virB
C6,1233.0,Q15,4,Bottom,virB
C7,1105.0,Q15,4,Bottom,virB
C8,1097.0,Q15,4,Bottom,virB
C9,1143.0,Q15,5,Top,virB
C10,1080.0,Q15,5,Top,virB
C11,1151.0,Q15,5,Top,virB
C12,1133.0,Q15,5,Top,virB
D1,1193.0,Q15,5,Bottom,virB
D2,1301.0,Q15,5,Bottom,virB
D3,1181.0,Q15,5,Bottom,virB
D4,1224.0,Q15,5,Bottom,virB
D5,966.0,Q15,6,Top,virB
D6,1099.0,Q15,6,Top,virB
D7,1072.0,Q15,6,Top,virB
D8,950.0,Q15,6,Top,virB
D9,1024.0,Q15,6,Bottom,virB
D10,922.0,Q15,6,Bottom,virB
D11,925.0,Q15,6,Bottom,virB
D12,1031.0,Q15,6,Bottom,virB
E1,1288.0,Q15,7,Top,virB
E2,1119.0,Q15,7,Top,virB
E3,1197.0,Q15,7,Top,virB
E4,1126.0,Q15,7,Top,virB
E5,1099.0,Q15,7,Bottom,virB
E6,1033.0,Q15,7,Bottom,virB
E7,1054.0,Q15,7,Bottom,virB
E8,1136.0,Q15,7,Bottom,virB
E9,1133.0,Q15,8,Top,virB
E10,1074.0,Q15,8,Top,virB
E11,1074.0,Q15,8,Top,virB
E12,1183.0,Q15,8,Top,virB
F1,1028.0,Q15,8,Bottom,virB
F2,1094.0,Q15,8,Bottom,virB
F3,1021.0,Q15,8,Bottom,virB
F4,1015.0,Q15,8,Bottom,virB
F5,2388.0,TiAB,1,Top,virB
F6,2515.0,TiAB,1,Top,virB
F7,5604.0,TiAB,1,Top,virB
F8,7338.0,TiAB,1,Top,virB
F9,7355.0,TiAB,1,Bottom,virB
F10,6339.0,TiAB,1,Bottom,virB
F11,5340.0,TiAB,1,Bottom,virB
F12,4095.0,TiAB,1,Bottom,virB
G1,5142.0,TiAB,2,Top,virB
G2,1892.0,TiAB,2,Top,virB
G3,2266.0,TiAB,2,Top,virB
G4,5043.0,TiAB,2,Top,virB
G5,19553.0,TiAB,2,Bottom,virB
G6,12328.0,TiAB,2,Bottom,virB
G7,14149.0,TiAB,2,Bottom,virB
G8,20988.0,TiAB,2,Bottom,virB
G9,3846.0,TiAB,3,Top,virB
G10,4958.0,TiAB,3,Top,virB
G11,3824.0,TiAB,3,Top,virB
G12,2367.0,TiAB,3,Top,virB
H1,4793.0,TiAB,3,Bottom,virB
H2,4448.0,TiAB,3,Bottom,virB
H3,5369.0,TiAB,3,Bottom,virB
H4,3325.0,TiAB,3,Bottom,virB
H5,1503.0,TiAB,4,Top,virB
H6,2243.0,TiAB,4,Top,virB
H7,3008.0,TiAB,4,Top,virB
H8,2848.0,TiAB,4,Top,virB
H9,6011.0,TiAB,4,Bottom,virB
H10,7495.0,TiAB,4,Bottom,virB
H11,6167.0,TiAB,4,Bottom,virB
H12,6373.0,TiAB,4,Bottom,virB
A1,7765.0,TiAB,5,Top,virB
A2,7134.0,TiAB,5,Top,virB
A3,9250.0,TiAB,5,Top,virB
A4,6815.0,TiAB,5,Top,virB
A5,8374.0,TiAB,5,Bottom,virB
A6,10773.0,TiAB,5,Bottom,virB
A7,10323.0,TiAB,5,Bottom,virB
A8,15507.0,TiAB,5,Bottom,virB
A9,4336.0,TiAB,6,Top,virB
A10,4205.0,TiAB,6,Top,virB
A11,3466.0,TiAB,6,Top,virB
A12,6853.0,TiAB,6,Top,virB
B1,8946.0,TiAB,6,Bottom,virB
B2,4378.0,TiAB,6,Bottom,virB
B3,3145.0,TiAB,6,Bottom,virB
B4,6183.0,TiAB,6,Bottom,virB
B5,4157.0,TiAB,7,Top,virB
B6,3366.0,TiAB,7,Top,virB
B7,2373.0,TiAB,7,Top,virB
B8,3988.0,TiAB,7,Top,virB
B9,18648.0,TiAB,7,Bottom,virB
B10,11967.0,TiAB,7,Bottom,virB
B11,6052.0,TiAB,7,Bottom,virB
B12,5887.0,TiAB,7,Bottom,virB
C1,3472.0,TiAB,8,Top,virB
C2,3386.0,TiAB,8,Top,virB
C3,3687.0,TiAB,8,Top,virB
C4,4371.0,TiAB,8,Top,virB
C5,4996.0,TiAB,8,Bottom,virB
C6,6935.0,TiAB,8,Bottom,virB
C7,6297.0,TiAB,8,Bottom,virB
C8,6902.0,TiAB,8,Bottom,virB
C9,6405.0,TiBo,1,Top,virB
C10,2304.0,TiBo,1,Top,virB
C11,2945.0,TiBo,1,Top,virB
C12,7271.0,TiBo,1,Top,virB
D1,5083.0,TiBo,1,Bottom,virB
D2,4351.0,TiBo,1,Bottom,virB
D3,6740.0,TiBo,1,Bottom,virB
D4,7232.0,TiBo,1,Bottom,virB
D5,7345.0,TiBo,2,Top,virB
D6,2957.0,TiBo,2,Top,virB
D7,8042.0,TiBo,2,Top,virB
D8,2683.0,TiBo,2,Top,virB
D9,9056.0,TiBo,2,Bottom,virB
D10,20403.0,TiBo,2,Bottom,virB
D11,10827.0,TiBo,2,Bottom,virB
D12,7251.0,TiBo,2,Bottom,virB
E1,14092.0,TiBo,3,Top,virB
E2,9397.0,TiBo,3,Top,virB
E3,11838.0,TiBo,3,Top,virB
E4,6245.0,TiBo,3,Top,virB
E5,8944.0,TiBo,3,Bottom,virB
E6,8882.0,TiBo,3,Bottom,virB
E7,7770.0,TiBo,3,Bottom,virB
E8,4166.0,TiBo,3,Bottom,virB
E9,10570.0,TiBo,4,Top,virB
E10,9678.0,TiBo,4,Top,virB
E11,8098.0,TiBo,4,Top,virB
E12,12766.0,TiBo,4,Top,virB
F1,13670.0,TiBo,4,Bottom,virB
F2,12444.0,TiBo,4,Bottom,virB
F3,8963.0,TiBo,4,Bottom,virB
F4,8540.0,TiBo,4,Bottom,virB
F5,2689.0,TiBo,5,Top,virB
F6,4413.0,TiBo,5,Top,virB
F7,7140.0,TiBo,5,Top,virB
F8,6118.0,TiBo,5,Top,virB
F9,16910.0,TiBo,5,Bottom,virB
F10,14169.0,TiBo,5,Bottom,virB
F11,9952.0,TiBo,5,Bottom,virB
F12,10742.0,TiBo,5,Bottom,virB
G1,2619.0,TiBo,6,Top,virB
G2,6231.0,TiBo,6,Top,virB
G3,2769.0,TiBo,6,Top,virB
G4,5136.0,TiBo,6,Top,virB
G5,3611.0,TiBo,6,Bottom,virB
G6,3088.0,TiBo,6,Bottom,virB
G7,5605.0,TiBo,6,Bottom,virB
G8,5269.0,TiBo,6,Bottom,virB
G9,2765.0,TiBo,7,Top,virB
G10,3032.0,TiBo,7,Top,virB
G11,3200.0,TiBo,7,Top,virB
G12,1678.0,TiBo,7,Top,virB
H1,6532.0,TiBo,7,Bottom,virB
H2,7995.0,TiBo,7,Bottom,virB
H3,11126.0,TiBo,7,Bottom,virB
H4,8170.0,TiBo,7,Bottom,virB
H5,3035.0,TiBo,8,Top,virB
H6,3255.0,TiBo,8,Top,virB
H7,4509.0,TiBo,8,Top,virB
H8,3340.0,TiBo,8,Top,virB
H9,6860.0,TiBo,8,Bottom,virB
H10,3668.0,TiBo,8,Bottom,virB
H11,10471.0,TiBo,8,Bottom,virB
H12,5963.0,TiBo,8,Bottom,virB
A1,1571.0,T60,1,Top,virB
A2,1628.0,T60,1,Top,virB
A3,1514.0,T60,1,Top,virB
A4,1246.0,T60,1,Top,virB
A5,2009.0,T60,1,Bottom,virB
A6,1804.0,T60,1,Bottom,virB
A7,2299.0,T60,1,Bottom,virB
A8,2704.0,T60,1,Bottom,virB
A9,1936.0,T60,2,Top,virB
A10,2052.0,T60,2,Top,virB
A11,2046.0,T60,2,Top,virB
A12,1768.0,T60,2,Top,virB
B1,3144.0,T60,2,Bottom,virB
B2,3460.0,T60,2,Bottom,virB
B3,2727.0,T60,2,Bottom,virB
B4,3045.0,T60,2,Bottom,virB
B5,1795.0,T60,3,Top,virB
B6,1695.0,T60,3,Top,virB
B7,1654.0,T60,3,Top,virB
B8,1377.0,T60,3,Top,virB
B9,1720.0,T60,3,Bottom,virB
B10,1834.0,T60,3,Bottom,virB
B11,1932.0,T60,3,Bottom,virB
B12,1925.0,T60,3,Bottom,virB
C1,1607.0,T60,4,Top,virB
C2,1606.0,T60,4,Top,virB
C3,1858.0,T60,4,Top,virB
C4,2327.0,T60,4,Top,virB
C5,1228.0,T60,4,Bottom,virB
C6,2376.0,T60,4,Bottom,virB
C7,2756.0,T60,4,Bottom,virB
C8,2182.0,T60,4,Bottom,virB
C9,1860.0,T60,5,Top,virB
C10,1937.0,T60,5,Top,virB
C11,3148.0,T60,5,Top,virB
C12,1592.0,T60,5,Top,virB
D1,1967.0,T60,5,Bottom,virB
D2,1508.0,T60,5,Bottom,virB
D3,2600.0,T60,5,Bottom,virB
D4,2320.0,T60,5,Bottom,virB
D5,1061.0,T60,6,Top,virB
D6,1229.0,T60,6,Top,virB
D7,1204.0,T60,6,Top,virB
D8,1009.0,T60,6,Top,virB
D9,1010.0,T60,6,Bottom,virB
D10,1574.0,T60,6,Bottom,virB
D11,1492.0,T60,6,Bottom,virB
D12,1954.0,T60,6,Bottom,virB
E1,1511.0,T60,7,Top,virB
E2,1348.0,T60,7,Top,virB
E3,1141.0,T60,7,Top,virB
E4,1415.0,T60,7,Top,virB
E5,1378.0,T60,7,Bottom,virB
E6,1082.0,T60,7,Bottom,virB
E7,1195.0,T60,7,Bottom,virB
E8,1279.0,T60,7,Bottom,virB
E9,1153.0,T60,8,Top,virB
E10,1228.0,T60,8,Top,virB
E11,1265.0,T60,8,Top,virB
E12,1188.0,T60,8,Top,virB
F1,3031.0,T60,8,Bottom,virB
F2,1804.0,T60,8,Bottom,virB
F3,2253.0,T60,8,Bottom,virB
F4,1792.0,T60,8,Bottom,virB
F5,898.0,Leaf,1,Top,virB
F6,914.0,Leaf,1,Top,virB
F7,998.0,Leaf,1,Top,virB
F8,854.0,Leaf,1,Top,virB
F9,959.0,Leaf,1,Bottom,virB
F10,952.0,Leaf,1,Bottom,virB
