Well,GFP,Strain,Plant,Leaf,GFP_log
G7,647.0,ΔvirB1-5,2,Bottom,9.337621901992508
G8,689.0,ΔvirB1-5,2,Bottom,9.428360172704291
G9,703.0,ΔvirB1-5,3,Top,9.457380879072534
G10,733.0,ΔvirB1-5,3,Top,9.517669388133811
G11,686.0,ΔvirB1-5,3,Top,9.422064766172813
G12,662.0,ΔvirB1-5,3,Top,9.370687406807217
H1,796.0,ΔvirB1-5,3,Bottom,9.63662462054365
H2,806.0,ΔvirB1-5,3,Bottom,9.654636028527968
H3,778.0,ΔvirB1-5,3,Bottom,9.603626344986193
H4,828.0,ΔvirB1-5,3,Bottom,9.693486957499326
H5,856.0,ΔvirB1-5,4,Top,9.741466986401146
H6,866.0,ΔvirB1-5,4,Top,9.758223214726724
H7,857.0,ΔvirB1-5,4,Top,9.7431513941125
H8,783.0,ΔvirB1-5,4,Top,9.612868497291041
H9,800.0,ΔvirB1-5,4,Bottom,9.643856189774725
H10,839.0,ΔvirB1-5,4,Bottom,9.712527000439824
H11,870.0,ΔvirB1-5,4,Bottom,9.76487159073609
H12,738.0,ΔvirB1-5,4,Bottom,9.527477006060396
A1,686.0,ΔvirB1-5,5,Top,9.422064766172813
A2,854.0,ΔvirB1-5,5,Top,9.73809225962049
A3,914.0,ΔvirB1-5,5,Top,9.83605035505807
A4,789.0,ΔvirB1-5,5,Top,9.623881490013458
A5,699.0,ΔvirB1-5,5,Bottom,9.449148645375436
A6,642.0,ΔvirB1-5,5,Bottom,9.326429487122303
A7,693.0,ΔvirB1-5,5,Bottom,9.436711542137214
A8,720.0,ΔvirB1-5,5,Bottom,9.491853096329674
A9,671.0,ΔvirB1-5,6,Top,9.390168956200183
A10,687.0,ΔvirB1-5,6,Top,9.4241662888181
A11,656.0,ΔvirB1-5,6,Top,9.357552004618084
A12,699.0,ΔvirB1-5,6,Top,9.449148645375436
B1,821.0,ΔvirB1-5,6,Bottom,9.681238411777805
B2,751.0,ΔvirB1-5,6,Bottom,9.552669097514272
B3,759.0,ΔvirB1-5,6,Bottom,9.567956075415466
B4,806.0,ΔvirB1-5,6,Bottom,9.654636028527968
B5,992.0,ΔvirB1-5,7,Top,9.954196310386875
B6,2164.0,ΔvirB1-5,7,Top,11.079484783826816
B7,2301.0,ΔvirB1-5,7,Top,11.16804526822409
B8,1821.0,ΔvirB1-5,7,Top,10.830515206976838
B9,1940.0,ΔvirB1-5,7,Bottom,10.92184093707449
B10,1727.0,ΔvirB1-5,7,Bottom,10.754052367528924
B11,1220.0,ΔvirB1-5,7,Bottom,10.252665432450248
B12,1951.0,ΔvirB1-5,7,Bottom,10.929998062609027
C1,812.0,ΔvirB1-5,8,Top,9.665335917185176
C2,694.0,ΔvirB1-5,8,Top,9.43879185257826
C3,750.0,ΔvirB1-5,8,Top,9.550746785383243
C4,716.0,ΔvirB1-5,8,Top,9.483815777264256
C5,730.0,ΔvirB1-5,8,Bottom,9.51175265376738
C6,649.0,ΔvirB1-5,8,Bottom,9.342074667999139
C7,613.0,ΔvirB1-5,8,Bottom,9.259743263690781
C8,783.0,ΔvirB1-5,8,Bottom,9.612868497291041
C9,714.0,ΔvirB6-11,1,Top,9.479780264029099
C10,769.0,ΔvirB6-11,1,Top,9.586839787961827
C11,738.0,ΔvirB6-11,1,Top,9.527477006060396
C12,834.0,ΔvirB6-11,1,Top,9.703903573444663
D1,773.0,ΔvirB6-11,1,Bottom,9.594324603924848
D2,734.0,ΔvirB6-11,1,Bottom,9.519636252843213
D3,700.0,ΔvirB6-11,1,Bottom,9.451211111832329
D4,774.0,ΔvirB6-11,1,Bottom,9.59618975614441
D5,843.0,ΔvirB6-11,2,Top,9.719388820942083
D6,946.0,ΔvirB6-11,2,Top,9.885696373339394
D7,950.0,ΔvirB6-11,2,Top,9.89178370321831
D8,1089.0,ΔvirB6-11,2,Top,10.088788238716907
D9,807.0,ΔvirB6-11,2,Bottom,9.656424863277781
D10,689.0,ΔvirB6-11,2,Bottom,9.428360172704291
D11,689.0,ΔvirB6-11,2,Bottom,9.428360172704291
D12,844.0,ΔvirB6-11,2,Bottom,9.721099188707186
E1,804.0,ΔvirB6-11,3,Top,9.651051691178928
E2,774.0,ΔvirB6-11,3,Top,9.59618975614441
E3,688.0,ΔvirB6-11,3,Top,9.426264754702098
E4,749.0,ΔvirB6-11,3,Top,9.54882190845875
E5,791.0,ΔvirB6-11,3,Bottom,9.627533884472792
E6,874.0,ΔvirB6-11,3,Bottom,9.7714894695006
E7,731.0,ΔvirB6-11,3,Bottom,9.513727595952437
E8,792.0,ΔvirB6-11,3,Bottom,9.62935662007961
E9,673.0,ΔvirB6-11,4,Top,9.394462694610317
E10,668.0,ΔvirB6-11,4,Top,9.383704292474052
E11,717.0,ΔvirB6-11,4,Top,9.485829308701904
E12,766.0,ΔvirB6-11,4,Top,9.581200581924957
F1,795.0,ΔvirB6-11,4,Bottom,9.634811050171718
F2,871.0,ΔvirB6-11,4,Bottom,9.766528908598865
F3,802.0,ΔvirB6-11,4,Bottom,9.64745842645492
F4,746.0,ΔvirB6-11,4,Bottom,9.543031820255237
F5,704.0,ΔvirB6-11,5,Top,9.459431618637296
F6,774.0,ΔvirB6-11,5,Top,9.59618975614441
F7,729.0,ΔvirB6-11,5,Top,9.509775004326936
F8,714.0,ΔvirB6-11,5,Top,9.479780264029099
F9,727.0,ΔvirB6-11,5,Bottom,9.505811553919594
F10,660.0,ΔvirB6-11,5,Bottom,9.366322214245816
F11,700.0,ΔvirB6-11,5,Bottom,9.451211111832329
F12,665.0,ΔvirB6-11,5,Bottom,9.377210530388552
G1,830.0,ΔvirB6-11,6,Top,9.696967526234287
G2,733.0,ΔvirB6-11,6,Top,9.517669388133811
G3,708.0,ΔvirB6-11,6,Top,9.467605550082997
G4,729.0,ΔvirB6-11,6,Top,9.509775004326936
G5,755.0,ΔvirB6-11,6,Bottom,9.560332834212442
G6,831.0,ΔvirB6-11,6,Bottom,9.698704666770345
G7,679.0,ΔvirB6-11,6,Bottom,9.407267764244732
G8,734.0,ΔvirB6-11,6,Bottom,9.519636252843213
G9,740.0,ΔvirB6-11,7,Top,9.531381460516313
G10,645.0,ΔvirB6-11,7,Top,9.333155350310616
G11,758.0,ΔvirB6-11,7,Top,9.566054038171092
G12,770.0,ΔvirB6-11,7,Top,9.588714635582264
H1,814.0,ΔvirB6-11,7,Bottom,9.668884984266247
H2,941.0,ΔvirB6-11,7,Bottom,9.878050912728536
H3,812.0,ΔvirB6-11,7,Bottom,9.665335917185176
H4,770.0,ΔvirB6-11,7,Bottom,9.588714635582264
H5,710.0,ΔvirB6-11,8,Top,9.471675214392045
H6,791.0,ΔvirB6-11,8,Top,9.627533884472792
H7,691.0,ΔvirB6-11,8,Top,9.432541900388259
H8,680.0,ΔvirB6-11,8,Top,9.409390936137703
H9,802.0,ΔvirB6-11,8,Bottom,9.64745842645492
H10,793.0,ΔvirB6-11,8,Bottom,9.63117705570398
H11,746.0,ΔvirB6-11,8,Bottom,9.543031820255237
H12,803.0,ΔvirB6-11,8,Bottom,9.649256177517314
A1,30836.0,ΔvirC12,1,Top,14.912328012687096
A2,20458.0,ΔvirC12,1,Top,14.32037749183128
A3,24912.0,ΔvirC12,1,Top,14.604553229079038
A4,20330.0,ΔvirC12,1,Top,14.311322594732095
A5,21364.0,ΔvirC12,1,Bottom,14.382894168892134
A6,15916.0,ΔvirC12,1,Bottom,13.958190183693738
A7,22338.0,ΔvirC12,1,Bottom,14.447212401572669
A8,23375.0,ΔvirC12,1,Bottom,14.512678744549724
A9,30911.0,ΔvirC12,2,Top,14.91583270704563
A10,28135.0,ΔvirC12,2,Top,14.78007834294492
A11,35181.0,ΔvirC12,2,Top,15.102508870731603
A12,34470.0,ΔvirC12,2,Top,15.073053678254631
B1,40371.0,ΔvirC12,2,Bottom,15.301031702735788
B2,24713.0,ΔvirC12,2,Bottom,14.592982534789645
B3,30412.0,ΔvirC12,2,Bottom,14.892353075734109
B4,28697.0,ΔvirC12,2,Bottom,14.808612304208427
B5,11129.0,ΔvirC12,3,Top,13.442036344209926
B6,19912.0,ΔvirC12,3,Top,14.281350514981035
B7,22661.0,ΔvirC12,3,Top,14.467923906339312
B8,19024.0,ΔvirC12,3,Top,14.215532999745657
B9,19002.0,ΔvirC12,3,Bottom,14.213863652749346
B10,16860.0,ΔvirC12,3,Bottom,14.041316915829444
B11,15114.0,ΔvirC12,3,Bottom,13.883597907455398
B12,21580.0,ΔvirC12,3,Bottom,14.39740724437538
C1,20181.0,ΔvirC12,4,Top,14.300710043552511
C2,30007.0,ΔvirC12,4,Top,14.873011469846222
C3,28514.0,ΔvirC12,4,Top,14.799382817119824
C4,24622.0,ΔvirC12,4,Top,14.587660333609477
C5,17571.0,ΔvirC12,4,Bottom,14.100908679830674
C6,22617.0,ΔvirC12,4,Bottom,14.465119957322967
C7,31631.0,ΔvirC12,4,Bottom,14.949051546287954
C8,24471.0,ΔvirC12,4,Bottom,14.578785437467072
C9,24177.0,ΔvirC12,5,Top,14.561347618609748
C10,20146.0,ΔvirC12,5,Top,14.298205798797902
C11,17362.0,ΔvirC12,5,Top,14.083645526864412
C12,22696.0,ΔvirC12,5,Top,14.470150435274359
D1,22482.0,ΔvirC12,5,Bottom,14.45648276305027
D2,15972.0,ΔvirC12,5,Bottom,13.963257356633047
D3,13342.0,ΔvirC12,5,Bottom,13.703687325967547
D4,22025.0,ΔvirC12,5,Bottom,14.426854398695138
D5,22266.0,ΔvirC12,6,Top,14.442554786418683
D6,17843.0,ΔvirC12,6,Top,14.123070580079807
D7,29071.0,ΔvirC12,6,Top,14.827293078482398
D8,25550.0,ΔvirC12,6,Top,14.641035670712347
D9,16706.0,ΔvirC12,6,Bottom,14.028078722704887
D10,7608.0,ΔvirC12,6,Bottom,12.893301530860564
D11,18529.0,ΔvirC12,6,Bottom,14.177497401553003
D12,12063.0,ΔvirC12,6,Bottom,13.558301121521517
E1,30822.0,ΔvirC12,7,Top,14.911672859068116
E2,29997.0,ΔvirC12,7,Top,14.87253060355256
E3,26830.0,ΔvirC12,7,Top,14.711559434147883
E4,34299.0,ΔvirC12,7,Top,15.06587889425448
E5,18953.0,ΔvirC12,7,Bottom,14.210138604862246
E6,18942.0,ΔvirC12,7,Bottom,14.209301046034142
E7,16706.0,ΔvirC12,7,Bottom,14.028078722704887
E8,20565.0,ΔvirC12,7,Bottom,14.327903451387744
E9,14620.0,ΔvirC12,8,Top,13.8356556908398
E10,18887.0,ΔvirC12,8,Top,14.205105942639431
E11,15478.0,ΔvirC12,8,Top,13.917931444281608
E12,14961.0,ΔvirC12,8,Top,13.86891898838627
F1,16236.0,ΔvirC12,8,Bottom,13.986908624697694
F2,19114.0,ΔvirC12,8,Bottom,14.222342103249112
F3,22706.0,ΔvirC12,8,Bottom,14.4707859557643
F4,16501.0,ΔvirC12,8,Bottom,14.010265837434154
F5,888.0,ΔvirD12,1,Top,9.794415866350105
F6,841.0,ΔvirD12,1,Top,9.715961990255144
F7,784.0,ΔvirD12,1,Top,9.614709844115207
F8,786.0,ΔvirD12,1,Top,9.618385502258606
F9,804.0,ΔvirD12,1,Bottom,9.651051691178928
F10,766.0,ΔvirD12,1,Bottom,9.581200581924957
F11,829.0,ΔvirD12,1,Bottom,9.69522829149575
F12,772.0,ΔvirD12,1,Bottom,9.59245703726808
G1,874.0,ΔvirD12,2,Top,9.7714894695006
G2,773.0,ΔvirD12,2,Top,9.594324603924848
G3,735.0,ΔvirD12,2,Top,9.521600439723727
G4,750.0,ΔvirD12,2,Top,9.550746785383243
G5,877.0,ΔvirD12,2,Bottom,9.776433032444734
G6,842.0,ΔvirD12,2,Bottom,9.717676423066395
G7,872.0,ΔvirD12,2,Bottom,9.768184324776927
G8,1062.0,ΔvirD12,2,Bottom,10.052568050804153
G9,949.0,ΔvirD12,3,Top,9.89026427702111
G10,712.0,ΔvirD12,3,Top,9.475733430966399
G11,802.0,ΔvirD12,3,Top,9.64745842645492
G12,776.0,ΔvirD12,3,Top,9.599912842187127
H1,824.0,ΔvirD12,3,Bottom,9.686500527183219
H2,793.0,ΔvirD12,3,Bottom,9.63117705570398
H3,896.0,ΔvirD12,3,Bottom,9.807354922057604
H4,757.0,ΔvirD12,3,Bottom,9.564149489985732
H5,1019.0,ΔvirD12,4,Top,9.992938336165814
H6,919.0,ΔvirD12,4,Top,9.843921051289035
H7,1163.0,ΔvirD12,4,Top,10.183635381473218
H8,982.0,ΔvirD12,4,Top,9.939579214314692
H9,909.0,ΔvirD12,4,Bottom,9.828136484194108
H10,829.0,ΔvirD12,4,Bottom,9.69522829149575
H11,745.0,ΔvirD12,4,Bottom,9.541096615349524
H12,826.0,ΔvirD12,4,Bottom,9.689997971419446
A1,1111.0,ΔvirD12,5,Top,10.117643101389092
A2,935.0,ΔvirD12,5,Top,9.868822554774999
A3,863.0,ΔvirD12,5,Top,9.753216749178955
A4,912.0,ΔvirD12,5,Top,9.832890014164741
A5,957.0,ΔvirD12,5,Bottom,9.902375114486025
A6,738.0,ΔvirD12,5,Bottom,9.527477006060396
A7,840.0,ΔvirD12,5,Bottom,9.714245517666123
A8,740.0,ΔvirD12,5,Bottom,9.531381460516313
A9,828.0,ΔvirD12,6,Top,9.693486957499326
A10,875.0,ΔvirD12,6,Top,9.77313920671969
A11,823.0,ΔvirD12,6,Top,9.684748620421626
A12,1306.0,ΔvirD12,6,Top,10.350939181546432
B1,758.0,ΔvirD12,6,Bottom,9.566054038171092
B2,766.0,ΔvirD12,6,Bottom,9.581200581924957
B3,689.0,ΔvirD12,6,Bottom,9.428360172704291
B4,766.0,ΔvirD12,6,Bottom,9.581200581924957
B5,692.0,ΔvirD12,7,Top,9.434628227636725
B6,762.0,ΔvirD12,7,Top,9.573647187493322
B7,756.0,ΔvirD12,7,Top,9.562242424221072
B8,722.0,ΔvirD12,7,Top,9.49585502688717
B9,763.0,ΔvirD12,7,Bottom,9.57553924683453
B10,792.0,ΔvirD12,7,Bottom,9.62935662007961
B11,762.0,ΔvirD12,7,Bottom,9.573647187493322
B12,783.0,ΔvirD12,7,Bottom,9.612868497291041
C1,797.0,ΔvirD12,8,Top,9.638435913990472
C2,852.0,ΔvirD12,8,Top,9.734709620225837
C3,753.0,ΔvirD12,8,Top,9.556506054671928
C4,757.0,ΔvirD12,8,Top,9.564149489985732
C5,1042.0,ΔvirD12,8,Bottom,10.025139562278508
C6,699.0,ΔvirD12,8,Bottom,9.449148645375436
C7,886.0,ΔvirD12,8,Bottom,9.791162888555018
C8,826.0,ΔvirD12,8,Bottom,9.689997971419446
C9,422630.0,ΔvirD3,1,Top,18.68903565371881
C10,373522.0,ΔvirD3,1,Top,18.51083369296987
C11,376682.0,ΔvirD3,1,Top,18.522987569226796
C12,329265.0,ΔvirD3,1,Top,18.328889639847016
D1,687402.0,ΔvirD3,1,Bottom,19.390794523682494
D2,510305.0,ΔvirD3,1,Bottom,18.961000251843892
D3,736490.0,ΔvirD3,1,Bottom,19.49030641103758
D4,591631.0,ΔvirD3,1,Bottom,19.174338122503517
D5,368246.0,ΔvirD3,2,Top,18.49031032879093
D6,376301.0,ΔvirD3,2,Top,18.52152759773345
D7,379058.0,ΔvirD3,2,Top,18.532059087768143
D8,363423.0,ΔvirD3,2,Top,18.471290200932128
D9,185512.0,ΔvirD3,2,Bottom,17.50115298624541
D10,207415.0,ΔvirD3,2,Bottom,17.662160706307766
D11,85771.0,ΔvirD3,2,Bottom,16.388202320650375
D12,172345.0,ΔvirD3,2,Bottom,17.394939918892845
E1,648236.0,ΔvirD3,3,Top,19.306159617862196
E2,515105.0,ΔvirD3,3,Top,18.974507018458787
E3,503969.0,ΔvirD3,3,Top,18.942975468237897
E4,630117.0,ΔvirD3,3,Top,19.26526020725234
E5,368666.0,ΔvirD3,3,Bottom,18.491954845321487
E6,400973.0,ΔvirD3,3,Bottom,18.613145568779
E7,276849.0,ΔvirD3,3,Bottom,18.078739785188464
E8,543070.0,ΔvirD3,3,Bottom,19.050778643265755
E9,444090.0,ΔvirD3,4,Top,18.760492559561158
E10,435007.0,ΔvirD3,4,Top,18.730679090993654
E11,536544.0,ΔvirD3,4,Top,19.03333696038395
E12,603021.0,ΔvirD3,4,Top,19.20184871879819
F1,299377.0,ΔvirD3,4,Bottom,18.191603863299637
F2,181413.0,ΔvirD3,4,Bottom,17.468918317092253
F3,384332.0,ΔvirD3,4,Bottom,18.55199357657087
F4,272333.0,ΔvirD3,4,Bottom,18.05501228624093
F5,459270.0,ΔvirD3,5,Top,18.808983022714216
F6,296743.0,ΔvirD3,5,Top,18.17885447234309
F7,395674.0,ΔvirD3,5,Top,18.593952742417525
F8,511588.0,ΔvirD3,5,Top,18.96462289865728
F9,159254.0,ΔvirD3,5,Bottom,17.280970083701373
F10,81100.0,ΔvirD3,5,Bottom,16.307414293991997
F11,52075.0,ΔvirD3,5,Bottom,15.668303313815372
F12,291560.0,ΔvirD3,5,Bottom,18.15343327997269
G1,609676.0,ΔvirD3,6,Top,19.21768322961198
G2,335673.0,ΔvirD3,6,Top,18.35669697235207
G3,305899.0,ΔvirD3,6,Top,18.22269586509429
G4,412898.0,ΔvirD3,6,Top,18.65542590482528
G5,308218.0,ΔvirD3,6,Bottom,18.233591592462247
G6,247294.0,ΔvirD3,6,Bottom,17.915867711029787
G7,257424.0,ΔvirD3,6,Bottom,17.973787038744756
G8,364272.0,ΔvirD3,6,Bottom,18.474656580103243
G9,527489.0,ΔvirD3,7,Top,19.00878148330703
G10,574293.0,ΔvirD3,7,Top,19.131427451402207
G11,725951.0,ΔvirD3,7,Top,19.469512647392378
G12,469383.0,ΔvirD3,7,Top,18.840406066063927
H1,517492.0,ΔvirD3,7,Bottom,18.981177034344352
H2,477733.0,ΔvirD3,7,Bottom,18.86584501063889
H3,502630.0,ΔvirD3,7,Bottom,18.93913725699555
H4,521679.0,ΔvirD3,7,Bottom,18.992802833802774
H5,502676.0,ΔvirD3,8,Top,18.939269284401988
H6,456152.0,ΔvirD3,8,Top,18.799155117041874
H7,523678.0,ΔvirD3,8,Top,18.998320472087197
H8,552625.0,ΔvirD3,8,Top,19.075941303616155
H9,127510.0,ΔvirD3,8,Bottom,16.96025086963605
H10,210741.0,ΔvirD3,8,Bottom,17.685111494535985
H11,194225.0,ΔvirD3,8,Bottom,17.567369386083133
H12,263426.0,ΔvirD3,8,Bottom,18.007038220258615
A1,847.0,ΔvirD4,1,Top,9.726218159332198
A2,690.0,ΔvirD4,1,Top,9.430452551665532
A3,579.0,ΔvirD4,1,Top,9.177419537989236
A4,830.0,ΔvirD4,1,Top,9.696967526234287
A5,759.0,ΔvirD4,1,Bottom,9.567956075415466
A6,617.0,ΔvirD4,1,Bottom,9.269126679149418
A7,652.0,ΔvirD4,1,Bottom,9.348728154231077
A8,721.0,ΔvirD4,1,Bottom,9.493855449240822
A9,649.0,ΔvirD4,2,Top,9.342074667999139
A10,636.0,ΔvirD4,2,Top,9.312882955284355
A11,746.0,ΔvirD4,2,Top,9.543031820255237
A12,849.0,ΔvirD4,2,Top,9.729620743553038
B1,737.0,ΔvirD4,2,Bottom,9.52552080909507
B2,701.0,ΔvirD4,2,Bottom,9.453270634010623
B3,634.0,ΔvirD4,2,Bottom,9.308339030139408
B4,700.0,ΔvirD4,2,Bottom,9.451211111832329
B5,641.0,ΔvirD4,3,Top,9.324180546618742
B6,662.0,ΔvirD4,3,Top,9.370687406807217
B7,657.0,ΔvirD4,3,Top,9.35974956032233
B8,769.0,ΔvirD4,3,Top,9.586839787961827
B9,741.0,ΔvirD4,3,Bottom,9.533329732305834
B10,703.0,ΔvirD4,3,Bottom,9.457380879072534
B11,717.0,ΔvirD4,3,Bottom,9.485829308701904
