Well,GFP,Strain,Plant,Leaf,Promoter,GFP_log
E4,359939,WT,7,Top,J23117,18.457392903618803
E5,253808,WT,7,Bottom,J23117,17.95337801792013
E6,291273,WT,7,Bottom,J23117,18.15201244927092
E7,256662,WT,7,Bottom,J23117,17.969510188465804
E8,254544,WT,7,Bottom,J23117,17.957555533861903
E9,251110,WT,8,Top,J23117,17.937959956901825
E10,604772,WT,8,Top,J23117,19.206031821012573
E11,302920,WT,8,Top,J23117,18.20857730825934
E12,384613,WT,8,Top,J23117,18.55304800133346
F1,286078,WT,8,Bottom,J23117,18.12604903008016
F2,341175,WT,8,Bottom,J23117,18.380152409787534
F3,356939,WT,8,Bottom,J23117,18.44531801671098
F4,259708,WT,8,Bottom,J23117,17.986530929664386
F5,50711,ΔvirB1-5,1,Top,J23117,15.630011103585552
F6,48531,ΔvirB1-5,1,Top,J23117,15.566618967246391
F7,73952,ΔvirB1-5,1,Top,J23117,16.17430154446763
F8,56981,ΔvirB1-5,1,Top,J23117,15.798193320312325
F9,71796,ΔvirB1-5,1,Bottom,J23117,16.13161584837611
F10,79545,ΔvirB1-5,1,Bottom,J23117,16.279483628749265
F11,60734,ΔvirB1-5,1,Bottom,J23117,15.890216769157735
F12,36825,ΔvirB1-5,1,Bottom,J23117,15.168397904810574
G1,48182,ΔvirB1-5,2,Top,J23117,15.55620665959731
G2,38194,ΔvirB1-5,2,Top,J23117,15.221058398697371
G3,30822,ΔvirB1-5,2,Top,J23117,14.911672859068116
G4,57544,ΔvirB1-5,2,Top,J23117,15.812377888766893
G5,32401,ΔvirB1-5,2,Bottom,J23117,14.983750719596928
G6,32108,ΔvirB1-5,2,Bottom,J23117,14.970645182266665
G7,32997,ΔvirB1-5,2,Bottom,J23117,15.010047243964003
G8,24686,ΔvirB1-5,2,Bottom,J23117,14.591405467643229
G9,53661,ΔvirB1-5,3,Top,J23117,15.711586319753513
G10,71413,ΔvirB1-5,3,Top,J23117,16.123899105461355
G11,33077,ΔvirB1-5,3,Top,J23117,15.0135407712113
G12,74800,ΔvirB1-5,3,Top,J23117,16.190750649662363
H1,64378,ΔvirB1-5,3,Bottom,J23117,15.974280137556391
H2,78665,ΔvirB1-5,3,Bottom,J23117,16.26343426740608
H3,52147,ΔvirB1-5,3,Bottom,J23117,15.670296636903945
H4,57477,ΔvirB1-5,3,Bottom,J23117,15.810697142143717
H5,29778,ΔvirB1-5,4,Top,J23117,14.861959240018276
H6,47792,ΔvirB1-5,4,Top,J23117,15.544481522310791
H7,43582,ΔvirB1-5,4,Top,J23117,15.411444783526784
H8,32272,ΔvirB1-5,4,Top,J23117,14.977995368612962
H9,59533,ΔvirB1-5,4,Bottom,J23117,15.861401976352395
H10,39958,ΔvirB1-5,4,Bottom,J23117,15.286196753913735
H11,43045,ΔvirB1-5,4,Bottom,J23117,15.393558047040607
H12,58438,ΔvirB1-5,4,Bottom,J23117,15.834619183299067
A1,66939,ΔvirB1-5,5,Top,J23117,16.030559378350752
A2,91826,ΔvirB1-5,5,Top,J23117,16.486615081774396
A3,107811,ΔvirB1-5,5,Top,J23117,16.718144858796517
A4,54479,ΔvirB1-5,5,Top,J23117,15.733412601469889
A5,60304,ΔvirB1-5,5,Bottom,J23117,15.879966079664356
A6,89749,ΔvirB1-5,5,Bottom,J23117,16.453608243799028
A7,79110,ΔvirB1-5,5,Bottom,J23117,16.27157245147308
A8,49916,ΔvirB1-5,5,Bottom,J23117,15.607214708553757
A9,62702,ΔvirB1-5,6,Top,J23117,15.936223840823395
A10,48138,ΔvirB1-5,6,Top,J23117,15.554888582641025
A11,49019,ΔvirB1-5,6,Top,J23117,15.581053432710618
A12,40697,ΔvirB1-5,6,Top,J23117,15.312634828963766
B1,52150,ΔvirB1-5,6,Bottom,J23117,15.670379632294491
B2,74132,ΔvirB1-5,6,Bottom,J23117,16.177808813791195
B3,60808,ΔvirB1-5,6,Bottom,J23117,15.891973519025555
B4,104879,ΔvirB1-5,6,Bottom,J23117,16.67836630937
B5,73562,ΔvirB1-5,7,Top,J23117,16.16667308375359
B6,64562,ΔvirB1-5,7,Top,J23117,15.978397650627805
B7,72569,ΔvirB1-5,7,Top,J23117,16.147065769404055
B8,48916,ΔvirB1-5,7,Top,J23117,15.578018814974364
B9,78613,ΔvirB1-5,7,Bottom,J23117,16.26248028598643
B10,87381,ΔvirB1-5,7,Bottom,J23117,16.41503199582352
B11,91340,ΔvirB1-5,7,Bottom,J23117,16.478959169265718
B12,136449,ΔvirB1-5,7,Bottom,J23117,17.058002295942764
C1,38228,ΔvirB1-5,8,Top,J23117,15.222342103249112
C2,50242,ΔvirB1-5,8,Top,J23117,15.616606274763289
C3,39317,ΔvirB1-5,8,Top,J23117,15.262865623653143
C4,37906,ΔvirB1-5,8,Top,J23117,15.210138604862246
C5,64428,ΔvirB1-5,8,Bottom,J23117,15.975400190281693
C6,79885,ΔvirB1-5,8,Bottom,J23117,16.285637013401118
C7,76327,ΔvirB1-5,8,Bottom,J23117,16.21990586748335
C8,64967,ΔvirB1-5,8,Bottom,J23117,15.987419466524592
C9,176455,ΔvirB1-5,1,Top,J23101,17.4289407851042
C10,160734,ΔvirB1-5,1,Top,J23101,17.294315608447256
C11,231166,ΔvirB1-5,1,Top,J23101,17.818569695638374
C12,310678,ΔvirB1-5,1,Top,J23101,18.24506055814102
D1,197855,ΔvirB1-5,1,Bottom,J23101,17.594083998600382
D2,204368,ΔvirB1-5,1,Bottom,J23101,17.64080979079316
D3,235739,ΔvirB1-5,1,Bottom,J23101,17.84683092819743
D4,115390,ΔvirB1-5,1,Bottom,J23101,16.816158676101928
D5,159956,ΔvirB1-5,2,Top,J23101,17.287315583851296
D6,145495,ΔvirB1-5,2,Top,J23101,17.150610049569337
D7,110036,ΔvirB1-5,2,Top,J23101,16.74761607568257
D8,157517,ΔvirB1-5,2,Top,J23101,17.265148014110792
D9,177414,ΔvirB1-5,2,Bottom,J23101,17.436760333758063
D10,136940,ΔvirB1-5,2,Bottom,J23101,17.063184391979497
D11,107706,ΔvirB1-5,2,Bottom,J23101,16.716739095062994
D12,215139,ΔvirB1-5,2,Bottom,J23101,17.714909551994015
E1,141537,ΔvirB1-5,3,Top,J23101,17.11081971999401
E2,150198,ΔvirB1-5,3,Top,J23101,17.19650607684098
E3,143849,ΔvirB1-5,3,Top,J23101,17.134195666316547
E4,83454,ΔvirB1-5,3,Top,J23101,16.34869358002843
E5,256795,ΔvirB1-5,3,Bottom,J23101,17.97025758676685
E6,90894,ΔvirB1-5,3,Bottom,J23101,16.471897443430436
E7,156236,ΔvirB1-5,3,Bottom,J23101,17.253367392944433
E8,221733,ΔvirB1-5,3,Bottom,J23101,17.758463973525256
E9,216276,ΔvirB1-5,4,Top,J23101,17.72251405373555
E10,229191,ΔvirB1-5,4,Top,J23101,17.806190867090525
E11,185313,ΔvirB1-5,4,Top,J23101,17.49960456669065
E12,348797,ΔvirB1-5,4,Top,J23101,18.412028105997365
F1,294294,ΔvirB1-5,4,Bottom,J23101,18.166898603672358
F2,287683,ΔvirB1-5,4,Bottom,J23101,18.13412044511314
F3,220796,ΔvirB1-5,4,Bottom,J23101,17.752354510536428
F4,286075,ΔvirB1-5,4,Bottom,J23101,18.12603390096217
F5,133298,ΔvirB1-5,5,Top,J23101,17.02429560886424
F6,309425,ΔvirB1-5,5,Top,J23101,18.2392302385119
F7,98784,ΔvirB1-5,5,Top,J23101,16.591989767615125
F8,176521,ΔvirB1-5,5,Top,J23101,17.429480299823663
F9,162288,ΔvirB1-5,5,Bottom,J23101,17.308196801614532
F10,183301,ΔvirB1-5,5,Bottom,J23101,17.48385513096985
F11,135146,ΔvirB1-5,5,Bottom,J23101,17.044159286601218
F12,146578,ΔvirB1-5,5,Bottom,J23101,17.16130905899539
G1,195457,ΔvirB1-5,6,Top,J23101,17.57649172795348
G2,166619,ΔvirB1-5,6,Top,J23101,17.34619339880673
G3,215135,ΔvirB1-5,6,Top,J23101,17.714882728248387
G4,213521,ΔvirB1-5,6,Top,J23101,17.70401844173438
G5,193366,ΔvirB1-5,6,Bottom,J23101,17.56097461907799
G6,185174,ΔvirB1-5,6,Bottom,J23101,17.4985220206359
G7,239105,ΔvirB1-5,6,Bottom,J23101,17.8672847734524
G8,198166,ΔvirB1-5,6,Bottom,J23101,17.596349930204777
G9,149883,ΔvirB1-5,7,Top,J23101,17.193477233929897
G10,179979,ΔvirB1-5,7,Top,J23101,17.45746905675122
G11,120834,ΔvirB1-5,7,Top,J23101,16.88266692851805
G12,222895,ΔvirB1-5,7,Top,J23101,17.766004728736988
H1,307076,ΔvirB1-5,7,Bottom,J23101,18.228236235093096
H2,223176,ΔvirB1-5,7,Bottom,J23101,17.76782236476405
H3,235389,ΔvirB1-5,7,Bottom,J23101,17.84468737758187
H4,202229,ΔvirB1-5,7,Bottom,J23101,17.625630371560078
H5,191456,ΔvirB1-5,8,Top,J23101,17.546653347654956
H6,215994,ΔvirB1-5,8,Top,J23101,17.720631711406703
H7,243970,ΔvirB1-5,8,Top,J23101,17.896344230781725
H8,245090,ΔvirB1-5,8,Top,J23101,17.902952095953992
H9,295809,ΔvirB1-5,8,Bottom,J23101,18.174306421592664
H10,195523,ΔvirB1-5,8,Bottom,J23101,17.576978800814512
H11,252558,ΔvirB1-5,8,Bottom,J23101,17.946255215582408
H12,305369,ΔvirB1-5,8,Bottom,J23101,18.2201940866165
A1,75813,ΔvirB1-5,1,Top,J23100,16.210157634640197
A2,77934,ΔvirB1-5,1,Top,J23100,16.249965244807385
A3,118897,ΔvirB1-5,1,Top,J23100,16.859352788008813
A4,98804,ΔvirB1-5,1,Top,J23100,16.59228182888318
A5,43888,ΔvirB1-5,1,Bottom,J23100,15.421538906848276
A6,90881,ΔvirB1-5,1,Bottom,J23100,16.471691089030067
A7,45971,ΔvirB1-5,1,Bottom,J23100,15.488436428765933
A8,46047,ΔvirB1-5,1,Bottom,J23100,15.490819546156859
A9,38960,ΔvirB1-5,2,Top,J23100,15.249706056969705
A10,79652,ΔvirB1-5,2,Top,J23100,16.281422966709407
A11,91579,ΔvirB1-5,2,Top,J23100,16.482729191089437
A12,64291,ΔvirB1-5,2,Top,J23100,15.972329170537373
B1,52645,ΔvirB1-5,2,Bottom,J23100,15.684008896218366
B2,32225,ΔvirB1-5,2,Bottom,J23100,14.975892738136375
B3,45328,ΔvirB1-5,2,Bottom,J23100,15.468114886378098
B4,17213,ΔvirB1-5,2,Bottom,J23100,14.071210941653687
B5,98270,ΔvirB1-5,3,Top,J23100,16.584463435413646
B6,92103,ΔvirB1-5,3,Top,J23100,16.49096052842452
B7,89008,ΔvirB1-5,3,Top,J23100,16.441647390253614
B8,100038,ΔvirB1-5,3,Top,J23100,16.610188594416147
B9,202889,ΔvirB1-5,3,Bottom,J23100,17.630331123288688
B10,206303,ΔvirB1-5,3,Bottom,J23100,17.654405275077853
B11,234641,ΔvirB1-5,3,Bottom,J23100,17.8400955991781
B12,165706,ΔvirB1-5,3,Bottom,J23100,17.338266316063944
C1,49834,ΔvirB1-5,4,Top,J23100,15.604842758278044
C2,43761,ΔvirB1-5,4,Top,J23100,15.417358085654255
C3,43458,ΔvirB1-5,4,Top,J23100,15.407334160684483
C4,42914,ΔvirB1-5,4,Top,J23100,15.389160760039358
C5,80506,ΔvirB1-5,4,Bottom,J23100,16.29680868883473
C6,71139,ΔvirB1-5,4,Bottom,J23100,16.118353074146277
C7,80360,ΔvirB1-5,4,Bottom,J23100,16.294189943620655
C8,50539,ΔvirB1-5,4,Bottom,J23100,15.625109497941478
C9,32711,ΔvirB1-5,5,Top,J23100,14.997488243922403
C10,52552,ΔvirB1-5,5,Top,J23100,15.681458050210274
C11,158828,ΔvirB1-5,5,Top,J23100,17.277105743972157
C12,69152,ΔvirB1-5,5,Top,J23100,16.077483356859506
D1,33011,ΔvirB1-5,5,Bottom,J23100,15.010659222235585
D2,116240,ΔvirB1-5,5,Bottom,J23100,16.826747082520203
D3,74841,ΔvirB1-5,5,Bottom,J23100,16.19154121505763
D4,80306,ΔvirB1-5,5,Bottom,J23100,16.293220161150916
D5,65535,ΔvirB1-5,6,Top,J23100,15.999977986052736
D6,113870,ΔvirB1-5,6,Top,J23100,16.797028181517284
D7,69494,ΔvirB1-5,6,Top,J23100,16.084600802796896
D8,67569,ΔvirB1-5,6,Top,J23100,16.044073883393256
D9,120355,ΔvirB1-5,6,Bottom,J23100,16.876936552479922
D10,127773,ΔvirB1-5,6,Bottom,J23100,16.96322348379361
D11,168814,ΔvirB1-5,6,Bottom,J23100,17.365075028322167
D12,125041,ΔvirB1-5,6,Bottom,J23100,16.9320416957091
E1,54389,ΔvirB1-5,7,Top,J23100,15.731027280103485
E2,39725,ΔvirB1-5,7,Top,J23100,15.277759599123243
E3,31057,ΔvirB1-5,7,Top,J23100,14.922630856597424
E4,31674,ΔvirB1-5,7,Top,J23100,14.951011451391784
E5,51948,ΔvirB1-5,7,Bottom,J23100,15.66478058593351
E6,62057,ΔvirB1-5,7,Bottom,J23100,15.921306334396478
E7,58062,ΔvirB1-5,7,Bottom,J23100,15.825306647352575
E8,37785,ΔvirB1-5,7,Bottom,J23100,15.20552600234276
E9,91974,ΔvirB1-5,8,Top,J23100,16.488938464932165
E10,47573,ΔvirB1-5,8,Top,J23100,15.537855385481583
E11,54683,ΔvirB1-5,8,Top,J23100,15.738804773305374
E12,36062,ΔvirB1-5,8,Top,J23100,15.138191790464695
F1,55303,ΔvirB1-5,8,Bottom,J23100,15.755070123440328
F2,63906,ΔvirB1-5,8,Bottom,J23100,15.963663768685379
F3,52325,ΔvirB1-5,8,Bottom,J23100,15.675212786030434
F4,48310,ΔvirB1-5,8,Bottom,J23100,15.56003423231944
F5,11201,ΔvirB6-11,1,Top,J23114,13.451339918139356
F6,9317,ΔvirB6-11,1,Top,J23114,13.185649777969497
F7,20477,ΔvirB6-11,1,Top,J23114,14.321716747126032
F8,15130,ΔvirB6-11,1,Top,J23114,13.8851243671041
F9,19133,ΔvirB6-11,1,Bottom,J23114,14.223775481450371
F10,14808,ΔvirB6-11,1,Bottom,J23114,13.854089179870574
F11,19695,ΔvirB6-11,1,Bottom,J23114,14.265541796501406
F12,10167,ΔvirB6-11,1,Bottom,J23114,13.31160642220515
G1,12352,ΔvirB6-11,2,Top,J23114,13.59245703726808
G2,15873,ΔvirB6-11,2,Top,J23114,13.954287203128496
G3,14323,ΔvirB6-11,2,Top,J23114,13.806046081077954
G4,15913,ΔvirB6-11,2,Top,J23114,13.957918225094003
G5,20263,ΔvirB6-11,2,Bottom,J23114,14.306560164977427
G6,13567,ΔvirB6-11,2,Bottom,J23114,13.727814119936957
G7,18309,ΔvirB6-11,2,Bottom,J23114,14.160265375794546
G8,12841,ΔvirB6-11,2,Bottom,J23114,13.648469937061385
G9,19743,ΔvirB6-11,3,Top,J23114,14.269053607250251
G10,22028,ΔvirB6-11,3,Top,J23114,14.427050893150879
G11,21223,ΔvirB6-11,3,Top,J23114,14.3733409839269
G12,17929,ΔvirB6-11,3,Top,J23114,14.130007402877114
H1,23122,ΔvirB6-11,3,Bottom,J23114,14.496978572599476
H2,23010,ΔvirB6-11,3,Bottom,J23114,14.489973363111451
H3,21139,ΔvirB6-11,3,Bottom,J23114,14.36761950985735
H4,24227,ΔvirB6-11,3,Bottom,J23114,14.564328148223051
H5,19947,ΔvirB6-11,4,Top,J23114,14.28388416306097
H6,21934,ΔvirB6-11,4,Top,J23114,14.420881313035494
H7,19050,ΔvirB6-11,4,Top,J23114,14.217503377268047
H8,16822,ΔvirB6-11,4,Top,J23114,14.0380616201336
H9,11678,ΔvirB6-11,4,Bottom,J23114,13.511505595792482
H10,9324,ΔvirB6-11,4,Bottom,J23114,13.186733289128867
H11,12765,ΔvirB6-11,4,Bottom,J23114,13.639905917294481
H12,17977,ΔvirB6-11,4,Bottom,J23114,14.133864663681132
A1,18314,ΔvirB6-11,5,Top,J23114,14.160659307217383
A2,17829,ΔvirB6-11,5,Top,J23114,14.121938166331798
A3,16487,ΔvirB6-11,5,Top,J23114,14.009041287186484
A4,31465,ΔvirB6-11,5,Top,J23114,14.941460322459413
A5,19461,ΔvirB6-11,5,Bottom,J23114,14.248298224199509
A6,25091,ΔvirB6-11,5,Bottom,J23114,14.614882349949434
A7,11915,ΔvirB6-11,5,Bottom,J23114,13.540491331077634
A8,12498,ΔvirB6-11,5,Bottom,J23114,13.609409624761803
A9,15892,ΔvirB6-11,6,Top,J23114,13.956013078088098
A10,11275,ΔvirB6-11,6,Top,J23114,13.460839813030105
A11,17144,ΔvirB6-11,6,Top,J23114,14.065416134676548
A12,24606,ΔvirB6-11,6,Top,J23114,14.586722529048373
B1,8122,ΔvirB6-11,6,Bottom,J23114,12.987619311924325
B2,16673,ΔvirB6-11,6,Bottom,J23114,14.025226093694991
B3,20089,ΔvirB6-11,6,Bottom,J23114,14.294118130233503
B4,18616,ΔvirB6-11,6,Bottom,J23114,14.184255495405349
B5,20999,ΔvirB6-11,7,Top,J23114,14.358033006041234
B6,26565,ΔvirB6-11,7,Top,J23114,14.697239092360432
B7,24673,ΔvirB6-11,7,Top,J23114,14.59064552372357
B8,29394,ΔvirB6-11,7,Top,J23114,14.843234077004007
B9,22293,ΔvirB6-11,7,Bottom,J23114,14.444303154688676
B10,22700,ΔvirB6-11,7,Bottom,J23114,14.47040467706564
B11,19964,ΔvirB6-11,7,Bottom,J23114,14.285113188501493
B12,23384,ΔvirB6-11,7,Bottom,J23114,14.513234113806053
C1,10573,ΔvirB6-11,8,Top,J23114,13.368097166964054
C2,11462,ΔvirB6-11,8,Top,J23114,13.484571180915806
C3,12872,ΔvirB6-11,8,Top,J23114,13.651948610723446
C4,14690,ΔvirB6-11,8,Top,J23114,13.842546775443642
C5,9281,ΔvirB6-11,8,Bottom,J23114,13.180064544466989
C6,16578,ΔvirB6-11,8,Bottom,J23114,14.016982347533649
C7,13264,ΔvirB6-11,8,Bottom,J23114,13.69522829149575
C8,13078,ΔvirB6-11,8,Bottom,J23114,13.67485430794662
C9,47508,ΔvirB6-11,1,Top,J23117,15.535882852751254
C10,102672,ΔvirB6-11,1,Top,J23117,16.6476832678862
C11,80980,ΔvirB6-11,1,Top,J23117,16.30527802256382
C12,82716,ΔvirB6-11,1,Top,J23117,16.33587880069923
D1,130888,ΔvirB6-11,1,Bottom,J23117,16.997973309427554
D2,107661,ΔvirB6-11,1,Bottom,J23117,16.71613620531865
D3,118223,ΔvirB6-11,1,Bottom,J23117,16.851151210104486
D4,129708,ΔvirB6-11,1,Bottom,J23117,16.984907937869103
D5,105313,ΔvirB6-11,2,Top,J23117,16.684324010305748
D6,131498,ΔvirB6-11,2,Top,J23117,17.00468133165763
D7,124316,ΔvirB6-11,2,Top,J23117,16.923652463788933
D8,115521,ΔvirB6-11,2,Top,J23117,16.81779561042409
D9,122020,ΔvirB6-11,2,Bottom,J23117,16.896758110224994
D10,98453,ΔvirB6-11,2,Bottom,J23117,16.58714754727283
D11,124587,ΔvirB6-11,2,Bottom,J23117,16.926794012991405
D12,113358,ΔvirB6-11,2,Bottom,J23117,16.790526684245613
E1,75055,ΔvirB6-11,3,Top,J23117,16.195660563786166
E2,72550,ΔvirB6-11,3,Top,J23117,16.146687993841468
E3,59530,ΔvirB6-11,3,Top,J23117,15.861329273915475
E4,60854,ΔvirB6-11,3,Top,J23117,15.893064475528709
E5,82019,ΔvirB6-11,3,Bottom,J23117,16.32367053355552
E6,107004,ΔvirB6-11,3,Bottom,J23117,16.707305202580066
E7,126367,ΔvirB6-11,3,Bottom,J23117,16.947260235798304
E8,107479,ΔvirB6-11,3,Bottom,J23117,16.71369527792181
E9,68948,ΔvirB6-11,4,Top,J23117,16.07322108310988
E10,83110,ΔvirB6-11,4,Top,J23117,16.342734455611627
E11,86549,ΔvirB6-11,4,Top,J23117,16.401229530124894
E12,110642,ΔvirB6-11,4,Top,J23117,16.75553961488821
F1,73237,ΔvirB6-11,4,Bottom,J23117,16.16028507492054
F2,92732,ΔvirB6-11,4,Bottom,J23117,16.500779650167875
F3,104302,ΔvirB6-11,4,Bottom,J23117,16.670407296363692
F4,89562,ΔvirB6-11,4,Bottom,J23117,16.45059912477731
F5,71332,ΔvirB6-11,5,Top,J23117,16.122261803827605
F6,62360,ΔvirB6-11,5,Top,J23117,15.928333307585147
F7,84456,ΔvirB6-11,5,Top,J23117,16.36591229947082
F8,67580,ΔvirB6-11,5,Top,J23117,16.044308730051164
F9,49546,ΔvirB6-11,5,Bottom,J23117,15.596480968482835
F10,95597,ΔvirB6-11,5,Bottom,J23117,16.54467772418818
F11,60611,ΔvirB6-11,5,Bottom,J23117,15.887292024820443
F12,75195,ΔvirB6-11,5,Bottom,J23117,16.19834911439086
G1,103773,ΔvirB6-11,6,Top,J23117,16.66307160182149
G2,88050,ΔvirB6-11,6,Top,J23117,16.42603538360593
G3,112244,ΔvirB6-11,6,Top,J23117,16.77627880223977
G4,76876,ΔvirB6-11,6,Top,J23117,16.23024565153139
G5,128372,ΔvirB6-11,6,Bottom,J23117,16.969971036193954
G6,103126,ΔvirB6-11,6,Bottom,J23117,16.65404858349753
G7,129322,ΔvirB6-11,6,Bottom,J23117,16.980608198858253
G8,98732,ΔvirB6-11,6,Bottom,J23117,16.59123013149593
G9,40243,ΔvirB6-11,7,Top,J23117,15.296450237471108
G10,66595,ΔvirB6-11,7,Top,J23117,16.023126242341572
G11,79134,ΔvirB6-11,7,Top,J23117,16.272010062772676
G12,67298,ΔvirB6-11,7,Top,J23117,16.0382760101955
H1,79127,ΔvirB6-11,7,Bottom,J23117,16.27188243985493
H2,91534,ΔvirB6-11,7,Bottom,J23117,16.482020106773774
H3,82228,ΔvirB6-11,7,Bottom,J23117,16.327342118744745
H4,68535,ΔvirB6-11,7,Bottom,J23117,16.064553322816966
H5,80062,ΔvirB6-11,8,Top,J23117,16.288830035170506
H6,66108,ΔvirB6-11,8,Top,J23117,16.012537248286247
H7,67604,ΔvirB6-11,8,Top,J23117,16.044820990101837
H8,67533,ΔvirB6-11,8,Top,J23117,16.043305026933673
H9,66790,ΔvirB6-11,8,Bottom,J23117,16.027344493770062
H10,73486,ΔvirB6-11,8,Bottom,J23117,16.165181804268382
H11,88038,ΔvirB6-11,8,Bottom,J23117,16.425838750780102
H12,30805,ΔvirB6-11,8,Bottom,J23117,14.910876915202044
A1,503903,ΔvirC12,1,Top,J23117,18.94278651989359
A2,494654,ΔvirC12,1,Top,J23117,18.9160602177629
A3,412471,ΔvirC12,1,Top,J23117,18.653933164396648
A4,567470,ΔvirC12,1,Top,J23117,19.114184599007316
A5,290995,ΔvirC12,1,Bottom,J23117,18.15063483878282
A6,242584,ΔvirC12,1,Bottom,J23117,17.888124872867706
A7,184895,ΔvirC12,1,Bottom,J23117,17.496346685805538
A8,223127,ΔvirC12,1,Bottom,J23117,17.767505575240847
A9,623532,ΔvirC12,2,Top,J23117,19.250104076282696
A10,473518,ΔvirC12,2,Top,J23117,18.853059742827735
A11,396133,ΔvirC12,2,Top,J23117,18.595625364907455
A12,466081,ΔvirC12,2,Top,J23117,18.8302211764051
B1,347798,ΔvirC12,2,Bottom,J23117,18.407890110938766
B2,310985,ΔvirC12,2,Bottom,J23117,18.24648546975248
B3,430027,ΔvirC12,2,Bottom,J23117,18.71406771923578
B4,226895,ΔvirC12,2,Bottom,J23117,17.791665291667933
B5,256170,ΔvirC12,3,Top,J23117,17.96674200637932
B6,351796,ΔvirC12,3,Top,J23117,18.424379553571384
B7,398061,ΔvirC12,3,Top,J23117,18.602630004839224
B8,386595,ΔvirC12,3,Top,J23117,18.56046345310895
B9,392326,ΔvirC12,3,Bottom,J23117,18.581693422464905
B10,440616,ΔvirC12,3,Bottom,J23117,18.74916235872105
B11,372841,ΔvirC12,3,Bottom,J23117,18.50820099120012
B12,439275,ΔvirC12,3,Bottom,J23117,18.744764869605397
C1,466667,ΔvirC12,4,Top,J23117,18.83203392626935
C2,364755,ΔvirC12,4,Top,J23117,18.47656822893574
C3,380348,ΔvirC12,4,Top,J23117,18.53696049332153
C4,386699,ΔvirC12,4,Top,J23117,18.560851508066463
C5,341446,ΔvirC12,4,Bottom,J23117,18.38129790744032
C6,361557,ΔvirC12,4,Bottom,J23117,18.463863582567186
C7,399659,ΔvirC12,4,Bottom,J23117,18.6084100523725
C8,393784,ΔvirC12,4,Bottom,J23117,18.58704496813032
C9,286990,ΔvirC12,5,Top,J23117,18.13064094234211
C10,235070,ΔvirC12,5,Top,J23117,17.84273090618447
C11,340901,ΔvirC12,5,Top,J23117,18.37899330592677
C12,259671,ΔvirC12,5,Top,J23117,17.98632537758545
D1,346867,ΔvirC12,5,Bottom,J23117,18.404023067436516
D2,255413,ΔvirC12,5,Bottom,J23117,17.962472431577005
D3,178343,ΔvirC12,5,Bottom,J23117,17.444295065271113
D4,271291,ΔvirC12,5,Bottom,J23117,18.049481661862192
D5,341389,ΔvirC12,6,Top,J23117,18.38105704803059
