Well,GFP,Strain,Plant,Leaf,Induction,GFP_log,ID
A3,11710,ΔvirB1-5,3,Top,0.2mM,13.515453455388577,ΔvirB1-5_0.2mM
A4,1063,ΔvirB1-5,3,Top,0.2mM,10.053925881531105,ΔvirB1-5_0.2mM
A5,6505,ΔvirB1-5,3,Bottom,0.2mM,12.667333341605158,ΔvirB1-5_0.2mM
A6,3117,ΔvirB1-5,3,Bottom,0.2mM,11.605942439625368,ΔvirB1-5_0.2mM
A7,17205,ΔvirB1-5,3,Bottom,0.2mM,14.070540271624344,ΔvirB1-5_0.2mM
A8,27438,ΔvirB1-5,3,Bottom,0.2mM,14.74388770452812,ΔvirB1-5_0.2mM
A9,1319,ΔvirB1-5,4,Top,0.2mM,10.365228849251544,ΔvirB1-5_0.2mM
A10,5203,ΔvirB1-5,4,Top,0.2mM,12.345127991976693,ΔvirB1-5_0.2mM
A11,11166,ΔvirB1-5,4,Top,0.2mM,13.446824840780307,ΔvirB1-5_0.2mM
A12,6479,ΔvirB1-5,4,Top,0.2mM,12.661555442467758,ΔvirB1-5_0.2mM
B1,8065,ΔvirB1-5,4,Bottom,0.2mM,12.977458818043004,ΔvirB1-5_0.2mM
B2,7243,ΔvirB1-5,4,Bottom,0.2mM,12.822371659963327,ΔvirB1-5_0.2mM
B3,8780,ΔvirB1-5,4,Bottom,0.2mM,13.10000522442272,ΔvirB1-5_0.2mM
B4,4281,ΔvirB1-5,4,Bottom,0.2mM,12.063732120196919,ΔvirB1-5_0.2mM
B5,3267,ΔvirB1-5,5,Top,0.2mM,11.673750739438063,ΔvirB1-5_0.2mM
B6,1812,ΔvirB1-5,5,Top,0.2mM,10.823367240046235,ΔvirB1-5_0.2mM
B7,835,ΔvirB1-5,5,Top,0.2mM,9.705632387361415,ΔvirB1-5_0.2mM
B8,5269,ΔvirB1-5,5,Top,0.2mM,12.363313464373478,ΔvirB1-5_0.2mM
B9,10077,ΔvirB1-5,5,Bottom,0.2mM,13.298778580955656,ΔvirB1-5_0.2mM
B10,6662,ΔvirB1-5,5,Bottom,0.2mM,12.70173963867435,ΔvirB1-5_0.2mM
B11,1026,ΔvirB1-5,5,Bottom,0.2mM,10.002815015607053,ΔvirB1-5_0.2mM
B12,860,ΔvirB1-5,5,Bottom,0.2mM,9.74819284958946,ΔvirB1-5_0.2mM
C1,104408,ΔvirB1-5,1,Top,2.0mM,16.67187273345327,ΔvirB1-5_2.0mM
C2,233666,ΔvirB1-5,1,Top,2.0mM,17.83408830184,ΔvirB1-5_2.0mM
C3,108725,ΔvirB1-5,1,Top,2.0mM,16.730324183238793,ΔvirB1-5_2.0mM
C4,143816,ΔvirB1-5,1,Top,2.0mM,17.13386466368113,ΔvirB1-5_2.0mM
C5,85034,ΔvirB1-5,1,Bottom,2.0mM,16.37575218343131,ΔvirB1-5_2.0mM
C6,76749,ΔvirB1-5,1,Bottom,2.0mM,16.227860332580285,ΔvirB1-5_2.0mM
C7,84382,ΔvirB1-5,1,Bottom,2.0mM,16.36464766189087,ΔvirB1-5_2.0mM
C8,90983,ΔvirB1-5,1,Bottom,2.0mM,16.473309385225033,ΔvirB1-5_2.0mM
C9,133181,ΔvirB1-5,2,Top,2.0mM,17.023028752334227,ΔvirB1-5_2.0mM
C10,24584,ΔvirB1-5,2,Top,2.0mM,14.585432051592962,ΔvirB1-5_2.0mM
C11,76773,ΔvirB1-5,2,Top,2.0mM,16.22831140384386,ΔvirB1-5_2.0mM
C12,64892,ΔvirB1-5,2,Top,2.0mM,15.985753010751832,ΔvirB1-5_2.0mM
D1,121114,ΔvirB1-5,2,Bottom,2.0mM,16.886006115382873,ΔvirB1-5_2.0mM
D2,71602,ΔvirB1-5,2,Bottom,2.0mM,16.127712265220318,ΔvirB1-5_2.0mM
D3,93026,ΔvirB1-5,2,Bottom,2.0mM,16.505346373498043,ΔvirB1-5_2.0mM
D4,137934,ΔvirB1-5,2,Bottom,2.0mM,17.073618591806543,ΔvirB1-5_2.0mM
D5,143343,ΔvirB1-5,3,Top,2.0mM,17.129111928287198,ΔvirB1-5_2.0mM
D6,74441,ΔvirB1-5,3,Top,2.0mM,16.183809815459014,ΔvirB1-5_2.0mM
D7,143577,ΔvirB1-5,3,Top,2.0mM,17.131465132765214,ΔvirB1-5_2.0mM
D8,136522,ΔvirB1-5,3,Top,2.0mM,17.058773929123547,ΔvirB1-5_2.0mM
D9,163286,ΔvirB1-5,3,Bottom,2.0mM,17.317041575217523,ΔvirB1-5_2.0mM
D10,191351,ΔvirB1-5,3,Bottom,2.0mM,17.545861914984748,ΔvirB1-5_2.0mM
D11,166648,ΔvirB1-5,3,Bottom,2.0mM,17.34644447770918,ΔvirB1-5_2.0mM
D12,116969,ΔvirB1-5,3,Bottom,2.0mM,16.83576670106405,ΔvirB1-5_2.0mM
E1,135383,ΔvirB1-5,4,Top,2.0mM,17.046687065968037,ΔvirB1-5_2.0mM
E2,200230,ΔvirB1-5,4,Top,2.0mM,17.611298620482494,ΔvirB1-5_2.0mM
E3,203880,ΔvirB1-5,4,Top,2.0mM,17.63736073279274,ΔvirB1-5_2.0mM
E4,62852,ΔvirB1-5,4,Top,2.0mM,15.93967103261486,ΔvirB1-5_2.0mM
E5,215956,ΔvirB1-5,4,Bottom,2.0mM,17.720377874565887,ΔvirB1-5_2.0mM
E6,96020,ΔvirB1-5,4,Bottom,2.0mM,16.551047315545958,ΔvirB1-5_2.0mM
E7,138950,ΔvirB1-5,4,Bottom,2.0mM,17.084206308975286,ΔvirB1-5_2.0mM
E8,155408,ΔvirB1-5,4,Bottom,2.0mM,17.245701246285762,ΔvirB1-5_2.0mM
E9,20652,ΔvirB1-5,5,Top,2.0mM,14.33399388276136,ΔvirB1-5_2.0mM
E10,43285,ΔvirB1-5,5,Top,2.0mM,15.401579539032147,ΔvirB1-5_2.0mM
E11,98739,ΔvirB1-5,5,Top,2.0mM,16.591332413504837,ΔvirB1-5_2.0mM
E12,52836,ΔvirB1-5,5,Top,2.0mM,15.68923362965805,ΔvirB1-5_2.0mM
F1,111284,ΔvirB1-5,5,Bottom,2.0mM,16.763886656694606,ΔvirB1-5_2.0mM
F2,89647,ΔvirB1-5,5,Bottom,2.0mM,16.45196768425447,ΔvirB1-5_2.0mM
F3,72949,ΔvirB1-5,5,Bottom,2.0mM,16.154600581065758,ΔvirB1-5_2.0mM
F4,169848,ΔvirB1-5,5,Bottom,2.0mM,17.373884704681775,ΔvirB1-5_2.0mM
F5,16854,ΔvirB6-11,1,Top,0mM,14.040803409847555,ΔvirB6-11_0mM
F6,8027,ΔvirB6-11,1,Top,0mM,12.970645182266665,ΔvirB6-11_0mM
F7,20975,ΔvirB6-11,1,Top,0mM,14.356383190214547,ΔvirB6-11_0mM
F8,6201,ΔvirB6-11,1,Top,0mM,12.598285174146604,ΔvirB6-11_0mM
F9,4641,ΔvirB6-11,1,Bottom,0mM,12.180219982170192,ΔvirB6-11_0mM
F10,7850,ΔvirB6-11,1,Bottom,0mM,12.938476938666351,ΔvirB6-11_0mM
F11,5575,ΔvirB6-11,1,Bottom,0mM,12.44475608969503,ΔvirB6-11_0mM
F12,8951,ΔvirB6-11,1,Bottom,0mM,13.127833153010982,ΔvirB6-11_0mM
G1,4053,ΔvirB6-11,2,Top,0mM,11.984774460046841,ΔvirB6-11_0mM
G2,3322,ΔvirB6-11,2,Top,0mM,11.697836357962377,ΔvirB6-11_0mM
G3,5324,ΔvirB6-11,2,Top,0mM,12.378294855911891,ΔvirB6-11_0mM
G4,4087,ΔvirB6-11,2,Top,0mM,11.996826528020659,ΔvirB6-11_0mM
G5,7589,ΔvirB6-11,2,Bottom,0mM,12.889694079382085,ΔvirB6-11_0mM
G6,1162,ΔvirB6-11,2,Bottom,0mM,10.18239435340453,ΔvirB6-11_0mM
G7,5073,ΔvirB6-11,2,Bottom,0mM,12.30862344513114,ΔvirB6-11_0mM
G8,578,ΔvirB6-11,2,Bottom,0mM,9.174925682500678,ΔvirB6-11_0mM
G9,10909,ΔvirB6-11,3,Top,0mM,13.41323123912454,ΔvirB6-11_0mM
G10,9428,ΔvirB6-11,3,Top,0mM,13.202736043250168,ΔvirB6-11_0mM
G11,5968,ΔvirB6-11,3,Top,0mM,12.543031820255237,ΔvirB6-11_0mM
G12,10854,ΔvirB6-11,3,Top,0mM,13.405939193342396,ΔvirB6-11_0mM
H1,22096,ΔvirB6-11,3,Bottom,0mM,14.43149760425805,ΔvirB6-11_0mM
H2,19268,ΔvirB6-11,3,Bottom,0mM,14.233919208586977,ΔvirB6-11_0mM
H3,24818,ΔvirB6-11,3,Bottom,0mM,14.599099237711489,ΔvirB6-11_0mM
H4,24285,ΔvirB6-11,3,Bottom,0mM,14.567777865911085,ΔvirB6-11_0mM
H5,4354,ΔvirB6-11,4,Top,0mM,12.088125692188207,ΔvirB6-11_0mM
H6,4420,ΔvirB6-11,4,Top,0mM,12.109830654278793,ΔvirB6-11_0mM
H7,4813,ΔvirB6-11,4,Top,0mM,12.232720707964873,ΔvirB6-11_0mM
H8,10074,ΔvirB6-11,4,Top,0mM,13.298349015658186,ΔvirB6-11_0mM
H9,8289,ΔvirB6-11,4,Bottom,0mM,13.016982347533649,ΔvirB6-11_0mM
H10,7360,ΔvirB6-11,4,Bottom,0mM,12.845490050944376,ΔvirB6-11_0mM
H11,12579,ΔvirB6-11,4,Bottom,0mM,13.618729615567545,ΔvirB6-11_0mM
H12,6861,ΔvirB6-11,4,Bottom,0mM,12.74420315113283,ΔvirB6-11_0mM
A1,4130,ΔvirB6-11,5,Top,0mM,12.011926066306808,ΔvirB6-11_0mM
A2,13292,ΔvirB6-11,5,Top,0mM,13.698270577692032,ΔvirB6-11_0mM
A3,2829,ΔvirB6-11,5,Top,0mM,11.466076461396252,ΔvirB6-11_0mM
A4,5338,ΔvirB6-11,5,Top,0mM,12.382083590141967,ΔvirB6-11_0mM
A5,13701,ΔvirB6-11,5,Bottom,0mM,13.74199357509951,ΔvirB6-11_0mM
A6,7459,ΔvirB6-11,5,Bottom,0mM,12.864766511423444,ΔvirB6-11_0mM
A7,11934,ΔvirB6-11,5,Bottom,0mM,13.5427900615549,ΔvirB6-11_0mM
A8,23144,ΔvirB6-11,5,Bottom,0mM,14.4983506079296,ΔvirB6-11_0mM
A9,52878,ΔvirB6-11,1,Top,0.2mM,15.690379990497776,ΔvirB6-11_0.2mM
A10,45882,ΔvirB6-11,1,Top,0.2mM,15.485640659464513,ΔvirB6-11_0.2mM
A11,22532,ΔvirB6-11,1,Top,0.2mM,14.459687756239548,ΔvirB6-11_0.2mM
A12,35742,ΔvirB6-11,1,Top,0.2mM,15.125332744464723,ΔvirB6-11_0.2mM
B1,43420,ΔvirB6-11,1,Bottom,0.2mM,15.406072105502506,ΔvirB6-11_0.2mM
B2,46478,ΔvirB6-11,1,Bottom,0.2mM,15.5042603688564,ΔvirB6-11_0.2mM
B3,57867,ΔvirB6-11,1,Bottom,0.2mM,15.820453231929417,ΔvirB6-11_0.2mM
B4,60930,ΔvirB6-11,1,Bottom,0.2mM,15.894865119904672,ΔvirB6-11_0.2mM
B5,38203,ΔvirB6-11,2,Top,0.2mM,15.221398314019389,ΔvirB6-11_0.2mM
B6,20701,ΔvirB6-11,2,Top,0.2mM,14.337412841003243,ΔvirB6-11_0.2mM
B7,36724,ΔvirB6-11,2,Top,0.2mM,15.164435586064617,ΔvirB6-11_0.2mM
B8,37947,ΔvirB6-11,2,Top,0.2mM,15.21169821364336,ΔvirB6-11_0.2mM
B9,24926,ΔvirB6-11,2,Bottom,0.2mM,14.605363764457813,ΔvirB6-11_0.2mM
B10,24533,ΔvirB6-11,2,Bottom,0.2mM,14.582436043142621,ΔvirB6-11_0.2mM
B11,32248,ΔvirB6-11,2,Bottom,0.2mM,14.97692206785108,ΔvirB6-11_0.2mM
B12,48106,ΔvirB6-11,2,Bottom,0.2mM,15.553929224280823,ΔvirB6-11_0.2mM
C1,13525,ΔvirB6-11,3,Top,0.2mM,13.72334097360154,ΔvirB6-11_0.2mM
C2,40219,ΔvirB6-11,3,Top,0.2mM,15.29558959065626,ΔvirB6-11_0.2mM
C3,46567,ΔvirB6-11,3,Top,0.2mM,15.507020321520136,ΔvirB6-11_0.2mM
C4,33972,ΔvirB6-11,3,Top,0.2mM,15.052058534626903,ΔvirB6-11_0.2mM
C5,52065,ΔvirB6-11,3,Bottom,0.2mM,15.668026245437165,ΔvirB6-11_0.2mM
C6,73256,ΔvirB6-11,3,Bottom,0.2mM,16.160659307217383,ΔvirB6-11_0.2mM
C7,43693,ΔvirB6-11,3,Bottom,0.2mM,15.415114545449095,ΔvirB6-11_0.2mM
C8,45066,ΔvirB6-11,3,Bottom,0.2mM,15.459751783535282,ΔvirB6-11_0.2mM
C9,73640,ΔvirB6-11,4,Top,0.2mM,16.16820200623727,ΔvirB6-11_0.2mM
C10,41719,ΔvirB6-11,4,Top,0.2mM,15.34841695657464,ΔvirB6-11_0.2mM
C11,41819,ΔvirB6-11,4,Top,0.2mM,15.351870943335143,ΔvirB6-11_0.2mM
C12,62664,ΔvirB6-11,4,Top,0.2mM,15.935349243033999,ΔvirB6-11_0.2mM
D1,16486,ΔvirB6-11,4,Bottom,0.2mM,14.008953779526196,ΔvirB6-11_0.2mM
D2,24433,ΔvirB6-11,4,Bottom,0.2mM,14.576543394992537,ΔvirB6-11_0.2mM
D3,41678,ΔvirB6-11,4,Bottom,0.2mM,15.34699842829564,ΔvirB6-11_0.2mM
D4,92524,ΔvirB6-11,4,Bottom,0.2mM,16.497540017501723,ΔvirB6-11_0.2mM
D5,24059,ΔvirB6-11,5,Top,0.2mM,14.554289058429902,ΔvirB6-11_0.2mM
D6,37804,ΔvirB6-11,5,Top,0.2mM,15.206251272060687,ΔvirB6-11_0.2mM
D7,77280,ΔvirB6-11,5,Top,0.2mM,16.237807473723137,ΔvirB6-11_0.2mM
D8,22875,ΔvirB6-11,5,Top,0.2mM,14.48148412294613,ΔvirB6-11_0.2mM
D9,26222,ΔvirB6-11,5,Bottom,0.2mM,14.67849010630065,ΔvirB6-11_0.2mM
D10,48007,ΔvirB6-11,5,Bottom,0.2mM,15.550957163070372,ΔvirB6-11_0.2mM
D11,47144,ΔvirB6-11,5,Bottom,0.2mM,15.524786550851607,ΔvirB6-11_0.2mM
D12,27497,ΔvirB6-11,5,Bottom,0.2mM,14.746986604687939,ΔvirB6-11_0.2mM
E1,27723,ΔvirB6-11,1,Top,2.0mM,14.758795764403214,ΔvirB6-11_2.0mM
E2,10753,ΔvirB6-11,1,Top,2.0mM,13.392451595765687,ΔvirB6-11_2.0mM
E3,23677,ΔvirB6-11,1,Top,2.0mM,14.53119867507262,ΔvirB6-11_2.0mM
E4,14807,ΔvirB6-11,1,Top,2.0mM,13.853991749849204,ΔvirB6-11_2.0mM
E5,20259,ΔvirB6-11,1,Bottom,2.0mM,14.306275342896468,ΔvirB6-11_2.0mM
E6,22582,ΔvirB6-11,1,Bottom,2.0mM,14.462885645213246,ΔvirB6-11_2.0mM
E7,19875,ΔvirB6-11,1,Bottom,2.0mM,14.278667239946442,ΔvirB6-11_2.0mM
E8,15374,ΔvirB6-11,1,Bottom,2.0mM,13.90820495312589,ΔvirB6-11_2.0mM
E9,18507,ΔvirB6-11,2,Top,2.0mM,14.17578343165168,ΔvirB6-11_2.0mM
E10,8268,ΔvirB6-11,2,Top,2.0mM,13.013322673425447,ΔvirB6-11_2.0mM
E11,11011,ΔvirB6-11,2,Top,2.0mM,13.426657877473291,ΔvirB6-11_2.0mM
E12,7774,ΔvirB6-11,2,Top,2.0mM,12.924441392339197,ΔvirB6-11_2.0mM
F1,11530,ΔvirB6-11,2,Bottom,2.0mM,13.493104892539135,ΔvirB6-11_2.0mM
F2,7921,ΔvirB6-11,2,Bottom,2.0mM,12.951466861932795,ΔvirB6-11_2.0mM
F3,10610,ΔvirB6-11,2,Bottom,2.0mM,13.373137035802127,ΔvirB6-11_2.0mM
F4,9085,ΔvirB6-11,2,Bottom,2.0mM,13.149270799121478,ΔvirB6-11_2.0mM
F5,13760,ΔvirB6-11,3,Top,2.0mM,13.74819284958946,ΔvirB6-11_2.0mM
F6,24032,ΔvirB6-11,3,Top,2.0mM,14.552669097514272,ΔvirB6-11_2.0mM
F7,14554,ΔvirB6-11,3,Top,2.0mM,13.829128095368542,ΔvirB6-11_2.0mM
F8,10773,ΔvirB6-11,3,Top,2.0mM,13.395132438385815,ΔvirB6-11_2.0mM
F9,12769,ΔvirB6-11,3,Bottom,2.0mM,13.640357924830376,ΔvirB6-11_2.0mM
F10,45672,ΔvirB6-11,3,Bottom,2.0mM,15.479022346995178,ΔvirB6-11_2.0mM
F11,34302,ΔvirB6-11,3,Bottom,2.0mM,15.06600507565491,ΔvirB6-11_2.0mM
F12,48428,ΔvirB6-11,3,Bottom,2.0mM,15.56355380269006,ΔvirB6-11_2.0mM
G1,11977,ΔvirB6-11,4,Top,2.0mM,13.547978966547017,ΔvirB6-11_2.0mM
G2,4309,ΔvirB6-11,4,Top,2.0mM,12.073137383110383,ΔvirB6-11_2.0mM
G3,7396,ΔvirB6-11,4,Top,2.0mM,12.852529509404196,ΔvirB6-11_2.0mM
G4,10669,ΔvirB6-11,4,Top,2.0mM,13.381137338968552,ΔvirB6-11_2.0mM
G5,5042,ΔvirB6-11,4,Bottom,2.0mM,12.29978040285854,ΔvirB6-11_2.0mM
G6,6072,ΔvirB6-11,4,Bottom,2.0mM,12.567956075415466,ΔvirB6-11_2.0mM
G7,7707,ΔvirB6-11,4,Bottom,2.0mM,12.911953675621973,ΔvirB6-11_2.0mM
G8,7399,ΔvirB6-11,4,Bottom,2.0mM,12.853114583440288,ΔvirB6-11_2.0mM
G9,21486,ΔvirB6-11,5,Top,2.0mM,14.39110930404168,ΔvirB6-11_2.0mM
G10,5925,ΔvirB6-11,5,Top,2.0mM,12.532599438672984,ΔvirB6-11_2.0mM
G11,13942,ΔvirB6-11,5,Top,2.0mM,13.767149912284852,ΔvirB6-11_2.0mM
G12,27019,ΔvirB6-11,5,Top,2.0mM,14.721686659626135,ΔvirB6-11_2.0mM
H1,15044,ΔvirB6-11,5,Bottom,2.0mM,13.876900591040306,ΔvirB6-11_2.0mM
H2,13921,ΔvirB6-11,5,Bottom,2.0mM,13.76497522889862,ΔvirB6-11_2.0mM
H3,12032,ΔvirB6-11,5,Bottom,2.0mM,13.554588851677638,ΔvirB6-11_2.0mM
H4,20188,ΔvirB6-11,5,Bottom,2.0mM,14.301210371298426,ΔvirB6-11_2.0mM
H5,8137,ΔvirC12,1,Top,0mM,12.99028127536032,ΔvirC12_0mM
H6,13347,ΔvirC12,1,Top,0mM,13.704227883896943,ΔvirC12_0mM
H7,7151,ΔvirC12,1,Top,0mM,12.803929287974446,ΔvirC12_0mM
H8,12659,ΔvirC12,1,Top,0mM,13.62787582286054,ΔvirC12_0mM
H9,88875,ΔvirC12,1,Bottom,0mM,16.4394900342815,ΔvirC12_0mM
H10,80192,ΔvirC12,1,Bottom,0mM,16.29117069932186,ΔvirC12_0mM
H11,38479,ΔvirC12,1,Bottom,0mM,15.231783686095365,ΔvirC12_0mM
H12,60327,ΔvirC12,1,Bottom,0mM,15.880516219949069,ΔvirC12_0mM
A1,19502,ΔvirC12,2,Top,0mM,14.251334464658857,ΔvirC12_0mM
