Plant,Promoter,Conc,Day,RFP,Norm_RFP,RFP_log
Tobacco,Control,None,3,454,53,5.727920454563199
Tobacco,Control,None,3,465,64,6.0
Tobacco,Control,None,3,510,109,6.768184324776926
Tobacco,Control,None,3,587,186,7.539158811108031
Tobacco,Control,None,3,466,65,6.022367813028454
Tobacco,Control,None,3,382,-19,
Tobacco,CuO,None,3,456,55,5.78135971352466
Tobacco,CuO,None,3,410,9,3.169925001442312
Tobacco,CuO,None,3,388,-13,
Tobacco,CuO,Medium,3,456,55,5.78135971352466
Tobacco,CuO,Medium,3,506,105,6.714245517666122
Tobacco,CuO,Medium,3,441,40,5.321928094887363
Tobacco,CuO,High,3,886,485,8.92184093707449
Tobacco,CuO,High,3,960,559,9.12670447284319
Tobacco,CuO,High,3,670,269,8.071462362556623
Tobacco,Jungle Express,None,3,582,181,7.499845887083206
Tobacco,Jungle Express,None,3,536,135,7.076815597050831
Tobacco,Jungle Express,None,3,440,39,5.285402218862249
Tobacco,Jungle Express,Medium,3,545,144,7.169925001442312
Tobacco,Jungle Express,Medium,3,527,126,6.977279923499917
Tobacco,Jungle Express,Medium,3,719,318,8.312882955284355
Tobacco,Jungle Express,High,3,627,226,7.820178962415188
Tobacco,Jungle Express,High,3,697,296,8.20945336562895
Tobacco,Jungle Express,High,3,724,323,8.335390354693924
Tobacco,TetR,None,3,659,258,8.011227255423254
Tobacco,TetR,None,3,470,69,6.108524456778169
Tobacco,TetR,None,3,484,83,6.3750394313469245
Tobacco,TetR,Medium,3,1375,974,9.927777962082342
Tobacco,TetR,Medium,3,1076,675,9.398743691938193
Tobacco,TetR,Medium,3,1067,666,9.379378367071261
Tobacco,TetR,High,3,1331,930,9.861086905995395
Tobacco,TetR,High,3,1624,1223,10.256208688527387
Tobacco,TetR,High,3,1344,943,9.881113960675096
Tobacco,LacI,None,3,632,231,7.851749041416057
Tobacco,LacI,None,3,705,304,8.247927513443585
Tobacco,LacI,None,3,715,314,8.294620748891626
Tobacco,LacI,Medium,3,2333,1932,10.915879378835774
Tobacco,LacI,Medium,3,5252,4851,12.244066464194818
Tobacco,LacI,Medium,3,3474,3073,11.585432051592962
Tobacco,LacI,High,3,2776,2375,11.213711798105672
Tobacco,LacI,High,3,5646,5245,12.35672705746463
Tobacco,LacI,High,3,6578,6177,12.59269061535341
Tobacco,NahR,None,3,642,241,7.912889336229962
Tobacco,NahR,None,3,937,536,9.066089190457772
Tobacco,NahR,None,3,647,246,7.94251450533924
Tobacco,NahR,Medium,3,2020,1619,10.660887270302567
Tobacco,NahR,Medium,3,2913,2512,11.294620748891626
Tobacco,NahR,Medium,3,1845,1444,10.49585502688717
Tobacco,NahR,High,3,4543,4142,12.016111838220512
Tobacco,NahR,High,3,4687,4286,12.065416134676548
Tobacco,NahR,High,3,3104,2703,11.400345796534694
Tobacco,Control,None,1,438,37,5.20945336562895
Tobacco,Control,None,1,449,48,5.584962500721156
Tobacco,Control,None,1,622,221,7.787902559391432
Tobacco,Control,None,1,516,115,6.845490050944375
Tobacco,Control,None,1,429,28,4.807354922057604
Tobacco,Control,None,1,342,-59,
Tobacco,Control,None,1,375,-26,
Tobacco,Control,None,1,355,-46,
Tobacco,Control,None,1,405,4,2.0
Tobacco,CuO,None,1,631,230,7.845490050944375
Tobacco,CuO,None,1,633,232,7.857980995127572
Tobacco,CuO,None,1,440,39,5.285402218862249
Tobacco,CuO,Medium,1,778,377,8.558420713268664
Tobacco,CuO,Medium,1,375,-26,
Tobacco,CuO,Medium,1,564,163,7.348728154231077
Tobacco,CuO,High,1,788,387,8.59618975614441
Tobacco,CuO,High,1,860,459,8.842350343413807
Tobacco,CuO,High,1,974,573,9.162391328756906
Tobacco,Jungle Express,None,1,477,76,6.247927513443585
Tobacco,Jungle Express,None,1,507,106,6.727920454563199
Tobacco,Jungle Express,None,1,354,-47,
Tobacco,Jungle Express,Medium,1,527,126,6.977279923499917
Tobacco,Jungle Express,Medium,1,540,139,7.118941072723508
Tobacco,Jungle Express,Medium,1,467,66,6.044394119358453
Tobacco,Jungle Express,High,1,558,157,7.294620748891627
Tobacco,Jungle Express,High,1,533,132,7.044394119358453
Tobacco,Jungle Express,High,1,580,179,7.483815777264256
Tobacco,TetR,None,1,541,140,7.129283016944966
Tobacco,TetR,None,1,468,67,6.066089190457772
Tobacco,TetR,None,1,679,278,8.118941072723507
Tobacco,TetR,Medium,1,1087,686,9.422064766172813
Tobacco,TetR,Medium,1,1250,849,9.729620743553038
Tobacco,TetR,Medium,1,2252,1851,10.854089179870574
Tobacco,TetR,High,1,1346,945,9.884170519108435
Tobacco,TetR,High,1,1762,1361,10.410451351503994
Tobacco,TetR,High,1,1749,1348,10.396604781181859
Tobacco,LacI,None,1,537,136,7.087462841250339
Tobacco,LacI,None,1,676,275,8.103287808412022
Tobacco,LacI,None,1,794,393,8.618385502258606
Tobacco,LacI,Medium,1,3685,3284,11.681238411777805
Tobacco,LacI,Medium,1,3766,3365,11.71639078949768
Tobacco,LacI,Medium,1,5218,4817,12.233919208586977
Tobacco,LacI,High,1,4984,4583,12.162076570374312
Tobacco,LacI,High,1,4379,3978,11.957827560833744
Tobacco,LacI,High,1,6189,5788,12.498849206531725
Tobacco,NahR,None,1,866,465,8.861086905995395
Tobacco,NahR,None,1,612,211,7.721099188707185
Tobacco,NahR,None,1,715,314,8.294620748891626
Tobacco,NahR,Medium,1,1523,1122,10.131856960608793
Tobacco,NahR,Medium,1,1936,1535,10.584022940257542
Tobacco,NahR,Medium,1,2406,2005,10.969386521342283
Tobacco,NahR,High,1,6330,5929,12.533573081389802
Tobacco,NahR,High,1,3415,3014,11.557463701597824
Tobacco,NahR,High,1,4679,4278,12.062720767165045
Tobacco,Control,None,3,545,144,7.169925001442312
Tobacco,Control,None,3,488,87,6.442943495848728
Tobacco,Control,None,3,701,300,8.228818690495881
Tobacco,Control,None,3,465,64,6.0
Tobacco,Control,None,3,435,34,5.087462841250339
Tobacco,Control,None,3,303,-98,
Tobacco,Control,None,3,442,41,5.357552004618084
Tobacco,Control,None,3,320,-81,
Tobacco,Control,None,3,413,12,3.584962500721156
Tobacco,CuO,None,3,348,-53,
Tobacco,CuO,None,3,527,126,6.977279923499917
Tobacco,CuO,None,3,498,97,6.599912842187128
Tobacco,CuO,Medium,3,727,326,8.348728154231077
Tobacco,CuO,Medium,3,551,150,7.22881869049588
Tobacco,CuO,Medium,3,422,21,4.392317422778761
Tobacco,CuO,High,3,646,245,7.936637939002571
Tobacco,CuO,High,3,1142,741,9.533329732305834
Tobacco,CuO,High,3,756,355,8.471675214392045
Tobacco,Jungle Express,None,3,668,267,8.060695931687555
Tobacco,Jungle Express,None,3,504,103,6.6865005271832185
Tobacco,Jungle Express,None,3,330,-71,
Tobacco,Jungle Express,Medium,3,731,330,8.366322214245816
Tobacco,Jungle Express,Medium,3,638,237,7.888743248898259
Tobacco,Jungle Express,Medium,3,674,273,8.092757140919852
Tobacco,Jungle Express,High,3,668,267,8.060695931687555
Tobacco,Jungle Express,High,3,559,158,7.303780748177103
Tobacco,Jungle Express,High,3,686,285,8.154818109052105
Tobacco,TetR,None,3,701,300,8.228818690495881
Tobacco,TetR,None,3,434,33,5.044394119358453
Tobacco,TetR,None,3,503,102,6.672425341971495
Tobacco,TetR,Medium,3,1295,894,9.804131021183318
Tobacco,TetR,Medium,3,671,270,8.076815597050832
Tobacco,TetR,Medium,3,1037,636,9.312882955284355
Tobacco,TetR,High,3,1639,1238,10.273795599214264
Tobacco,TetR,High,3,1379,978,9.933690654952233
Tobacco,TetR,High,3,1408,1007,9.975847968006784
Tobacco,LacI,None,3,637,236,7.882643049361842
Tobacco,LacI,None,3,921,520,9.022367813028454
Tobacco,LacI,None,3,708,307,8.262094845370179
Tobacco,LacI,Medium,3,3505,3104,11.599912842187127
Tobacco,LacI,Medium,3,5343,4942,12.270879295328784
Tobacco,LacI,Medium,3,3637,3236,11.659995892429977
Tobacco,LacI,High,3,7923,7522,12.876900591040306
Tobacco,LacI,High,3,6684,6283,12.617237864746105
Tobacco,LacI,High,3,7754,7353,12.844117269587995
Tobacco,NahR,None,3,711,310,8.276124405274238
Tobacco,NahR,None,3,548,147,7.199672344836364
Tobacco,NahR,None,3,706,305,8.252665432450248
Tobacco,NahR,Medium,3,1479,1078,10.074141462752506
Tobacco,NahR,Medium,3,1956,1555,10.602698865017965
Tobacco,NahR,Medium,3,1470,1069,10.06204613772049
Tobacco,NahR,High,3,3928,3527,11.784225860426252
Tobacco,NahR,High,3,5312,4911,12.261801107195309
Tobacco,NahR,High,3,3958,3557,11.79644525906185
Tobacco,Control,None,1,446,45,5.491853096329675
Tobacco,Control,None,1,562,161,7.330916878114617
Tobacco,Control,None,1,504,103,6.6865005271832185
Tobacco,Control,None,1,505,104,6.700439718141092
Tobacco,Control,None,1,319,-82,
Tobacco,Control,None,1,339,-62,
Tobacco,Control,None,1,505,104,6.700439718141092
Tobacco,Control,None,1,330,-71,
Tobacco,Control,None,1,518,117,6.870364719583405
Tobacco,CuO,None,1,471,70,6.129283016944966
Tobacco,CuO,None,1,493,92,6.523561956057013
Tobacco,CuO,None,1,400,-1,
Tobacco,CuO,Medium,1,755,354,8.467605550082997
Tobacco,CuO,Medium,1,616,215,7.7481928495894605
Tobacco,CuO,Medium,1,303,-98,
Tobacco,CuO,High,1,986,585,9.192292814470767
Tobacco,CuO,High,1,1037,636,9.312882955284355
Tobacco,CuO,High,1,1028,627,9.29232163280204
Tobacco,Jungle Express,None,1,474,73,6.189824558880018
Tobacco,Jungle Express,None,1,555,154,7.266786540694901
Tobacco,Jungle Express,None,1,480,79,6.303780748177103
Tobacco,Jungle Express,Medium,1,556,155,7.2761244052742375
Tobacco,Jungle Express,Medium,1,510,109,6.768184324776926
Tobacco,Jungle Express,Medium,1,656,255,7.994353436858858
Tobacco,Jungle Express,High,1,440,39,5.285402218862249
Tobacco,Jungle Express,High,1,527,126,6.977279923499917
Tobacco,Jungle Express,High,1,581,180,7.491853096329675
Tobacco,TetR,None,1,436,35,5.129283016944966
Tobacco,TetR,None,1,413,12,3.584962500721156
Tobacco,TetR,None,1,664,263,8.038918989292302
Tobacco,TetR,Medium,1,957,556,9.118941072723507
Tobacco,TetR,Medium,1,1014,613,9.259743263690781
Tobacco,TetR,Medium,1,723,322,8.330916878114618
Tobacco,TetR,High,1,1576,1175,10.198445041452363
Tobacco,TetR,High,1,1267,866,9.758223214726724
Tobacco,TetR,High,1,1685,1284,10.326429487122303
Tobacco,LacI,None,1,734,333,8.379378367071261
Tobacco,LacI,None,1,863,462,8.851749041416058
Tobacco,LacI,None,1,920,519,9.019590728357882
Tobacco,LacI,Medium,1,1908,1507,10.557463701597824
Tobacco,LacI,Medium,1,4899,4498,12.135067945777816
Tobacco,LacI,Medium,1,3810,3409,11.735132884139947
Tobacco,LacI,High,1,4828,4427,12.112113658097865
Tobacco,LacI,High,1,6834,6433,12.651275973346639
Tobacco,LacI,High,1,7648,7247,12.82316817898474
Tobacco,NahR,None,1,528,127,6.9886846867721655
Tobacco,NahR,None,1,439,38,5.247927513443585
Tobacco,NahR,None,1,682,281,8.134426320220927
Tobacco,NahR,Medium,1,1688,1287,10.329796338220701
Tobacco,NahR,Medium,1,1372,971,9.923327485419192
Tobacco,NahR,Medium,1,1392,991,9.952741247186488
Tobacco,NahR,High,1,3403,3002,11.55170826162069
Tobacco,NahR,High,1,4015,3614,11.8193807908646
Tobacco,NahR,High,1,4493,4092,11.99859042974533
Tobacco,Control,None,3,433,32,5.0
Tobacco,Control,None,3,716,315,8.29920801838728
Tobacco,Control,None,3,370,-31,
Tobacco,Control,None,3,447,46,5.523561956057013
Tobacco,Control,None,3,748,347,8.43879185257826
Tobacco,Control,None,3,504,103,6.6865005271832185
Tobacco,Control,None,3,365,-36,
Tobacco,Control,None,3,489,88,6.459431618637297
Tobacco,Control,None,3,507,106,6.727920454563199
Tobacco,CuO,None,3,373,-28,
Tobacco,CuO,None,3,429,28,4.807354922057604
Tobacco,CuO,None,3,458,57,5.832890014164741
Tobacco,CuO,Medium,3,577,176,7.459431618637297
Tobacco,CuO,Medium,3,468,67,6.066089190457772
Tobacco,CuO,Medium,3,353,-48,
Tobacco,CuO,High,3,969,568,9.149747119504681
Tobacco,CuO,High,3,816,415,8.696967526234287
Tobacco,CuO,High,3,699,298,8.219168520462162
Tobacco,Jungle Express,None,3,526,125,6.965784284662087
Tobacco,Jungle Express,None,3,540,139,7.118941072723508
Tobacco,Jungle Express,None,3,349,-52,
Tobacco,Jungle Express,Medium,3,714,313,8.290018846932618
Tobacco,Jungle Express,Medium,3,570,169,7.400879436282184
Tobacco,Jungle Express,Medium,3,564,163,7.348728154231077
Tobacco,Jungle Express,High,3,819,418,8.707359132080883
Tobacco,Jungle Express,High,3,680,279,8.124121311829187
Tobacco,Jungle Express,High,3,825,424,8.727920454563199
Tobacco,TetR,None,3,617,216,7.754887502163468
Tobacco,TetR,None,3,344,-57,
Tobacco,TetR,None,3,436,35,5.129283016944966
Tobacco,TetR,Medium,3,1519,1118,10.12670447284319
Tobacco,TetR,Medium,3,983,582,9.184875342908283
Tobacco,TetR,Medium,3,1139,738,9.527477006060396
Tobacco,TetR,High,3,1250,849,9.729620743553038
Tobacco,TetR,High,3,1988,1587,10.632086412835182
Tobacco,TetR,High,3,1127,726,9.50382573799575
Tobacco,LacI,None,3,667,266,8.055282435501189
Tobacco,LacI,None,3,794,393,8.618385502258606
Tobacco,LacI,None,3,669,268,8.066089190457772
Tobacco,LacI,Medium,3,3587,3186,11.63753055152531
Tobacco,LacI,Medium,3,7204,6803,12.731955373771934
Tobacco,LacI,Medium,3,4430,4029,11.9762060901486
Tobacco,LacI,High,3,8262,7861,12.940497134458205
Tobacco,LacI,High,3,7174,6773,12.7255792804196
Tobacco,LacI,High,3,7555,7154,12.804534402995225
Tobacco,NahR,None,3,549,148,7.20945336562895
Tobacco,NahR,None,3,582,181,7.499845887083206
Tobacco,NahR,None,3,614,213,7.734709620225838
Tobacco,NahR,Medium,3,1576,1175,10.198445041452363
Tobacco,NahR,Medium,3,3862,3461,11.756973226165448
Tobacco,NahR,Medium,3,1928,1527,10.576484346796851
Tobacco,NahR,High,3,6198,5797,12.501090770274512
Tobacco,NahR,High,3,3366,2965,11.533816389433365
Tobacco,NahR,High,3,3503,3102,11.59898297103609
Tobacco,Control,None,1,334,-67,
Tobacco,Control,None,1,517,116,6.857980995127572
Tobacco,Control,None,1,509,108,6.754887502163468
Tobacco,Control,None,1,595,194,7.599912842187128
Tobacco,Control,None,1,495,94,6.554588851677638
Tobacco,Control,None,1,602,201,7.651051691178929
Tobacco,Control,None,1,380,-21,
Tobacco,Control,None,1,472,71,6.149747119504682
Tobacco,Control,None,1,416,15,3.9068905956085187
Tobacco,CuO,None,1,477,76,6.247927513443585
Tobacco,CuO,None,1,630,229,7.839203788096944
Tobacco,CuO,None,1,438,37,5.20945336562895
Tobacco,CuO,Medium,1,728,327,8.353146825498083
Tobacco,CuO,Medium,1,380,-21,
Tobacco,CuO,Medium,1,698,297,8.214319120800766
Tobacco,CuO,High,1,1237,836,9.707359132080883
Tobacco,CuO,High,1,1409,1008,9.977279923499916
Tobacco,CuO,High,1,1203,802,9.64745842645492
Tobacco,Jungle Express,None,1,565,164,7.357552004618084
Tobacco,Jungle Express,None,1,527,126,6.977279923499917
Tobacco,Jungle Express,None,1,567,166,7.3750394313469245
Tobacco,Jungle Express,Medium,1,583,182,7.507794640198696
Tobacco,Jungle Express,Medium,1,365,-36,
Tobacco,Jungle Express,Medium,1,545,144,7.169925001442312
Tobacco,Jungle Express,High,1,615,214,7.741466986401147
Tobacco,Jungle Express,High,1,547,146,7.189824558880018
Tobacco,Jungle Express,High,1,828,427,8.73809225962049
Tobacco,TetR,None,1,603,202,7.658211482751795
Tobacco,TetR,None,1,676,275,8.103287808412022
Tobacco,TetR,None,1,521,120,6.906890595608519
Tobacco,TetR,Medium,1,865,464,8.857980995127573
Tobacco,TetR,Medium,1,840,439,8.778077129535358
Tobacco,TetR,Medium,1,957,556,9.118941072723507
Tobacco,TetR,High,1,1397,996,9.960001932068081
Tobacco,TetR,High,1,1723,1322,10.368506461507693
Tobacco,TetR,High,1,1397,996,9.960001932068081
Tobacco,LacI,None,1,675,274,8.098032082960527
Tobacco,LacI,None,1,790,389,8.603626344986193
Tobacco,LacI,None,1,862,461,8.848622940429339
Tobacco,LacI,Medium,1,2310,1909,10.898601387403938
Tobacco,LacI,Medium,1,3617,3216,11.651051691178928
Tobacco,LacI,Medium,1,2459,2058,11.007027266893969
Tobacco,LacI,High,1,6629,6228,12.604553229079038
Tobacco,LacI,High,1,6689,6288,12.618385502258606
Tobacco,LacI,High,1,6556,6155,12.58754314137182
Tobacco,NahR,None,1,754,353,8.46352437327118
Tobacco,NahR,None,1,743,342,8.417852514885897
Tobacco,NahR,None,1,1150,749,9.54882190845875
Tobacco,NahR,Medium,1,1672,1271,10.311748315004959
Tobacco,NahR,Medium,1,1917,1516,10.566054038171092
Tobacco,NahR,Medium,1,1135,734,9.519636252843213
Tobacco,NahR,High,1,3662,3261,11.671098725748465
Tobacco,NahR,High,1,4335,3934,11.94178124227853
Tobacco,NahR,High,1,5320,4919,12.264149339723328
Tobacco,Control,None,3,348,-53,
Tobacco,Control,None,3,478,77,6.266786540694901
Tobacco,Control,None,3,392,-9,
Tobacco,Control,None,3,513,112,6.807354922057604
Tobacco,Control,None,3,550,149,7.219168520462161
Tobacco,Control,None,3,345,-56,
Tobacco,Control,None,3,511,110,6.78135971352466
Tobacco,Control,None,3,426,25,4.643856189774724
Tobacco,Control,None,3,350,-51,
Tobacco,CuO,None,3,373,-28,
Tobacco,CuO,None,3,430,29,4.857980995127572
Tobacco,CuO,None,3,394,-7,
Tobacco,CuO,Medium,3,642,241,7.912889336229962
Tobacco,CuO,Medium,3,419,18,4.169925001442312
Tobacco,CuO,Medium,3,420,19,4.247927513443585
Tobacco,CuO,High,3,840,439,8.778077129535358
Tobacco,CuO,High,3,916,515,9.00842862207058
Tobacco,CuO,High,3,912,511,8.997179480937621
Tobacco,Jungle Express,None,3,601,200,7.643856189774724
Tobacco,Jungle Express,None,3,491,90,6.491853096329675
Tobacco,Jungle Express,None,3,408,7,2.807354922057604
Tobacco,Jungle Express,Medium,3,511,110,6.78135971352466
Tobacco,Jungle Express,Medium,3,612,211,7.721099188707185
Tobacco,Jungle Express,Medium,3,460,59,5.882643049361842
Tobacco,Jungle Express,High,3,687,286,8.159871336778389
Tobacco,Jungle Express,High,3,646,245,7.936637939002571
Tobacco,Jungle Express,High,3,622,221,7.787902559391432
Tobacco,TetR,None,3,554,153,7.257387842692652
Tobacco,TetR,None,3,625,224,7.807354922057604
Tobacco,TetR,None,3,539,138,7.108524456778169
Tobacco,TetR,Medium,3,950,549,9.100662339005199
Tobacco,TetR,Medium,3,853,452,8.820178962415188
Tobacco,TetR,Medium,3,839,438,8.774787059601174
Tobacco,TetR,High,3,1570,1169,10.191059214531656
Tobacco,TetR,High,3,1778,1377,10.427312844134963
Tobacco,TetR,High,3,1569,1168,10.189824558880018
Tobacco,LacI,None,3,727,326,8.348728154231077
Tobacco,LacI,None,3,1192,791,9.627533884472792
Tobacco,LacI,None,3,759,358,8.483815777264256
Tobacco,LacI,Medium,3,2571,2170,11.083479327331842
Tobacco,LacI,Medium,3,7119,6718,12.713816080234498
Tobacco,LacI,Medium,3,5354,4953,12.274086905634414
Tobacco,LacI,High,3,8708,8307,13.020111839088086
Tobacco,LacI,High,3,6825,6424,12.649256177517314
Tobacco,LacI,High,3,8963,8562,13.063732120196919
Tobacco,NahR,None,3,1248,847,9.726218159332198
Tobacco,NahR,None,3,1060,659,9.364134655008051
Tobacco,NahR,None,3,747,346,8.434628227636725
Tobacco,NahR,Medium,3,1754,1353,10.401946123976536
Tobacco,NahR,Medium,3,2304,1903,10.894059846274022
Tobacco,NahR,Medium,3,1942,1541,10.589651146514786
Tobacco,NahR,High,3,3504,3103,11.59944798152872
Tobacco,NahR,High,3,9393,8992,13.134426320220927
Tobacco,NahR,High,3,3721,3320,11.696967526234287
Tobacco,Control,None,1,501,100,6.643856189774724
Tobacco,Control,None,1,499,98,6.614709844115208
Tobacco,Control,None,1,625,224,7.807354922057604
Tobacco,Control,None,1,479,78,6.285402218862249
Tobacco,Control,None,1,518,117,6.870364719583405
Tobacco,Control,None,1,373,-28,
Tobacco,Control,None,1,257,-144,
Tobacco,Control,None,1,463,62,5.954196310386875
Tobacco,Control,None,1,367,-34,
Tobacco,CuO,None,1,651,250,7.965784284662087
Tobacco,CuO,None,1,355,-46,
Tobacco,CuO,None,1,669,268,8.066089190457772
Tobacco,CuO,Medium,1,411,10,3.321928094887362
Tobacco,CuO,Medium,1,281,-120,
Tobacco,CuO,Medium,1,643,242,7.918863237274595
Tobacco,CuO,High,1,1278,877,9.776433032444734
Tobacco,CuO,High,1,635,234,7.870364719583405
Tobacco,CuO,High,1,1174,773,9.594324603924848
Tobacco,Jungle Express,None,1,782,381,8.573647187493322
Tobacco,Jungle Express,None,1,600,199,7.636624620543649
Tobacco,Jungle Express,None,1,616,215,7.7481928495894605
Tobacco,Jungle Express,Medium,1,460,59,5.882643049361842
Tobacco,Jungle Express,Medium,1,548,147,7.199672344836364
Tobacco,Jungle Express,Medium,1,475,74,6.20945336562895
Tobacco,Jungle Express,High,1,699,298,8.219168520462162
Tobacco,Jungle Express,High,1,503,102,6.672425341971495
Tobacco,Jungle Express,High,1,693,292,8.189824558880018
Tobacco,TetR,None,1,583,182,7.507794640198696
Tobacco,TetR,None,1,597,196,7.614709844115208
Tobacco,TetR,None,1,529,128,7.0
Tobacco,TetR,Medium,1,1100,699,9.449148645375436
Tobacco,TetR,Medium,1,1118,717,9.485829308701904
Tobacco,TetR,Medium,1,1009,608,9.247927513443585
Tobacco,TetR,High,1,1983,1582,10.627533884472792
Tobacco,TetR,High,1,1531,1130,10.14210705730255
Tobacco,TetR,High,1,1383,982,9.939579214314692
Tobacco,LacI,None,1,628,227,7.826548487290915
Tobacco,LacI,None,1,743,342,8.417852514885897
Tobacco,LacI,None,1,926,525,9.036173612553485
Tobacco,LacI,Medium,1,2525,2124,11.052568050804153
Tobacco,LacI,Medium,1,4281,3880,11.92184093707449
Tobacco,LacI,Medium,1,3029,2628,11.35974956032233
Tobacco,LacI,High,1,6591,6190,12.595723694101627
Tobacco,LacI,High,1,4824,4423,12.110809526898654
Tobacco,LacI,High,1,6184,5783,12.49760238678349
Tobacco,NahR,None,1,512,111,6.794415866350106
Tobacco,NahR,None,1,403,2,1.0
Tobacco,NahR,None,1,888,487,8.927777962082342
Tobacco,NahR,Medium,1,1470,1069,10.06204613772049
Tobacco,NahR,Medium,1,1544,1143,10.158609688214478
Tobacco,NahR,Medium,1,1523,1122,10.131856960608793
Tobacco,NahR,High,1,2736,2335,11.189206834597025
Tobacco,NahR,High,1,3822,3421,11.7402023887679
Tobacco,NahR,High,1,3791,3390,11.727069558023706
Tobacco,Control,None,3,494,93,6.539158811108031
Tobacco,Control,None,3,410,9,3.169925001442312
Tobacco,Control,None,3,385,-16,
Tobacco,Control,None,3,461,60,5.906890595608519
Tobacco,Control,None,3,399,-2,
Tobacco,Control,None,3,375,-26,
Tobacco,Control,None,3,315,-86,
Tobacco,Control,None,3,536,135,7.076815597050831
Tobacco,Control,None,3,307,-94,
Tobacco,CuO,None,3,369,-32,
Tobacco,CuO,None,3,365,-36,
Tobacco,CuO,None,3,442,41,5.357552004618084
Tobacco,CuO,Medium,3,696,295,8.204571144249204
Tobacco,CuO,Medium,3,481,80,6.321928094887363
Tobacco,CuO,Medium,3,545,144,7.169925001442312
Tobacco,CuO,High,3,616,215,7.7481928495894605
Tobacco,CuO,High,3,1037,636,9.312882955284355
Tobacco,CuO,High,3,635,234,7.870364719583405
Tobacco,Jungle Express,None,3,608,207,7.693486957499325
Tobacco,Jungle Express,None,3,564,163,7.348728154231077
Tobacco,Jungle Express,None,3,366,-35,
Tobacco,Jungle Express,Medium,3,585,184,7.523561956057013
Tobacco,Jungle Express,Medium,3,692,291,8.184875342908283
Tobacco,Jungle Express,Medium,3,596,195,7.60733031374961
Tobacco,Jungle Express,High,3,690,289,8.174925682500678
Tobacco,Jungle Express,High,3,678,277,8.113742166049189
Tobacco,Jungle Express,High,3,625,224,7.807354922057604
Tobacco,TetR,None,3,493,92,6.523561956057013
Tobacco,TetR,None,3,396,-5,
Tobacco,TetR,None,3,479,78,6.285402218862249
Tobacco,TetR,Medium,3,1381,980,9.936637939002571
Tobacco,TetR,Medium,3,939,538,9.071462362556623
