Well,GFP,Strain,Plant,Leaf,GFP_log
B6,4390,ΔvirB1-11,7,Top,12.10000522442272
B7,3962,ΔvirB1-11,7,Top,11.952013164889486
B8,5780,ΔvirB1-11,7,Top,12.496853777388042
B9,5086,ΔvirB1-11,7,Bottom,12.312315746690107
B10,3804,ΔvirB1-11,7,Bottom,11.893301530860564
B11,5752,ΔvirB1-11,7,Bottom,12.489847960439297
B12,4364,ΔvirB1-11,7,Bottom,12.091435386323607
C1,7180,ΔvirB1-11,8,Top,12.809768128710413
C2,11174,ΔvirB1-11,8,Top,13.44785810495403
C3,7928,ΔvirB1-11,8,Top,12.952741247186488
C4,7718,ΔvirB1-11,8,Top,12.914011328541255
C5,7178,ΔvirB1-11,8,Bottom,12.809366207816078
C6,5710,ΔvirB1-11,8,Bottom,12.479275030250205
C7,5068,ΔvirB1-11,8,Bottom,12.30720080914081
C8,5448,ΔvirB1-11,8,Bottom,12.411510988012072
F5,42618,ΔvirB1-5,1,Top,15.379175270704222
F6,49845,ΔvirB1-5,1,Top,15.60516117330055
F7,34798,ΔvirB1-5,1,Top,15.086716769732693
F8,21153,ΔvirB1-5,1,Top,14.368574665977194
F9,45723,ΔvirB1-5,1,Bottom,15.480632445025098
F10,20697,ΔvirB1-5,1,Bottom,14.3371340458836
F11,43197,ΔvirB1-5,1,Bottom,15.398643501303694
F12,47066,ΔvirB1-5,1,Bottom,15.522397627406075
G1,56378,ΔvirB1-5,2,Top,15.782844679003357
G2,12444,ΔvirB1-5,2,Top,13.603162679534382
G3,44793,ΔvirB1-5,2,Top,15.450985673119332
G4,25241,ΔvirB1-5,2,Top,14.62348144781215
G5,129222,ΔvirB1-5,2,Bottom,16.979492183701968
G6,38489,ΔvirB1-5,2,Bottom,15.232158567877146
G7,85803,ΔvirB1-5,2,Bottom,16.388740470274954
G8,68951,ΔvirB1-5,2,Bottom,16.07328385492292
G9,37591,ΔvirB1-5,3,Top,15.198099674176225
G10,10947,ΔvirB1-5,3,Top,13.418247936305638
G11,26625,ΔvirB1-5,3,Top,14.700493904887924
G12,25050,ΔvirB1-5,3,Top,14.612522982969933
H1,25670,ΔvirB1-5,3,Bottom,14.647795675462781
H2,85654,ΔvirB1-5,3,Bottom,16.38623300058628
H3,72094,ΔvirB1-5,3,Bottom,16.137591576180057
H4,27404,ΔvirB1-5,3,Bottom,14.742098869778307
H5,71408,ΔvirB1-5,4,Top,16.123798091251857
H6,44063,ΔvirB1-5,4,Top,15.427280102862914
H7,47158,ΔvirB1-5,4,Top,15.525214913573942
H8,28505,ΔvirB1-5,4,Top,14.798927381020423
H9,49289,ΔvirB1-5,4,Bottom,15.58897809073356
H10,39759,ΔvirB1-5,4,Bottom,15.278993850906797
H11,31171,ΔvirB1-5,4,Bottom,14.927916818500508
H12,27878,ΔvirB1-5,4,Bottom,14.7668394438555
A1,44674,ΔvirB1-5,5,Top,15.447147815336915
A2,21386,ΔvirB1-5,5,Top,14.38437904812963
A3,15560,ΔvirB1-5,5,Top,13.925554439873554
A4,38962,ΔvirB1-5,5,Top,15.249780115389212
A5,67225,ΔvirB1-5,5,Bottom,16.036710229647596
A6,80642,ΔvirB1-5,5,Bottom,16.299243799070577
A7,34002,ΔvirB1-5,5,Bottom,15.053331987830681
A8,59884,ΔvirB1-5,5,Bottom,15.869882970141292
A9,18927,ΔvirB1-5,6,Top,14.208158136174092
A10,22322,ΔvirB1-5,6,Top,14.446178674674245
A11,47100,ΔvirB1-5,6,Top,15.523439439387507
A12,48653,ΔvirB1-5,6,Top,15.57024114553595
B1,53338,ΔvirB1-5,6,Bottom,15.702876109121876
B2,59383,ΔvirB1-5,6,Bottom,15.857762358960148
B3,42146,ΔvirB1-5,6,Bottom,15.363108093658633
B4,26094,ΔvirB1-5,6,Bottom,14.671430494185225
B5,17371,ΔvirB1-5,7,Top,14.084393187916358
B6,29991,ΔvirB1-5,7,Top,14.872242006824075
B7,36117,ΔvirB1-5,7,Top,15.140390442222307
B8,25409,ΔvirB1-5,7,Top,14.633051977159136
B9,20037,ΔvirB1-5,7,Bottom,14.290378899603855
B10,24105,ΔvirB1-5,7,Bottom,14.557044809283612
B11,36895,ΔvirB1-5,7,Bottom,15.171137695456627
B12,56235,ΔvirB1-5,7,Bottom,15.779180705896609
C1,72924,ΔvirB1-5,8,Top,16.154106077266217
C2,22859,ΔvirB1-5,8,Top,14.480474671702154
C3,50581,ΔvirB1-5,8,Top,15.626307939302272
C4,21802,ΔvirB1-5,8,Top,14.412172865823786
C5,20991,ΔvirB1-5,8,Bottom,14.357483277035913
C6,32603,ΔvirB1-5,8,Bottom,14.992717101244756
C7,23962,ΔvirB1-5,8,Bottom,14.548460707945896
C8,23129,ΔvirB1-5,8,Bottom,14.49741527084874
C9,30105,ΔvirB6-11,1,Top,14.877715496971136
C10,31234,ΔvirB6-11,1,Top,14.930829720301745
C11,20014,ΔvirB6-11,1,Top,14.288721912782648
C12,29086,ΔvirB6-11,1,Top,14.828037285580193
D1,65869,ΔvirB6-11,1,Bottom,16.007312027350867
D2,38055,ΔvirB6-11,1,Bottom,15.215798399672458
D3,8693,ΔvirB6-11,1,Bottom,13.085638429275328
D4,47470,ΔvirB6-11,1,Bottom,15.534728429316795
D5,58313,ΔvirB6-11,2,Top,15.831529925836296
D6,49319,ΔvirB6-11,2,Top,15.58985592726938
D7,51998,ΔvirB6-11,2,Top,15.666168513465266
D8,23049,ΔvirB6-11,2,Top,14.49241653903978
D9,33713,ΔvirB6-11,2,Bottom,15.041017392886005
D10,55161,ΔvirB6-11,2,Bottom,15.751360990896696
D11,39340,ΔvirB6-11,2,Bottom,15.263709337165892
D12,70666,ΔvirB6-11,2,Bottom,16.108728628109354
E1,29643,ΔvirB6-11,3,Top,14.855403841569201
E2,21734,ΔvirB6-11,3,Top,14.407666097055017
E3,20749,ΔvirB6-11,3,Top,14.340754186861748
E4,25547,ΔvirB6-11,3,Top,14.640866264088567
E5,18730,ΔvirB6-11,3,Bottom,14.193063279130408
E6,6412,ΔvirB6-11,3,Bottom,12.646558710154547
E7,13609,ΔvirB6-11,3,Bottom,13.732273439922233
E8,21428,ΔvirB6-11,3,Bottom,14.38720958071964
E9,40828,ΔvirB6-11,4,Top,15.317271276998566
E10,66940,ΔvirB6-11,4,Top,16.03058093057389
E11,56388,ΔvirB6-11,4,Top,15.783100553122273
E12,41487,ΔvirB6-11,4,Top,15.340371716643208
F1,50522,ΔvirB6-11,4,Bottom,15.624624131362355
F2,47883,ΔvirB6-11,4,Bottom,15.547225923425199
F3,50094,ΔvirB6-11,4,Bottom,15.612350194773919
F4,68736,ΔvirB6-11,4,Bottom,16.068778277985412
F5,37256,ΔvirB6-11,5,Top,15.185185166820329
F6,43892,ΔvirB6-11,5,Top,15.421670389649998
F7,26192,ΔvirB6-11,5,Top,14.676838606474153
F8,40938,ΔvirB6-11,5,Top,15.321153001682083
F9,5713,ΔvirB6-11,5,Bottom,12.480032814583948
F10,24720,ΔvirB6-11,5,Bottom,14.593391122791736
F11,11070,ΔvirB6-11,5,Bottom,13.434367601668914
F12,13055,ΔvirB6-11,5,Bottom,13.672314837200204
G1,30933,ΔvirB6-11,6,Top,14.91685913781461
G2,38915,ΔvirB6-11,6,Top,15.248038736672665
G3,27652,ΔvirB6-11,6,Top,14.75509621030718
G4,46336,ΔvirB6-11,6,Top,15.499845887083206
G5,24424,ΔvirB6-11,6,Bottom,14.57601187420678
G6,32970,ΔvirB6-11,6,Bottom,15.00886626655775
G7,30591,ΔvirB6-11,6,Bottom,14.900819647983985
G8,14843,ΔvirB6-11,6,Bottom,13.857495091973577
G9,26267,ΔvirB6-11,7,Top,14.680963816706479
G10,25466,ΔvirB6-11,7,Top,14.636284749709091
G11,40018,ΔvirB6-11,7,Top,15.288361446288784
G12,27394,ΔvirB6-11,7,Top,14.741572319518479
H1,50816,ΔvirB6-11,7,Bottom,15.632995197142957
H2,30647,ΔvirB6-11,7,Bottom,14.903458236599228
H3,24508,ΔvirB6-11,7,Bottom,14.58096513597733
H4,29208,ΔvirB6-11,7,Bottom,14.834075953434885
H5,45189,ΔvirB6-11,8,Top,15.463684011110177
H6,59278,ΔvirB6-11,8,Top,15.855209152450335
H7,42198,ΔvirB6-11,8,Top,15.364887002689064
H8,45650,ΔvirB6-11,8,Top,15.478327239758947
H9,55842,ΔvirB6-11,8,Bottom,15.769062992630154
H10,68883,ΔvirB6-11,8,Bottom,16.07186035606575
H11,52218,ΔvirB6-11,8,Bottom,15.67225958164031
H12,47580,ΔvirB6-11,8,Bottom,15.538067651312497
A1,254703,ΔvirC12,1,Top,17.958456426823297
A2,178070,ΔvirC12,1,Top,17.442084956082123
A3,217736,ΔvirC12,1,Top,17.732220433766596
A4,367124,ΔvirC12,1,Top,18.485907905270885
A5,318695,ΔvirC12,1,Bottom,18.28181685931414
A6,194619,ΔvirC12,1,Bottom,17.57029303690785
A7,282668,ΔvirC12,1,Bottom,18.10874904365337
A8,170975,ΔvirC12,1,Bottom,17.383425863800714
A9,400536,ΔvirC12,2,Top,18.611572391695926
A10,237029,ΔvirC12,2,Top,17.85470405506531
A11,445845,ΔvirC12,2,Top,18.766182712390275
A12,375809,ΔvirC12,2,Top,18.5196400917533
B1,157971,ΔvirC12,2,Bottom,17.26930021007822
B2,445723,ΔvirC12,2,Bottom,18.765787882616017
B3,28048,ΔvirC12,2,Bottom,14.775610280759539
B4,480363,ΔvirC12,2,Bottom,18.87376550605436
B5,353825,ΔvirC12,3,Top,18.432676461701465
B6,405482,ΔvirC12,3,Top,18.629278346740964
B7,387403,ΔvirC12,3,Top,18.563475600469783
B8,293677,ΔvirC12,3,Top,18.16387075649294
B9,189800,ΔvirC12,3,Bottom,17.534120466795834
B10,249300,ΔvirC12,3,Bottom,17.927523357266224
B11,205628,ΔvirC12,3,Bottom,17.649677201569435
B12,204216,ΔvirC12,3,Bottom,17.639736377951095
C1,275317,ΔvirC12,4,Top,18.07073416921766
C2,356681,ΔvirC12,4,Top,18.444274841528763
C3,183673,ΔvirC12,4,Top,17.48678003975924
C4,266714,ΔvirC12,4,Top,18.024934029361148
C5,74496,ΔvirC12,4,Bottom,16.184875342908285
C6,239256,ΔvirC12,4,Bottom,17.868195579134344
C7,73614,ΔvirC12,4,Bottom,16.167692545421904
C8,168055,ΔvirC12,4,Bottom,17.358573941021405
C9,309056,ΔvirC12,5,Top,18.237508748172655
C10,297551,ΔvirC12,5,Top,18.1827774408109
C11,394198,ΔvirC12,5,Top,18.5885609311901
C12,319970,ΔvirC12,5,Top,18.287577120549003
D1,348734,ΔvirC12,5,Bottom,18.411767501700712
D2,312571,ΔvirC12,5,Bottom,18.253824407294623
D3,329900,ΔvirC12,5,Bottom,18.331669252339655
D4,326582,ΔvirC12,5,Bottom,18.317085751477364
D5,532037,ΔvirC12,6,Top,19.021167054487243
D6,367117,ΔvirC12,6,Top,18.4858803969588
D7,494440,ΔvirC12,6,Top,18.915435935857303
D8,380630,ΔvirC12,6,Top,18.5380297489903
D9,233801,ΔvirC12,6,Bottom,17.834921574930657
D10,166126,ΔvirC12,6,Bottom,17.34191835830665
D11,329140,ΔvirC12,6,Bottom,18.32834184059799
D12,79492,ΔvirC12,6,Bottom,16.278522055781995
E1,579926,ΔvirC12,7,Top,19.14550929494578
E2,193229,ΔvirC12,7,Top,17.55995210596284
E3,329438,ΔvirC12,7,Top,18.329647451023867
E4,379882,ΔvirC12,7,Top,18.535191828645694
E5,246428,ΔvirC12,7,Bottom,17.910806663773695
E6,81119,ΔvirC12,7,Bottom,16.307752247078902
E7,154300,ΔvirC12,7,Bottom,17.23537853634546
E8,250107,ΔvirC12,7,Bottom,17.932185910700042
E9,368989,ΔvirC12,8,Top,18.493218282912203
E10,260877,ΔvirC12,8,Top,17.99301023021108
E11,364278,ΔvirC12,8,Top,18.474680342838113
E12,365719,ΔvirC12,8,Top,18.480376054612744
F1,486824,ΔvirC12,8,Bottom,18.893040767853048
F2,448340,ΔvirC12,8,Bottom,18.77423369393978
F3,59964,ΔvirC12,8,Bottom,15.871809003457043
F4,179360,ΔvirC12,8,Bottom,17.45249865769279
F5,394033,ΔvirD12,1,Top,18.587956933922232
F6,163174,ΔvirD12,1,Top,17.316051672314142
F7,403593,ΔvirD12,1,Top,18.622541626698563
F8,310292,ΔvirD12,1,Top,18.24326697597921
F9,409871,ΔvirD12,1,Bottom,18.64481039162039
F10,318414,ΔvirD12,1,Bottom,18.280544244007256
F11,300927,ΔvirD12,1,Bottom,18.199054029491503
F12,59153,ΔvirD12,1,Bottom,15.85216371760512
G1,320406,ΔvirD12,2,Top,18.28954163869154
G2,354769,ΔvirD12,2,Top,18.436520425732496
G3,351792,ΔvirD12,2,Top,18.424363149709567
G4,363411,ΔvirD12,2,Top,18.471242563258347
G5,387214,ΔvirD12,2,Bottom,18.562771589666664
G6,207898,ΔvirD12,2,Bottom,17.665516353826167
G7,215821,ΔvirD12,2,Bottom,17.719475724442713
G8,149801,ΔvirD12,2,Bottom,17.192687729009346
G9,223273,ΔvirD12,3,Top,17.768449273643537
G10,197700,ΔvirD12,3,Top,17.592953345503933
G11,212841,ΔvirD12,3,Top,17.699416561362238
G12,449470,ΔvirD12,3,Top,18.7778653003087
H1,248087,ΔvirD12,3,Bottom,17.92048661302502
H2,201055,ΔvirD12,3,Bottom,17.61723068914016
H3,315331,ΔvirD12,3,Bottom,18.266507481907546
H4,387880,ΔvirD12,3,Bottom,18.56525086349332
H5,508944,ΔvirD12,4,Top,18.957147397207507
H6,388200,ΔvirD12,4,Top,18.566440592488387
H7,756400,ΔvirD12,4,Top,19.528789837724485
H8,261414,ΔvirD12,4,Top,17.995976881024323
H9,75069,ΔvirD12,4,Bottom,16.195929644421255
H10,185751,ΔvirD12,4,Bottom,17.503010452044062
H11,348300,ΔvirD12,4,Bottom,18.409970947361447
H12,235696,ΔvirD12,4,Bottom,17.84656774923562
A1,365558,ΔvirD12,5,Top,18.479740799011005
A2,349170,ΔvirD12,5,Top,18.413570085206924
A3,452566,ΔvirD12,5,Top,18.787768677526152
A4,221545,ΔvirD12,5,Top,17.757240241763476
A5,277057,ΔvirD12,5,Bottom,18.079823292435577
A6,241956,ΔvirD12,5,Bottom,17.88438518989834
A7,311852,ΔvirD12,5,Bottom,18.25050198581803
A8,254912,ΔvirD12,5,Bottom,17.959639764364187
A9,350671,ΔvirD12,6,Top,18.419758601103624
A10,509108,ΔvirD12,6,Top,18.957612210377665
A11,336223,ΔvirD12,6,Top,18.359058892797254
A12,321225,ΔvirD12,6,Top,18.29322465238692
B1,518736,ΔvirD12,6,Bottom,18.984640969874096
B2,288795,ΔvirD12,6,Bottom,18.139686239038458
B3,541537,ΔvirD12,6,Bottom,19.046700386403216
B4,416660,ΔvirD12,6,Bottom,18.66851108018506
B5,312981,ΔvirD12,7,Top,18.25571555319924
B6,321059,ΔvirD12,7,Top,18.292478915665722
B7,312234,ΔvirD12,7,Top,18.252268119249788
B8,359441,ΔvirD12,7,Top,18.455395455135022
B9,465442,ΔvirD12,7,Bottom,18.82824187524833
B10,498818,ΔvirD12,7,Bottom,18.92815400063525
B11,363241,ΔvirD12,7,Bottom,18.470567527171124
B12,296418,ΔvirD12,7,Bottom,18.177273532479514
C1,285123,ΔvirD12,8,Top,18.121224896201486
C2,517828,ΔvirD12,8,Top,18.98211345120244
C3,179843,ΔvirD12,8,Top,17.456378481217182
C4,200718,ΔvirD12,8,Top,17.614810475025227
C5,422285,ΔvirD12,8,Bottom,18.687857476466025
C6,460509,ΔvirD12,8,Bottom,18.81286982647218
C7,306966,ΔvirD12,8,Bottom,18.227719343883066
C8,355555,ΔvirD12,8,Bottom,18.439713218781737
C9,352788,ΔvirD3,1,Top,18.428441963237788
C10,347673,ΔvirD3,1,Top,18.407371507339036
C11,237242,ΔvirD3,1,Top,17.85599991361188
C12,254433,ΔvirD3,1,Top,17.956926274967778
D1,160462,ΔvirD3,1,Bottom,17.29187215868496
D2,248652,ΔvirD3,1,Bottom,17.92376850975395
D3,211149,ΔvirD3,1,Bottom,17.68790188899986
D4,352839,ΔvirD3,1,Bottom,18.428650508112668
D5,345886,ΔvirD3,2,Top,18.39993709514584
D6,183779,ΔvirD3,2,Top,17.487612397066187
D7,446428,ΔvirD3,2,Top,18.76806799039046
D8,429675,ΔvirD3,2,Top,18.712886312928077
D9,138735,ΔvirD3,2,Bottom,17.08197227043685
D10,205599,ΔvirD3,2,Bottom,17.64947372195231
D11,252673,ΔvirD3,2,Bottom,17.94691198419941
D12,243335,ΔvirD3,2,Bottom,17.892584319147353
E1,124776,ΔvirD3,3,Top,16.928980940602482
E2,130989,ΔvirD3,3,Top,16.999086138781447
E3,125392,ΔvirD3,3,Top,16.936085781679676
E4,49411,ΔvirD3,3,Top,15.592544633481845
E5,28460,ΔvirD3,3,Bottom,14.796648041413844
E6,252847,ΔvirD3,3,Bottom,17.947905135596102
E7,197539,ΔvirD3,3,Bottom,17.591777986217878
E8,46418,ΔvirD3,3,Bottom,15.502396742554078
E9,517946,ΔvirD3,4,Top,18.982442167728557
E10,253742,ΔvirD3,4,Top,17.953002812036036
E11,241078,ΔvirD3,4,Top,17.87914047569219
E12,282949,ΔvirD3,4,Top,18.110182513085306
F1,306798,ΔvirD3,4,Bottom,18.226929552455342
F2,200805,ΔvirD3,4,Bottom,17.615435666959545
F3,228563,ΔvirD3,4,Bottom,17.802232352018688
F4,156889,ΔvirD3,4,Bottom,17.259384678229292
F5,92554,ΔvirD3,5,Top,16.498007721406086
F6,250919,ΔvirD3,5,Top,17.936862192565084
F7,362091,ΔvirD3,5,Top,18.465992792602098
F8,158193,ΔvirD3,5,Top,17.271326236771415
F9,39018,ΔvirD3,5,Bottom,15.251852209161413
F10,307011,ΔvirD3,5,Bottom,18.22793082176239
F11,15278,ΔvirD3,5,Bottom,13.899168076134323
F12,326342,ΔvirD3,5,Bottom,18.316025147715187
G1,377349,ΔvirD3,6,Top,18.52553992541178
G2,312177,ΔvirD3,6,Top,18.252004723449396
G3,383564,ΔvirD3,6,Top,18.549107794744078
G4,454449,ΔvirD3,6,Top,18.793758873200524
G5,152088,ΔvirD3,6,Bottom,17.214546800915006
G6,200420,ΔvirD3,6,Bottom,17.61266695732671
G7,287851,ΔvirD3,6,Bottom,18.134962698650735
G8,185951,ΔvirD3,6,Bottom,17.504562980876422
G9,454611,ΔvirD3,7,Top,18.794273067201136
G10,442455,ΔvirD3,7,Top,18.75517120742195
G11,451867,ΔvirD3,7,Top,18.785538674785503
G12,568601,ΔvirD3,7,Top,19.11705711072586
H1,205820,ΔvirD3,7,Bottom,17.651023653456217
H2,153907,ΔvirD3,7,Bottom,17.231699324268135
H3,101658,ΔvirD3,7,Bottom,16.633364227309396
H4,158350,ΔvirD3,7,Bottom,17.272757341802915
H5,324251,ΔvirD3,8,Top,18.306751498236274
H6,334916,ΔvirD3,8,Top,18.353439774247544
H7,350898,ΔvirD3,8,Top,18.420692199326208
H8,345397,ΔvirD3,8,Top,18.39789602660325
H9,170284,ΔvirD3,8,Bottom,17.377583359217958
H10,265672,ΔvirD3,8,Bottom,18.01928666015092
H11,313085,ΔvirD3,8,Bottom,18.256194864599742
H12,80377,ΔvirD3,8,Bottom,16.29449511064239
A1,114151,ΔvirD4,1,Top,16.800583972534
A2,91975,ΔvirD4,1,Top,16.4889541507477
A3,172219,ΔvirD4,1,Top,17.393884790770034
A4,128676,ΔvirD4,1,Top,16.97338346886729
A5,63351,ΔvirD4,1,Bottom,15.951079772138176
A6,63009,ΔvirD4,1,Bottom,15.943270292733583
A7,102426,ΔvirD4,1,Bottom,16.64422245256621
A8,130770,ΔvirD4,1,Bottom,16.996672083962515
A9,211460,ΔvirD4,2,Top,17.690025261851417
A10,247029,ΔvirD4,2,Top,17.91432089155159
A11,213604,ΔvirD4,2,Top,17.70457913797038
A12,201226,ΔvirD4,2,Top,17.618457199300227
B1,232870,ΔvirD4,2,Bottom,17.82916526753225
B2,33769,ΔvirD4,2,Bottom,15.043411837058834
B3,173003,ΔvirD4,2,Bottom,17.400437529914974
B4,96278,ΔvirD4,2,Bottom,16.55491855231272
B5,89937,ΔvirD4,3,Top,16.45662714083782
B6,128044,ΔvirD4,3,Top,16.966280125864568
B7,95143,ΔvirD4,3,Top,16.537809895882887
B8,158031,ΔvirD4,3,Top,17.26984806549365
B9,86216,ΔvirD4,3,Bottom,16.395668009636843
B10,127468,ΔvirD4,3,Bottom,16.9597755879077
B11,86578,ΔvirD4,3,Bottom,16.40171285342602
B12,107342,ΔvirD4,3,Bottom,16.711855148256674
C1,230929,ΔvirD4,4,Top,17.817089832170165
C2,248087,ΔvirD4,4,Top,17.92048661302502
C3,148196,ΔvirD4,4,Top,17.17714698241765
C4,163697,ΔvirD4,4,Top,17.32066835687941
C5,75701,ΔvirD4,4,Bottom,16.208024737693243
C6,72471,ΔvirD4,4,Bottom,16.145116181214277
C7,161672,ΔvirD4,4,Bottom,17.302710314293584
C8,139990,ΔvirD4,4,Bottom,17.094964248280757
C9,326003,ΔvirD4,5,Top,18.31452571516681
C10,279627,ΔvirD4,5,Top,18.09314414446868
C11,201518,ΔvirD4,5,Top,17.62054918341795
C12,200708,ΔvirD4,5,Top,17.614738596520038
D1,98789,ΔvirD4,5,Bottom,16.592062788475324
D2,74462,ΔvirD4,5,Bottom,16.18421674609251
D3,39197,ΔvirD4,5,Bottom,15.25845561933007
D4,62711,ΔvirD4,5,Bottom,15.936430904770358
D5,156473,ΔvirD4,6,Top,17.255554210657753
D6,200291,ΔvirD4,6,Top,17.611738070090254
D7,229057,ΔvirD4,6,Top,17.80534712684075
D8,272170,ΔvirD4,6,Top,18.054148528653958
D9,129297,ΔvirD4,6,Bottom,16.98032927599385
D10,120281,ΔvirD4,6,Bottom,16.876049241883077
D11,152396,ΔvirD4,6,Bottom,17.21746551075954
