Well,GFP,RFP,Strain,Day,RFP_corr
G1,1397,1008,J23105,1 dpi,796.416667
G2,1348,716,J23105,1 dpi,504.41666699999996
G3,1397,1028,J23105,1 dpi,816.416667
G4,1228,563,J23105,1 dpi,351.41666699999996
G5,1496,1478,J23105,1 dpi,1266.416667
G6,1202,933,J23105,1 dpi,721.416667
G7,1662,935,J23105,1 dpi,723.416667
G8,1411,1374,J23105,1 dpi,1162.416667
G9,1379,918,J23105,1 dpi,706.416667
G10,1267,641,J23105,1 dpi,429.41666699999996
G11,1171,492,J23105,1 dpi,280.41666699999996
G12,1277,799,J23105,1 dpi,587.416667
H1,1281,1337,J23106,1 dpi,1125.416667
H2,1271,326,J23106,1 dpi,114.41666699999999
H3,1255,974,J23106,1 dpi,762.416667
H4,1261,809,J23106,1 dpi,597.416667
H5,1241,815,J23106,1 dpi,603.416667
H6,1683,1457,J23106,1 dpi,1245.416667
H7,1318,1134,J23106,1 dpi,922.416667
H8,1357,1028,J23106,1 dpi,816.416667
H9,1405,772,J23106,1 dpi,560.416667
H10,1350,1262,J23106,1 dpi,1050.416667
H11,1282,851,J23106,1 dpi,639.416667
H12,1314,829,J23106,1 dpi,617.416667
A1,1628,363,J23107,1 dpi,151.416667
A2,1293,701,J23107,1 dpi,489.41666699999996
A3,1332,616,J23107,1 dpi,404.41666699999996
A4,1263,462,J23107,1 dpi,250.416667
A5,2168,878,J23107,1 dpi,666.416667
A6,1301,418,J23107,1 dpi,206.416667
A7,1223,564,J23107,1 dpi,352.41666699999996
A8,1207,576,J23107,1 dpi,364.41666699999996
A9,1436,845,J23107,1 dpi,633.416667
A10,1220,478,J23107,1 dpi,266.41666699999996
A11,1296,728,J23107,1 dpi,516.416667
A12,1954,1887,J23107,1 dpi,1675.416667
B1,1391,342,J23108,1 dpi,130.416667
B2,1241,225,J23108,1 dpi,13.41666699999999
B3,1215,328,J23108,1 dpi,116.41666699999999
B4,1306,352,J23108,1 dpi,140.416667
B5,1353,330,J23108,1 dpi,118.41666699999999
B6,1408,435,J23108,1 dpi,223.416667
B7,1365,379,J23108,1 dpi,167.416667
B8,1387,455,J23108,1 dpi,243.416667
B9,1447,441,J23108,1 dpi,229.416667
B10,1346,406,J23108,1 dpi,194.416667
B11,1331,367,J23108,1 dpi,155.416667
B12,1264,403,J23108,1 dpi,191.416667
C1,1286,717,J23110,1 dpi,505.41666699999996
C2,1250,522,J23110,1 dpi,310.41666699999996
C3,1255,567,J23110,1 dpi,355.41666699999996
C4,1395,714,J23110,1 dpi,502.41666699999996
C5,1268,511,J23110,1 dpi,299.41666699999996
C6,1345,794,J23110,1 dpi,582.416667
C7,1684,1124,J23110,1 dpi,912.416667
C8,1295,815,J23110,1 dpi,603.416667
C9,1238,612,J23110,1 dpi,400.41666699999996
C10,1416,771,J23110,1 dpi,559.416667
C11,1252,551,J23110,1 dpi,339.41666699999996
C12,1278,862,J23110,1 dpi,650.416667
D1,1268,1500,J23111,1 dpi,1288.416667
D2,1281,2872,J23111,1 dpi,2660.416667
D3,1278,1357,J23111,1 dpi,1145.416667
D4,1730,4788,J23111,1 dpi,4576.416667
D5,1446,1832,J23111,1 dpi,1620.416667
D6,1346,1978,J23111,1 dpi,1766.416667
D7,1350,2530,J23111,1 dpi,2318.416667
D8,1602,3766,J23111,1 dpi,3554.416667
D9,1338,1788,J23111,1 dpi,1576.416667
D10,1374,2422,J23111,1 dpi,2210.416667
D11,1269,1241,J23111,1 dpi,1029.416667
D12,1287,1294,J23111,1 dpi,1082.416667
E1,1442,3036,J23113,1 dpi,2824.416667
E2,1852,4426,J23113,1 dpi,4214.416667
E3,1466,3040,J23113,1 dpi,2828.416667
E4,1321,2247,J23113,1 dpi,2035.416667
E5,1302,1844,J23113,1 dpi,1632.416667
E6,1362,2213,J23113,1 dpi,2001.416667
E7,1620,3637,J23113,1 dpi,3425.416667
E8,2205,2564,J23113,1 dpi,2352.416667
E9,1279,1777,J23113,1 dpi,1565.416667
E10,1323,1740,J23113,1 dpi,1528.416667
E11,1380,2183,J23113,1 dpi,1971.416667
E12,1438,3281,J23113,1 dpi,3069.416667
F1,1360,368,J23114,1 dpi,156.416667
F2,1618,969,J23114,1 dpi,757.416667
F3,1256,258,J23114,1 dpi,46.41666699999999
F4,1452,489,J23114,1 dpi,277.41666699999996
F5,1402,391,J23114,1 dpi,179.416667
F6,1420,473,J23114,1 dpi,261.41666699999996
F7,1350,445,J23114,1 dpi,233.416667
F8,1279,309,J23114,1 dpi,97.41666699999999
F9,1319,331,J23114,1 dpi,119.41666699999999
F10,1238,395,J23114,1 dpi,183.416667
F11,1908,700,J23114,1 dpi,488.41666699999996
F12,1066,253,J23114,1 dpi,41.41666699999999
G1,1415,572,J23117,1 dpi,360.41666699999996
G2,1255,472,J23117,1 dpi,260.41666699999996
G3,1323,284,J23117,1 dpi,72.41666699999999
G4,1296,471,J23117,1 dpi,259.41666699999996
G5,1313,702,J23117,1 dpi,490.41666699999996
G6,1308,750,J23117,1 dpi,538.416667
G7,1307,703,J23117,1 dpi,491.41666699999996
G8,1469,753,J23117,1 dpi,541.416667
G9,1240,531,J23117,1 dpi,319.41666699999996
G10,1861,1498,J23117,1 dpi,1286.416667
G11,1408,542,J23117,1 dpi,330.41666699999996
G12,1207,532,J23117,1 dpi,320.41666699999996
H1,1315,1713,J23118,1 dpi,1501.416667
H2,2275,5304,J23118,1 dpi,5092.416667
H3,1414,2457,J23118,1 dpi,2245.416667
H4,1213,1625,J23118,1 dpi,1413.416667
H5,1295,1898,J23118,1 dpi,1686.416667
H6,1340,2475,J23118,1 dpi,2263.416667
H7,1403,2442,J23118,1 dpi,2230.416667
H8,1166,2135,J23118,1 dpi,1923.416667
H9,1643,4097,J23118,1 dpi,3885.416667
H10,2068,4878,J23118,1 dpi,4666.416667
H11,1384,2186,J23118,1 dpi,1974.416667
H12,1632,3017,J23118,1 dpi,2805.416667
A1,2273,2235,J23119,1 dpi,2023.416667
A2,1361,2370,J23119,1 dpi,2158.416667
A3,1360,3128,J23119,1 dpi,2916.416667
A4,1379,1986,J23119,1 dpi,1774.416667
A5,1384,2016,J23119,1 dpi,1804.416667
A6,1529,3967,J23119,1 dpi,3755.416667
A7,1492,2670,J23119,1 dpi,2458.416667
A8,1450,2484,J23119,1 dpi,2272.416667
A9,1617,1781,J23119,1 dpi,1569.416667
A10,1898,5412,J23119,1 dpi,5200.416667
A11,1468,3755,J23119,1 dpi,3543.416667
A12,1557,3804,J23119,1 dpi,3592.416667
B1,1169,224,Leaf,1 dpi,12.41666699999999
B2,1237,238,Leaf,1 dpi,26.41666699999999
B3,1142,181,Leaf,1 dpi,-30.58333300000001
B4,1053,166,Leaf,1 dpi,-45.58333300000001
B5,1222,218,Leaf,1 dpi,6.41666699999999
B6,1047,169,Leaf,1 dpi,-42.58333300000001
B7,1167,193,Leaf,1 dpi,-18.58333300000001
B8,1078,199,Leaf,1 dpi,-12.58333300000001
B9,1145,166,Leaf,1 dpi,-45.58333300000001
B10,1192,212,Leaf,1 dpi,0.4166669999999897
B11,1195,228,Leaf,1 dpi,16.41666699999999
B12,1185,215,Leaf,1 dpi,3.4166669999999897
B1,2172,6523,J23100,3 dpi,6311.416667
B2,1707,5890,J23100,3 dpi,5678.416667
B3,2177,8532,J23100,3 dpi,8320.416667
B4,1469,3217,J23100,3 dpi,3005.416667
B5,1469,3420,J23100,3 dpi,3208.416667
B6,1926,5565,J23100,3 dpi,5353.416667
B7,1510,2841,J23100,3 dpi,2629.416667
B8,1629,4390,J23100,3 dpi,4178.416667
B9,1291,2945,J23100,3 dpi,2733.416667
B10,1457,3047,J23100,3 dpi,2835.416667
B11,1366,3675,J23100,3 dpi,3463.416667
B12,1576,2721,J23100,3 dpi,2509.416667
C1,1437,1738,J23101,3 dpi,1526.416667
C2,1467,3410,J23101,3 dpi,3198.416667
C3,1583,2124,J23101,3 dpi,1912.416667
C4,1630,2986,J23101,3 dpi,2774.416667
C5,1345,2457,J23101,3 dpi,2245.416667
C6,1852,3883,J23101,3 dpi,3671.416667
C7,1479,2218,J23101,3 dpi,2006.416667
C8,1368,2340,J23101,3 dpi,2128.416667
C9,1396,1798,J23101,3 dpi,1586.416667
C10,1434,2933,J23101,3 dpi,2721.416667
C11,1384,1915,J23101,3 dpi,1703.416667
C12,1490,2600,J23101,3 dpi,2388.416667
D1,2128,6486,J23102,3 dpi,6274.416667
D2,1437,3469,J23102,3 dpi,3257.416667
D3,1486,3218,J23102,3 dpi,3006.416667
D4,1462,3991,J23102,3 dpi,3779.416667
D5,1119,5746,J23102,3 dpi,5534.416667
D6,1616,4625,J23102,3 dpi,4413.416667
D7,2429,5647,J23102,3 dpi,5435.416667
D8,2104,8674,J23102,3 dpi,8462.416667
D9,1549,3531,J23102,3 dpi,3319.416667
D10,1504,3861,J23102,3 dpi,3649.416667
D11,1707,4261,J23102,3 dpi,4049.416667
D12,1472,3985,J23102,3 dpi,3773.416667
E1,1349,314,J23103,3 dpi,102.41666699999999
E2,1830,627,J23103,3 dpi,415.41666699999996
E3,1532,577,J23103,3 dpi,365.41666699999996
E4,1491,387,J23103,3 dpi,175.416667
E5,1391,419,J23103,3 dpi,207.416667
E6,1465,448,J23103,3 dpi,236.416667
E7,1476,396,J23103,3 dpi,184.416667
E8,1227,324,J23103,3 dpi,112.41666699999999
E9,2187,823,J23103,3 dpi,611.416667
E10,1228,323,J23103,3 dpi,111.41666699999999
E11,1454,451,J23103,3 dpi,239.416667
E12,1186,270,J23103,3 dpi,58.41666699999999
F1,1906,5514,J23104,3 dpi,5302.416667
F2,2132,7485,J23104,3 dpi,7273.416667
F3,1555,3944,J23104,3 dpi,3732.416667
F4,1615,4139,J23104,3 dpi,3927.416667
F5,1936,7652,J23104,3 dpi,7440.416667
F6,1357,4156,J23104,3 dpi,3944.416667
F7,1431,3662,J23104,3 dpi,3450.416667
F8,1733,5053,J23104,3 dpi,4841.416667
F9,1482,2225,J23104,3 dpi,2013.416667
F10,1675,5452,J23104,3 dpi,5240.416667
F11,1445,3417,J23104,3 dpi,3205.416667
F12,1305,2588,J23104,3 dpi,2376.416667
G1,1195,361,J23105,3 dpi,149.416667
G2,1323,620,J23105,3 dpi,408.41666699999996
G3,1492,1146,J23105,3 dpi,934.416667
G4,1587,761,J23105,3 dpi,549.416667
G5,1766,1267,J23105,3 dpi,1055.416667
G6,1183,304,J23105,3 dpi,92.41666699999999
G7,1994,1887,J23105,3 dpi,1675.416667
G8,1176,798,J23105,3 dpi,586.416667
G9,1376,923,J23105,3 dpi,711.416667
G10,1374,744,J23105,3 dpi,532.416667
G11,1197,382,J23105,3 dpi,170.416667
G12,1463,910,J23105,3 dpi,698.416667
H1,1791,1157,J23106,3 dpi,945.416667
H2,1346,1063,J23106,3 dpi,851.416667
H3,1375,1280,J23106,3 dpi,1068.416667
H4,1212,1452,J23106,3 dpi,1240.416667
H5,1848,1587,J23106,3 dpi,1375.416667
H6,1333,456,J23106,3 dpi,244.416667
H7,1449,1750,J23106,3 dpi,1538.416667
H8,1330,1678,J23106,3 dpi,1466.416667
H9,1948,1670,J23106,3 dpi,1458.416667
H10,1321,1021,J23106,3 dpi,809.416667
H11,1578,1745,J23106,3 dpi,1533.416667
H12,1472,1598,J23106,3 dpi,1386.416667
A1,1463,1179,J23107,3 dpi,967.416667
A2,1322,453,J23107,3 dpi,241.416667
A3,1561,888,J23107,3 dpi,676.416667
A4,1065,879,J23107,3 dpi,667.416667
A5,1813,1081,J23107,3 dpi,869.416667
A6,1270,590,J23107,3 dpi,378.41666699999996
A7,1237,569,J23107,3 dpi,357.41666699999996
A8,3477,2816,J23107,3 dpi,2604.416667
A9,1551,2966,J23107,3 dpi,2754.416667
A10,1385,655,J23107,3 dpi,443.41666699999996
A11,1255,576,J23107,3 dpi,364.41666699999996
A12,1359,545,J23107,3 dpi,333.41666699999996
B1,1489,545,J23108,3 dpi,333.41666699999996
B2,1278,301,J23108,3 dpi,89.41666699999999
B3,1510,625,J23108,3 dpi,413.41666699999996
B4,1351,337,J23108,3 dpi,125.41666699999999
B5,1373,493,J23108,3 dpi,281.41666699999996
B6,1888,715,J23108,3 dpi,503.41666699999996
B7,1366,323,J23108,3 dpi,111.41666699999999
B8,1327,395,J23108,3 dpi,183.416667
B9,1063,209,J23108,3 dpi,-2.5833330000000103
B10,1215,309,J23108,3 dpi,97.41666699999999
B11,1347,641,J23108,3 dpi,429.41666699999996
B12,1472,674,J23108,3 dpi,462.41666699999996
C1,1428,876,J23110,3 dpi,664.416667
C2,1351,854,J23110,3 dpi,642.416667
C3,1663,1590,J23110,3 dpi,1378.416667
C4,1428,767,J23110,3 dpi,555.416667
C5,1435,690,J23110,3 dpi,478.41666699999996
C6,1527,1136,J23110,3 dpi,924.416667
C7,1558,855,J23110,3 dpi,643.416667
C8,1426,990,J23110,3 dpi,778.416667
C9,1430,712,J23110,3 dpi,500.41666699999996
C10,1324,758,J23110,3 dpi,546.416667
C11,1374,680,J23110,3 dpi,468.41666699999996
C12,1498,1134,J23110,3 dpi,922.416667
D1,1316,2330,J23111,3 dpi,2118.416667
D2,1504,3492,J23111,3 dpi,3280.416667
D3,1758,4238,J23111,3 dpi,4026.416667
D4,1342,2148,J23111,3 dpi,1936.416667
D5,1542,3226,J23111,3 dpi,3014.416667
D6,7356,4526,J23111,3 dpi,4314.416667
D7,1377,2087,J23111,3 dpi,1875.416667
D8,1354,2292,J23111,3 dpi,2080.416667
D9,1605,3181,J23111,3 dpi,2969.416667
D10,1559,2941,J23111,3 dpi,2729.416667
D11,1212,4527,J23111,3 dpi,4315.416667
D12,1383,2753,J23111,3 dpi,2541.416667
E1,1524,2656,J23113,3 dpi,2444.416667
E2,1365,3986,J23113,3 dpi,3774.416667
E3,1278,4256,J23113,3 dpi,4044.416667
E4,2472,7343,J23113,3 dpi,7131.416667
E5,1608,5036,J23113,3 dpi,4824.416667
E6,1736,5679,J23113,3 dpi,5467.416667
E7,1371,3074,J23113,3 dpi,2862.416667
E8,1794,7512,J23113,3 dpi,7300.416667
E9,1502,2605,J23113,3 dpi,2393.416667
E10,2926,5214,J23113,3 dpi,5002.416667
E11,1549,2896,J23113,3 dpi,2684.416667
E12,1553,2237,J23113,3 dpi,2025.416667
F1,1180,301,J23114,3 dpi,89.41666699999999
F2,1360,394,J23114,3 dpi,182.416667
F3,4441,3143,J23114,3 dpi,2931.416667
F4,1667,691,J23114,3 dpi,479.41666699999996
F5,1403,395,J23114,3 dpi,183.416667
F6,1628,533,J23114,3 dpi,321.41666699999996
F7,1338,403,J23114,3 dpi,191.416667
F8,1285,384,J23114,3 dpi,172.416667
F9,1552,446,J23114,3 dpi,234.416667
F10,1574,518,J23114,3 dpi,306.41666699999996
F11,1425,393,J23114,3 dpi,181.416667
F12,1341,405,J23114,3 dpi,193.416667
G1,1253,491,J23117,3 dpi,279.41666699999996
G2,1440,933,J23117,3 dpi,721.416667
G3,1453,1130,J23117,3 dpi,918.416667
G4,1345,769,J23117,3 dpi,557.416667
G5,1457,690,J23117,3 dpi,478.41666699999996
G6,1347,735,J23117,3 dpi,523.416667
G7,1410,822,J23117,3 dpi,610.416667
G8,1975,2506,J23117,3 dpi,2294.416667
G9,1480,920,J23117,3 dpi,708.416667
G10,1308,670,J23117,3 dpi,458.41666699999996
G11,1677,1022,J23117,3 dpi,810.416667
G12,1343,719,J23117,3 dpi,507.41666699999996
H1,1673,4763,J23118,3 dpi,4551.416667
H2,1553,4770,J23118,3 dpi,4558.416667
H3,1465,3503,J23118,3 dpi,3291.416667
H4,1656,6043,J23118,3 dpi,5831.416667
H5,1570,4021,J23118,3 dpi,3809.416667
H6,2064,9004,J23118,3 dpi,8792.416667
H7,1874,5317,J23118,3 dpi,5105.416667
H8,1426,2692,J23118,3 dpi,2480.416667
H9,1928,7127,J23118,3 dpi,6915.416667
H10,1530,3037,J23118,3 dpi,2825.416667
H11,1507,3048,J23118,3 dpi,2836.416667
H12,1629,4236,J23118,3 dpi,4024.416667
A1,1926,4459,J23119,3 dpi,4247.416667
A2,1559,3345,J23119,3 dpi,3133.416667
A3,1318,3897,J23119,3 dpi,3685.416667
A4,1419,2796,J23119,3 dpi,2584.416667
A5,1530,4545,J23119,3 dpi,4333.416667
A6,1652,4354,J23119,3 dpi,4142.416667
A7,1340,3215,J23119,3 dpi,3003.416667
A8,1486,2052,J23119,3 dpi,1840.416667
A9,1420,2817,J23119,3 dpi,2605.416667
A10,1535,3824,J23119,3 dpi,3612.416667
A11,1620,4056,J23119,3 dpi,3844.416667
A12,1753,2979,J23119,3 dpi,2767.416667
B1,1238,225,Leaf,3 dpi,13.41666699999999
B2,1185,222,Leaf,3 dpi,10.41666699999999
B3,1178,214,Leaf,3 dpi,2.4166669999999897
B4,1223,229,Leaf,3 dpi,17.41666699999999
B5,1163,203,Leaf,3 dpi,-8.58333300000001
B6,1219,226,Leaf,3 dpi,14.41666699999999
B7,1186,222,Leaf,3 dpi,10.41666699999999
B8,1189,233,Leaf,3 dpi,21.41666699999999
B9,1218,223,Leaf,3 dpi,11.41666699999999
B10,1209,224,Leaf,3 dpi,12.41666699999999
B11,1171,219,Leaf,3 dpi,7.41666699999999
B12,1187,229,Leaf,3 dpi,17.41666699999999
