##BLOCKS= 7,,,,,,,,,,,,,,,,,,,,
Plate:,sLW002,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,,0.0957,0.0995,0.1034,0.1077,0.1091,0.1697,0.1203,0.1535,0.1621,0.1314,0.3286,0.5661,,,,,,,
,,0.1184,0.1297,0.137,0.1369,0.1372,0.2007,0.1496,0.0974,0.0932,0.092,0.0874,0.4544,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.0685,0.068,0.0679,0.063,0.0743,0.103,0.1003,0.1303,0.1726,0.214,0.2374,0.4775,,,,,,,
,,0.1139,0.1279,0.1454,0.1347,0.1594,0.8239,0.1079,0.1054,0.0991,0.091,0.0876,0.4975,,,,,,,
,,0.1031,0.1762,0.1809,0.1299,0.1153,0.1689,0.0996,0.0958,0.0986,0.0967,0.0974,0.454,,,,,,,
,,0.076,0.0686,0.0692,0.0796,0.0872,0.125,0.1157,0.0963,0.13,0.3692,0.4202,0.5743,,,,,,,
,,0.0814,0.0971,0.0996,0.1057,0.1037,0.1723,0.1579,0.1782,0.2657,0.4213,0.4813,0.5851,,,,,,,
,,0.113,0.1005,0.0996,0.1102,0.1114,0.2143,0.1463,0.1523,0.1592,0.1562,0.1299,0.374,,,,,,,
,,0.0957,0.0995,0.1034,0.1077,0.1091,0.1697,0.1203,0.1535,0.1621,0.1314,0.3286,0.5661,,,,,,,
,,0.1184,0.1297,0.137,0.1369,0.1372,0.2007,0.1496,0.0974,0.0932,0.092,0.0874,0.4544,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,sLW006,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,24,0.1014,0.0804,0.1327,0.2337,0.3228,0.2991,0.3874,0.4049,0.4026,0.4188,0.3756,0.5685,,,,,,,
,,0.0902,0.0842,0.0849,0.0748,0.0952,0.0837,0.1451,0.1623,0.1976,0.2168,0.1607,0.7245,,,,,,,
,,0.0822,0.0991,0.0979,0.0748,0.1165,0.0913,0.097,0.1605,0.0725,0.1356,0.1458,0.7782,,,,,,,
,,0.0667,0.0584,0.0814,0.0841,0.0797,0.0873,0.0814,0.1267,0.1205,0.1016,0.1135,0.6591,,,,,,,
,,0.1013,0.1309,0.1157,0.1298,0.1234,0.1288,0.137,0.13,0.1545,0.1686,0.1445,0.7355,,,,,,,
,,0.1492,0.1508,0.1063,0.0865,0.0994,0.1421,0.1618,0.1854,0.1715,0.1761,0.1622,0.6265,,,,,,,
,,0.0933,0.0711,0.0873,0.0726,0.1016,0.1027,0.1088,0.0983,0.1206,0.1214,0.1581,0.5847,,,,,,,
,,0.1229,0.089,0.099,0.1037,0.1075,0.0956,0.1258,0.1599,0.1689,0.1225,0.1243,0.6543,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.1014,0.0804,0.1327,0.2337,0.3228,0.2991,0.3874,0.4049,0.4026,0.4188,0.3756,0.5685,,,,,,,
,,0.0902,0.0842,0.0849,0.0748,0.0952,0.0837,0.1451,0.1623,0.1976,0.2168,0.1607,0.7245,,,,,,,
,,0.0822,0.0991,0.0979,0.0748,0.1165,0.0913,0.097,0.1605,0.0725,0.1356,0.1458,0.7782,,,,,,,
,,0.0667,0.0584,0.0814,0.0841,0.0797,0.0873,0.0814,0.1267,0.1205,0.1016,0.1135,0.6591,,,,,,,
,,0.1013,0.1309,0.1157,0.1298,0.1234,0.1288,0.137,0.13,0.1545,0.1686,0.1445,0.7355,,,,,,,
,,0.1492,0.1508,0.1063,0.0865,0.0994,0.1421,0.1618,0.1854,0.1715,0.1761,0.1622,0.6265,,,,,,,
,,0.0933,0.0711,0.0873,0.0726,0.1016,0.1027,0.1088,0.0983,0.1206,0.1214,0.1581,0.5847,,,,,,,
,,0.1229,0.089,0.099,0.1037,0.1075,0.0956,0.1258,0.1599,0.1689,0.1225,0.1243,0.6543,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,Copy Of sLW006,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,23.2,0.0976,0.0919,0.1466,0.2352,0.3336,0.2937,0.4081,0.3974,0.3707,0.3519,0.1463,0.4047,,,,,,,
,,0.0909,0.0841,0.0858,0.0762,0.0899,0.0842,0.1474,0.1665,0.204,0.2182,0.1612,0.6807,,,,,,,
,,0.1081,0.101,0.1028,0.0749,0.1142,0.0937,0.1004,0.1635,0.0723,0.1371,0.1458,0.8145,,,,,,,
,,0.0671,0.0581,0.0812,0.0837,0.0792,0.0881,0.0822,0.1283,0.1217,0.1016,0.1144,0.632,,,,,,,
,,0.0989,0.1394,0.1198,0.1361,0.1243,0.1296,0.1382,0.1322,0.1557,0.1701,0.1441,0.6551,,,,,,,
,,0.1374,0.1499,0.0994,0.0852,0.1016,0.1465,0.1651,0.1873,0.1725,0.1798,0.1631,0.7349,,,,,,,
,,0.0971,0.0731,0.088,0.0741,0.1056,0.1044,0.1089,0.1005,0.1204,0.1244,0.1642,0.6514,,,,,,,
,,0.1268,0.0897,0.0996,0.1028,0.1087,0.0985,0.125,0.1636,0.1685,0.1253,0.1265,0.3563,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.0976,0.0919,0.1466,0.2352,0.3336,0.2937,0.4081,0.3974,0.3707,0.3519,0.1463,0.4047,,,,,,,
,,0.0909,0.0841,0.0858,0.0762,0.0899,0.0842,0.1474,0.1665,0.204,0.2182,0.1612,0.6807,,,,,,,
,,0.1081,0.101,0.1028,0.0749,0.1142,0.0937,0.1004,0.1635,0.0723,0.1371,0.1458,0.8145,,,,,,,
,,0.0671,0.0581,0.0812,0.0837,0.0792,0.0881,0.0822,0.1283,0.1217,0.1016,0.1144,0.632,,,,,,,
,,0.0989,0.1394,0.1198,0.1361,0.1243,0.1296,0.1382,0.1322,0.1557,0.1701,0.1441,0.6551,,,,,,,
,,0.1374,0.1499,0.0994,0.0852,0.1016,0.1465,0.1651,0.1873,0.1725,0.1798,0.1631,0.7349,,,,,,,
,,0.0971,0.0731,0.088,0.0741,0.1056,0.1044,0.1089,0.1005,0.1204,0.1244,0.1642,0.6514,,,,,,,
,,0.1268,0.0897,0.0996,0.1028,0.1087,0.0985,0.125,0.1636,0.1685,0.1253,0.1265,0.3563,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Plate:,blank_A12,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,1,600,1,12,96,1,8
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,23.1,0.3988,0.451,0.3821,0.0495,0.0454,0.0466,0.0448,0.0467,0.0452,0.0454,0.0456,0.0383,,,,,,,
,,0.1143,0.1733,0.4734,0.0458,0.0459,0.0458,0.0456,0.0456,0.0458,0.0461,0.0485,0.0454,,,,,,,
,,0.5356,0.5191,0.7511,0.3623,0.4036,0.3746,0.5487,0.0565,0.0562,0.0468,0.0459,0.0452,,,,,,,
,,0.2973,0.2666,0.5678,0.2212,0.4669,0.2987,0.3684,0.0979,0.0807,0.0467,0.0456,0.046,,,,,,,
,,0.9666,1.2557,1.2322,0.4201,0.3295,0.4026,0.0749,0.0854,0.0912,0.0503,0.0453,0.045,,,,,,,
,,0.0454,0.046,0.0463,0.0458,0.0463,0.046,0.0455,0.0461,0.0477,0.0458,0.0496,0.0452,,,,,,,
,,0.0454,0.046,0.0466,0.0458,0.0458,0.0455,0.0458,0.0462,0.0461,0.0455,0.0459,0.045,,,,,,,
,,0.0453,0.0453,0.0453,0.0463,0.0454,0.0466,0.0452,0.0453,0.0459,0.046,0.0449,0.0448,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
,,0.3988,0.451,0.3821,0.0495,0.0454,0.0466,0.0448,0.0467,0.0452,0.0454,0.0456,0.0383,,,,,,,
,,0.1143,0.1733,0.4734,0.0458,0.0459,0.0458,0.0456,0.0456,0.0458,0.0461,0.0485,0.0454,,,,,,,
,,0.5356,0.5191,0.7511,0.3623,0.4036,0.3746,0.5487,0.0565,0.0562,0.0468,0.0459,0.0452,,,,,,,
,,0.2973,0.2666,0.5678,0.2212,0.4669,0.2987,0.3684,0.0979,0.0807,0.0467,0.0456,0.046,,,,,,,
,,0.9666,1.2557,1.2322,0.4201,0.3295,0.4026,0.0749,0.0854,0.0912,0.0503,0.0453,0.045,,,,,,,
,,0.0454,0.046,0.0463,0.0458,0.0463,0.046,0.0455,0.0461,0.0477,0.0458,0.0496,0.0452,,,,,,,
,,0.0454,0.046,0.0466,0.0458,0.0458,0.0455,0.0458,0.0462,0.0461,0.0455,0.0459,0.045,,,,,,,
,,0.0453,0.0453,0.0453,0.0463,0.0454,0.0466,0.0452,0.0453,0.0459,0.046,0.0449,0.0448,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,
Original Filename: 2022-03-13-eLW008_MIC_2; Date Last Saved: 3/14/2022 6:06:25 PM,,,,,,,,,,,,,,,,,,,,
